Element 1: (3, (18, 10), ['.', '', '', '%'], [(18, 12), (7, 10), (18, 8)], [False, False, False, True], 98, False, [True, False, False, False], 29, 'West', (17, 10))
Element 2: (3, (17, 10), ['.', '.', '.', ''], [(18, 13), (8, 10), (17, 8)], [False, False, False, False], 96, False, [True, True, True, False], 68, 'North', (17, 11))
Element 3: (3, (17, 11), ['.', '', '.', ''], [(17, 13), (9, 10), (17, 9)], [False, False, False, False], 94, False, [True, False, True, False], 107, 'North', (17, 12))
Element 4: (3, (17, 12), ['.', '', '', ''], [(16, 13), (9, 11), (16, 9)], [False, False, False, False], 92, False, [True, False, False, False], 146, 'West', (16, 12))
Element 5: (3, (16, 12), ['.', '.', '', ''], [(17, 13), (10, 11), (16, 10)], [False, False, False, False], 90, False, [True, True, False, False], 175, 'South', (16, 11))
Element 6: (3, (16, 11), ['.', '', '', ''], [(18, 13), (11, 11), (15, 10)], [False, False, False, False], 88, False, [True, False, False, False], 204, 'West', (15, 11))
Element 7: (3, (15, 11), ['%', '', '.', ''], [(18, 12), (12, 11), (15, 9)], [True, False, False, False], 86, False, [False, False, True, False], 233, 'North', (15, 12))
Element 8: (3, (15, 12), ['.', '', '%', ''], [(17, 12), (13, 11), (14, 9)], [False, False, True, False], 84, False, [True, False, False, False], 262, 'West', (14, 12))
Element 9: (3, (14, 12), ['%', '%', '.', ''], [(17, 11), (12, 11), (13, 9)], [True, True, False, False], 82, False, [False, False, True, False], 281, 'North', (14, 13))
Element 10: (3, (14, 13), ['.', '', '%', '%'], [(17, 10), (11, 11), (13, 8)], [False, False, True, True], 80, False, [True, False, False, False], 300, 'West', (13, 13))
Element 11: (3, (13, 13), ['.', '%', '%', ''], [(18, 10), (11, 12), (13, 7)], [False, True, True, False], 78, False, [True, False, False, False], 329, 'West', (12, 13))
Element 12: (3, (12, 13), ['G', '%', '%', ''], [(18, 9), (11, 13), (14, 7)], [False, True, True, False], 76, False, [False, False, False, False], 358, 'East', (13, 13))
Element 13: (3, (13, 13), ['G', '%', '%', ''], [(18, 8), (12, 13), (15, 7)], [False, True, True, False], 74, False, [False, False, False, False], 367, 'East', (14, 13))
Element 14: (3, (14, 13), ['G', '', '%', '%'], [(17, 8), (13, 13), (16, 7)], [False, False, True, True], 72, False, [False, False, False, False], 376, 'South', (14, 12))
Element 15: (3, (14, 12), ['%', '%', 'G', ''], [(17, 9), (14, 13), (16, 6)], [True, True, False, False], 70, False, [False, False, False, False], 385, 'East', (15, 12))
Element 16: (3, (15, 12), ['G', '', '%', ''], [(16, 9), (14, 12), (17, 6)], [False, False, True, False], 68, False, [False, False, False, False], 394, 'South', (15, 11))
Element 17: (3, (15, 11), ['%', '', 'G', ''], [(16, 10), (15, 12), (18, 6)], [True, False, False, False], 66, False, [False, False, False, False], 403, 'South', (15, 10))
Element 18: (3, (15, 10), ['%', '', '', ''], [(16, 11), (16, 12), (17, 6)], [True, False, False, False], 64, False, [False, False, False, False], 402, 'East', (16, 10))
Element 19: (3, (16, 10), ['', '', '', ''], [(15, 11), (17, 12), (17, 5)], [False, False, False, False], 62, False, [False, False, False, False], 411, 'South', (16, 9))
Element 20: (3, (16, 9), ['', '%', '', ''], [(15, 12), (18, 12), (17, 4)], [False, True, False, False], 60, False, [False, False, False, False], 420, 'East', (17, 9))
Element 21: (3, (17, 9), ['', '', '', ''], [(16, 12), (18, 13), (18, 4)], [False, False, False, False], 58, False, [False, False, False, False], 429, 'East', (18, 9))
Element 22: (3, (18, 9), ['', '', '', '%'], [(15, 12), (17, 13), (17, 4)], [False, False, False, True], 56, False, [False, False, False, False], 428, 'South', (18, 8))
Element 23: (3, (18, 8), ['', '%', '', '%'], [(14, 12), (16, 13), (17, 3)], [False, True, False, True], 54, False, [False, False, False, False], 437, 'West', (17, 8))
Element 24: (3, (17, 8), ['%', '%', '', ''], [(14, 13), (17, 13), (17, 2)], [True, True, False, False], 52, False, [False, False, False, False], 446, 'East', (18, 8))
Element 25: (3, (18, 8), ['', '%', '', '%'], [(13, 13), (18, 13), (17, 1)], [False, True, False, True], 50, False, [False, False, False, False], 455, 'North', (18, 9))
Element 26: (3, (18, 9), ['', '', '', '%'], [(12, 13), (18, 12), (18, 1)], [False, False, False, True], 48, False, [False, False, False, False], 464, 'West', (17, 9))
Element 27: (3, (17, 9), ['', '', '', ''], [(11, 13), (18, 11), (17, 1)], [False, False, False, False], 46, False, [False, False, False, False], 463, 'South', (17, 8))
