Element 1: (2, (6, 12), ['G', '.', '.', '%'], [(18, 11), (5, 12), (11, 1)], [False, False, False, True], 98, False, [False, True, True, False], 19, 'North', (6, 13))
Element 2: (2, (6, 13), ['G', '', '%', '.'], [(18, 12), (5, 13), (10, 1)], [False, False, True, False], 96, False, [False, False, False, True], 1048, 'East', (7, 13))
Element 3: (2, (7, 13), ['G', '%', '%', '%'], [(18, 13), (6, 13), (10, 2)], [False, True, True, True], 94, False, [False, False, False, False], 1077, 'Stop', (7, 13))
Element 4: (2, (7, 13), ['', '%', '%', '%'], [(17, 13), (6, 12), (11, 2)], [False, True, True, True], 92, False, [False, False, False, False], 1096, 'West', (6, 13))
Element 5: (2, (6, 13), ['', '', '%', ''], [(17, 12), (6, 11), (11, 3)], [False, False, True, False], 90, False, [False, False, False, False], 1125, 'West', (5, 13))
Element 6: (2, (5, 13), ['%', '', '%', ''], [(16, 12), (7, 11), (12, 3)], [True, False, True, False], 88, False, [False, False, False, False], 1154, 'South', (5, 12))
Element 7: (2, (5, 12), ['', '.', '', ''], [(16, 13), (7, 10), (13, 3)], [False, False, False, False], 86, False, [False, True, False, False], 1183, 'South', (5, 11))
Element 8: (2, (5, 11), ['%', '.', '', ''], [(16, 12), (8, 10), (14, 3)], [True, False, False, False], 84, False, [False, True, False, False], 1212, 'South', (5, 10))
Element 9: (2, (5, 10), ['.', '%', '', '.'], [(16, 11), (9, 10), (15, 3)], [False, True, False, False], 82, False, [True, False, False, True], 1251, 'East', (6, 10))
Element 10: (2, (6, 10), ['', '%', '', ''], [(16, 10), (9, 11), (16, 3)], [False, True, False, False], 80, False, [False, False, False, False], 1290, 'East', (7, 10))
Element 11: (2, (7, 10), ['', '%', '', ''], [(17, 10), (10, 11), (17, 3)], [False, True, False, False], 78, False, [False, False, False, False], 1319, 'East', (8, 10))
Element 12: (2, (8, 10), ['', '%', '%', ''], [(18, 10), (11, 11), (17, 4)], [False, True, True, False], 76, False, [False, False, False, False], 1348, 'East', (9, 10))
Element 13: (2, (9, 10), ['', '%', '', '%'], [(18, 9), (12, 11), (18, 4)], [False, True, False, True], 74, False, [False, False, False, False], 1377, 'North', (9, 11))
Element 14: (2, (9, 11), ['%', '', '.', ''], [(18, 8), (13, 11), (17, 4)], [True, False, False, False], 72, False, [False, False, True, False], 1396, 'North', (9, 12))
Element 15: (2, (9, 12), ['.', '', '.', '.'], [(17, 8), (12, 11), (17, 5)], [False, False, False, False], 70, False, [True, False, True, True], 1425, 'East', (10, 12))
Element 16: (2, (10, 12), ['', '', '%', '.'], [(17, 9), (11, 11), (17, 6)], [False, False, True, False], 68, False, [False, False, False, True], 1454, 'East', (11, 12))
Element 17: (2, (11, 12), ['', '', '.', '%'], [(16, 9), (10, 11), (18, 6)], [False, False, False, True], 66, False, [False, False, True, False], 1483, 'North', (11, 13))
Element 18: (2, (11, 13), ['%', '', '%', '.'], [(15, 9), (11, 11), (17, 6)], [True, False, True, False], 64, False, [False, False, False, True], 1502, 'East', (12, 13))
Element 19: (2, (12, 13), ['', '%', '%', '.'], [(15, 10), (10, 11), (16, 6)], [False, True, True, False], 62, False, [False, False, False, True], 1531, 'East', (13, 13))
Element 20: (2, (13, 13), ['', '%', '%', '.'], [(15, 11), (10, 12), (16, 7)], [False, True, True, False], 60, False, [False, False, False, True], 1560, 'East', (14, 13))
Element 21: (2, (14, 13), ['', '.', '%', '%'], [(15, 12), (11, 12), (15, 7)], [False, False, True, True], 58, False, [False, True, False, False], 1589, 'South', (14, 12))
Element 22: (2, (14, 12), ['%', '%', '', ''], [(15, 11), (11, 13), (15, 6)], [True, True, False, False], 56, False, [False, False, False, False], 1608, 'East', (15, 12))
Element 23: (2, (15, 12), ['', '', '%', ''], [(15, 10), (12, 13), (15, 5)], [False, False, True, False], 54, False, [False, False, False, False], 1617, 'East', (16, 12))
Element 24: (2, (16, 12), ['', '', '', ''], [(15, 9), (13, 13), (16, 5)], [False, False, False, False], 52, False, [False, False, False, False], 1626, 'East', (17, 12))
Element 25: (2, (17, 12), ['', '', '', ''], [(14, 9), (14, 13), (16, 4)], [False, False, False, False], 50, False, [False, False, False, False], 1645, 'East', (18, 12))
Element 26: (2, (18, 12), ['', '', '', '%'], [(13, 9), (14, 12), (16, 5)], [False, False, False, True], 48, False, [False, False, False, False], 1654, 'North', (18, 13))
Element 27: (2, (18, 13), ['', '', '%', '%'], [(13, 8), (15, 12), (15, 5)], [False, False, True, True], 46, False, [False, False, False, False], 1663, 'West', (17, 13))
Element 28: (2, (17, 13), ['', '', '%', ''], [(13, 7), (16, 12), (14, 5)], [False, False, True, False], 44, False, [False, False, False, False], 1682, 'West', (16, 13))
Element 29: (2, (16, 13), ['%', '', '%', ''], [(14, 7), (17, 12), (14, 6)], [True, False, True, False], 42, False, [False, False, False, False], 1701, 'East', (17, 13))
Element 30: (2, (17, 13), ['', '', '%', ''], [(15, 7), (18, 12), (13, 6)], [False, False, True, False], 40, False, [False, False, False, False], 1710, 'East', (18, 13))
Element 31: (2, (18, 13), ['', '', '%', '%'], [(16, 7), (18, 11), (12, 6)], [False, False, True, True], 38, False, [False, False, False, False], 2709, 'South', (18, 12))
Element 32: (2, (18, 12), ['', '', '', '%'], [(16, 6), (18, 10), (12, 7)], [False, False, False, True], 36, False, [False, False, False, False], 2718, 'South', (18, 11))
Element 33: (2, (18, 11), ['', '', '', '%'], [(17, 6), (18, 9), (12, 8)], [False, False, False, True], 34, False, [False, False, False, False], 2727, 'South', (18, 10))
Element 34: (2, (18, 10), ['', '', '', '%'], [(18, 6), (18, 8), (12, 9)], [False, False, False, True], 32, False, [False, False, False, False], 2736, 'South', (18, 9))
Element 35: (2, (18, 9), ['', '', '', '%'], [(17, 6), (17, 8), (11, 9)], [False, False, False, True], 30, False, [False, False, False, False], 2745, 'South', (18, 8))
Element 36: (2, (18, 8), ['', '%', '', '%'], [(17, 5), (17, 9), (12, 9)], [False, True, False, True], 28, False, [False, False, False, False], 2744, 'West', (17, 8))
Element 37: (2, (17, 8), ['%', '%', '', ''], [(17, 4), (17, 10), (13, 9)], [True, True, False, False], 26, False, [False, False, False, False], 2743, 'North', (17, 9))
Element 38: (2, (17, 9), ['', '', '', ''], [(18, 4), (17, 11), (14, 9)], [False, False, False, False], 24, False, [False, False, False, False], 2742, 'North', (17, 10))
Element 39: (2, (17, 10), ['', '', '', ''], [(17, 4), (16, 11), (15, 9)], [False, False, False, False], 22, False, [False, False, False, False], 2741, 'North', (17, 11))
Element 40: (2, (17, 11), ['', '', '', ''], [(17, 3), (16, 10), (16, 9)], [False, False, False, False], 20, False, [False, False, False, False], 2740, 'West', (16, 11))
Element 41: (2, (16, 11), ['', '', '', ''], [(17, 2), (16, 9), (17, 9)], [False, False, False, False], 18, False, [False, False, False, False], 2749, 'South', (16, 10))
Element 42: (2, (16, 10), ['', '', '', ''], [(17, 1), (15, 9), (18, 9)], [False, False, False, False], 16, False, [False, False, False, False], 2758, 'South', (16, 9))
Element 43: (2, (16, 9), ['', '%', '', ''], [(18, 1), (15, 10), (18, 10)], [False, True, False, False], 14, False, [False, False, False, False], 2767, 'West', (15, 9))
Element 44: (2, (15, 9), ['', '%', '', ''], [(17, 1), (15, 11), (18, 11)], [False, True, False, False], 12, False, [False, False, False, False], 2766, 'North', (15, 10))
Element 45: (2, (15, 10), ['%', '', '', ''], [(16, 1), (15, 12), (18, 12)], [True, False, False, False], 10, False, [False, False, False, False], 2775, 'North', (15, 11))
Element 46: (2, (15, 11), ['%', '', '', ''], [(16, 2), (15, 11), (18, 13)], [True, False, False, False], 8, False, [False, False, False, False], 2784, 'South', (15, 10))
Element 47: (2, (15, 10), ['%', '', '', ''], [(15, 2), (15, 10), (17, 13)], [True, False, False, False], 6, False, [False, False, False, False], 2793, 'South', (15, 9))
Element 48: (2, (15, 9), ['', '%', '', ''], [(15, 1), (15, 11), (17, 12)], [False, True, False, False], 4, False, [False, False, False, False], 2802, 'West', (14, 9))
Element 49: (2, (14, 9), ['', '%', '%', ''], [(14, 1), (15, 10), (17, 11)], [False, True, True, False], 2, False, [False, False, False, False], 2811, 'West', (13, 9))
Element 50: (2, (13, 9), ['', '', '%', ''], [(14, 1), (15, 10), (17, 10)], [False, False, True, False], 0, False, [False, False, False, False], 2810, 'Stop', (13, 9))
Element 51: #0#
