Element 1: (2, (9, 13), ['%', '.', '%', '%'], [(18, 11), (4, 2), (17, 12)], [True, False, True, True], 98, False, [False, True, False, False], 19, 'South', (9, 12))
Element 2: (2, (9, 12), ['.', '.', '', '.'], [(17, 11), (5, 2), (18, 12)], [False, False, False, False], 96, False, [True, True, False, True], 58, 'East', (10, 12))
Element 3: (2, (10, 12), ['', '.', '%', '.'], [(17, 10), (4, 2), (18, 13)], [False, False, True, False], 94, False, [False, True, False, True], 87, 'East', (11, 12))
Element 4: (2, (11, 12), ['', '.', '.', '%'], [(17, 9), (4, 1), (17, 13)], [False, False, False, True], 92, False, [False, True, True, False], 126, 'North', (11, 13))
Element 5: (2, (11, 13), ['%', '', '%', '.'], [(18, 9), (3, 1), (16, 13)], [True, False, True, False], 90, False, [False, False, False, True], 165, 'East', (12, 13))
Element 6: (2, (12, 13), ['', '%', '%', '.'], [(18, 8), (2, 1), (16, 12)], [False, True, True, False], 88, False, [False, False, False, True], 204, 'East', (13, 13))
Element 7: (2, (13, 13), ['', '%', '%', '.'], [(17, 8), (2, 2), (16, 11)], [False, True, True, False], 86, False, [False, False, False, True], 243, 'East', (14, 13))
Element 8: (2, (14, 13), ['', '.', '%', '%'], [(18, 8), (1, 2), (16, 10)], [False, False, True, True], 84, False, [False, True, False, False], 272, 'South', (14, 12))
Element 9: (2, (14, 12), ['%', '%', '', '.'], [(18, 9), (1, 1), (16, 9)], [True, True, False, False], 82, False, [False, False, False, True], 301, 'East', (15, 12))
Element 10: (2, (15, 12), ['', '.', '%', ''], [(17, 9), (1, 2), (15, 9)], [False, False, True, False], 80, False, [False, True, False, False], 320, 'South', (15, 11))
Element 11: (2, (15, 11), ['%', 'G', '', ''], [(17, 8), (2, 2), (15, 10)], [True, False, False, False], 78, False, [False, False, False, False], 339, 'East', (16, 11))
Element 12: (2, (16, 11), ['G', '', '', ''], [(17, 9), (2, 1), (15, 11)], [False, False, False, False], 76, False, [False, False, False, False], 338, 'East', (17, 11))
Element 13: (2, (17, 11), ['', '', '', ''], [(16, 9), (1, 1), (15, 12)], [False, False, False, False], 74, False, [False, False, False, False], 337, 'East', (18, 11))
Element 14: (2, (18, 11), ['', '', '', '%'], [(16, 10), (2, 1), (14, 12)], [False, False, False, True], 72, False, [False, False, False, False], 336, 'North', (18, 12))
Element 15: (2, (18, 12), ['', '', '', '%'], [(16, 11), (3, 1), (14, 13)], [False, False, False, True], 70, False, [False, False, False, False], 335, 'North', (18, 13))
Element 16: (2, (18, 13), ['', '', '%', '%'], [(16, 12), (4, 1), (13, 13)], [False, False, True, True], 68, False, [False, False, False, False], 334, 'West', (17, 13))
Element 17: (2, (17, 13), ['', 'G', '%', ''], [(17, 12), (4, 2), (12, 13)], [False, False, True, False], 66, False, [False, False, False, False], 333, 'West', (16, 13))
Element 18: (2, (16, 13), ['%', '', '%', ''], [(18, 12), (3, 2), (11, 13)], [True, False, True, False], 64, False, [False, False, False, False], 332, 'South', (16, 12))
Element 19: (2, (16, 12), ['', '', '', ''], [(18, 13), (3, 1), (11, 12)], [False, False, False, False], 62, False, [False, False, False, False], 331, 'East', (17, 12))
Element 20: (2, (17, 12), ['', '', 'G', ''], [(17, 13), (3, 2), (11, 11)], [False, False, False, False], 60, False, [False, False, False, False], 340, 'West', (16, 12))
Element 21: (2, (16, 12), ['', '', 'G', ''], [(16, 13), (2, 2), (12, 11)], [False, False, False, False], 58, False, [False, False, False, False], 349, 'West', (15, 12))
Element 22: (2, (15, 12), ['', '', '%', ''], [(17, 13), (3, 2), (13, 11)], [False, False, True, False], 56, False, [False, False, False, False], 358, 'West', (14, 12))
Element 23: (2, (14, 12), ['%', '%', '', ''], [(18, 13), (3, 2), (12, 11)], [True, True, False, False], 54, False, [False, False, False, False], 357, 'North', (14, 13))
Element 24: (2, (14, 13), ['', '', '%', '%'], [(18, 12), (4, 2), (11, 11)], [False, False, True, True], 52, False, [False, False, False, False], 356, 'West', (13, 13))
