Element 1: (1, (9, 10), ['.', '%', 'G', '%'], [(15, 1), (9, 11), (14, 9)], [False, True, False, True], 98, False, [True, False, False, False], 9, 'West', (8, 10))
Element 2: (1, (8, 10), ['.', '%', '%', ''], [(16, 1), (10, 11), (15, 9)], [False, True, True, False], 96, False, [True, False, False, False], 48, 'West', (7, 10))
Element 3: (1, (7, 10), ['.', '%', '.', ''], [(17, 1), (11, 11), (16, 9)], [False, True, False, False], 94, False, [True, False, True, False], 87, 'North', (7, 11))
Element 4: (1, (7, 11), ['.', '', '%', '%'], [(18, 1), (12, 11), (17, 9)], [False, False, True, True], 92, False, [True, False, False, False], 126, 'West', (6, 11))
Element 5: (1, (6, 11), ['.', '.', '.', ''], [(17, 1), (13, 11), (18, 9)], [False, False, False, False], 90, False, [True, True, True, False], 155, 'North', (6, 12))
Element 6: (1, (6, 12), ['.', '', '.', '%'], [(17, 2), (12, 11), (18, 10)], [False, False, False, True], 88, False, [True, False, True, False], 184, 'North', (6, 13))
Element 7: (1, (6, 13), ['.', '', '%', '.'], [(17, 3), (11, 11), (18, 11)], [False, False, True, False], 86, False, [True, False, False, True], 213, 'East', (7, 13))
Element 8: (1, (7, 13), ['', '%', '%', '%'], [(17, 4), (11, 12), (18, 12)], [False, True, True, True], 84, False, [False, False, False, False], 252, 'West', (6, 13))
Element 9: (1, (6, 13), ['.', '', '%', ''], [(18, 4), (11, 13), (18, 13)], [False, False, True, False], 82, False, [True, False, False, False], 281, 'West', (5, 13))
Element 10: (1, (5, 13), ['%', '.', '%', ''], [(17, 4), (12, 13), (17, 13)], [True, False, True, False], 80, False, [False, True, False, False], 310, 'South', (5, 12))
Element 11: (1, (5, 12), ['.', '.', '', ''], [(17, 5), (13, 13), (17, 12)], [False, False, False, False], 78, False, [True, True, False, False], 349, 'South', (5, 11))
Element 12: (1, (5, 11), ['%', '.', '', ''], [(17, 6), (14, 13), (17, 11)], [True, False, False, False], 76, False, [False, True, False, False], 388, 'South', (5, 10))
Element 13: (1, (5, 10), ['.', '%', '', '.'], [(18, 6), (14, 12), (17, 10)], [False, True, False, False], 74, False, [True, False, False, True], 427, 'East', (6, 10))
