Element 1: (2, (10, 2), ['%', 'F', '%', '.'], [(12, 7), (2, 5), (12, 9)], [True, False, True, False], 98, False, [False, False, False, True], 19, 'South', (10, 1))
Element 2: (2, (10, 1), ['.', '%', '', '.'], [(12, 6), (3, 5), (13, 9)], [False, True, False, False], 96, False, [True, False, False, True], 2038, 'East', (11, 1))
Element 3: (2, (11, 1), ['', '%', '.', '.'], [(13, 6), (4, 5), (14, 9)], [False, True, False, False], 94, False, [False, False, True, True], 2077, 'East', (12, 1))
Element 4: (2, (12, 1), ['', '%', '%', '.'], [(14, 6), (3, 5), (15, 9)], [False, True, True, False], 92, False, [False, False, False, True], 2106, 'East', (13, 1))
Element 5: (2, (13, 1), ['', '%', '%', '.'], [(15, 6), (2, 5), (16, 9)], [False, True, True, False], 90, False, [False, False, False, True], 2135, 'East', (14, 1))
Element 6: (2, (14, 1), ['', '%', '%', '.'], [(16, 6), (1, 5), (17, 9)], [False, True, True, False], 88, False, [False, False, False, True], 2164, 'East', (15, 1))
Element 7: (2, (15, 1), ['', '%', '.', '.'], [(17, 6), (1, 5), (18, 9)], [False, True, False, False], 86, False, [False, False, True, True], 2193, 'East', (16, 1))
Element 8: (2, (16, 1), ['', '%', '.', '.'], [(18, 6), (2, 5), (18, 10)], [False, True, False, False], 84, False, [False, False, True, True], 2222, 'East', (17, 1))
Element 9: (2, (17, 1), ['', '%', '.', '.'], [(17, 6), (3, 5), (18, 11)], [False, True, False, False], 82, False, [False, False, True, True], 2241, 'East', (18, 1))
Element 10: (2, (18, 1), ['', '%', '%', '%'], [(17, 5), (4, 5), (18, 12)], [False, True, True, True], 80, False, [False, False, False, False], 2270, 'West', (17, 1))
Element 11: (2, (17, 1), ['', '%', '.', ''], [(17, 4), (3, 5), (18, 13)], [False, True, False, False], 78, False, [False, False, True, False], 2289, 'North', (17, 2))
Element 12: (2, (17, 2), ['.', '', '.', '%'], [(18, 4), (2, 5), (17, 13)], [False, False, False, True], 76, False, [True, False, True, False], 2318, 'North', (17, 3))
Element 13: (2, (17, 3), ['.', '', 'G', '%'], [(17, 4), (1, 5), (17, 12)], [False, False, False, True], 74, False, [True, False, False, False], 2337, 'West', (16, 3))
Element 14: (2, (16, 3), ['.', '.', '.', 'G'], [(17, 3), (1, 5), (17, 11)], [False, False, False, False], 72, False, [True, True, True, False], 2356, 'North', (16, 4))
Element 15: (2, (16, 4), ['%', '', '.', ''], [(17, 2), (2, 5), (17, 10)], [True, False, False, False], 70, False, [False, False, True, False], 2375, 'North', (16, 5))
Element 16: (2, (16, 5), ['.', '', '', ''], [(16, 2), (3, 5), (16, 10)], [False, False, False, False], 68, False, [True, False, False, False], 2404, 'West', (15, 5))
Element 17: (2, (15, 5), ['.', '%', '', ''], [(15, 2), (4, 5), (16, 11)], [False, True, False, False], 66, False, [True, False, False, False], 2433, 'West', (14, 5))
Element 18: (2, (14, 5), ['.', '.', '', ''], [(15, 3), (3, 5), (16, 12)], [False, False, False, False], 64, False, [True, True, False, False], 2462, 'South', (14, 4))
Element 19: (2, (14, 4), ['.', 'G', '', '%'], [(14, 3), (2, 5), (16, 13)], [False, False, False, True], 62, False, [True, False, False, False], 2491, 'West', (13, 4))
Element 20: (2, (13, 4), ['.', 'G', '.', ''], [(13, 3), (1, 5), (16, 12)], [False, False, False, False], 60, False, [True, False, True, False], 2510, 'North', (13, 5))
Element 21: (2, (13, 5), ['%', '', '', ''], [(12, 3), (1, 5), (15, 12)], [True, False, False, False], 58, False, [False, False, False, False], 2539, 'North', (13, 6))
Element 22: (2, (13, 6), ['', '', '.', ''], [(12, 4), (2, 5), (15, 11)], [False, False, False, False], 56, False, [False, False, True, False], 2558, 'North', (13, 7))
