Element 1: (3, (15, 3), ['.', '', '%', '.'], [(16, 2), (8, 10), (12, 3)], [False, False, True, False], 98, False, [True, False, False, True], 29, 'East', (16, 3))
Element 2: (3, (16, 3), ['', '', '.', '.'], [(17, 2), (9, 10), (13, 3)], [False, False, False, False], 96, False, [False, False, True, True], 68, 'East', (17, 3))
Element 3: (3, (17, 3), ['', '', '.', '%'], [(17, 1), (9, 11), (14, 3)], [False, False, False, True], 94, False, [False, False, True, False], 107, 'North', (17, 4))
Element 4: (3, (17, 4), ['.', '', '.', '.'], [(18, 1), (10, 11), (14, 4)], [False, False, False, False], 92, False, [True, False, True, True], 146, 'East', (18, 4))
Element 5: (3, (18, 4), ['', '%', '%', '%'], [(17, 1), (11, 11), (14, 5)], [False, True, True, True], 90, False, [False, False, False, False], 175, 'West', (17, 4))
Element 6: (3, (17, 4), ['.', '', '.', ''], [(16, 1), (12, 11), (15, 5)], [False, False, False, False], 88, False, [True, False, True, False], 204, 'North', (17, 5))
Element 7: (3, (17, 5), ['G', '', '.', '%'], [(15, 1), (13, 11), (16, 5)], [False, False, False, True], 86, False, [False, False, True, False], 243, 'North', (17, 6))
Element 8: (3, (17, 6), ['G', '', '%', '.'], [(14, 1), (12, 11), (16, 6)], [False, False, True, False], 84, False, [False, False, False, True], 272, 'East', (18, 6))
Element 9: (3, (18, 6), ['', '%', '%', '%'], [(13, 1), (11, 11), (16, 7)], [False, True, True, True], 82, False, [False, False, False, False], 301, 'West', (17, 6))
Element 10: (3, (17, 6), ['', '', '%', ''], [(12, 1), (11, 12), (15, 7)], [False, False, True, False], 80, False, [False, False, False, False], 330, 'South', (17, 5))
Element 11: (3, (17, 5), ['', '', '', '%'], [(11, 1), (11, 13), (15, 6)], [False, False, False, True], 78, False, [False, False, False, False], 359, 'South', (17, 4))
Element 12: (3, (17, 4), ['.', '', '', ''], [(10, 1), (12, 13), (14, 6)], [False, False, False, False], 76, False, [True, False, False, False], 1378, 'West', (16, 4))
Element 13: (3, (16, 4), ['%', '', '', ''], [(10, 2), (13, 13), (14, 7)], [True, False, False, False], 74, False, [False, False, False, False], 1417, 'North', (16, 5))
Element 14: (3, (16, 5), ['', '', '', ''], [(11, 2), (14, 13), (13, 7)], [False, False, False, False], 72, False, [False, False, False, False], 1446, 'North', (16, 6))
Element 15: (3, (16, 6), ['', '', '', ''], [(11, 3), (14, 12), (13, 8)], [False, False, False, False], 70, False, [False, False, False, False], 1465, 'North', (16, 7))
Element 16: (3, (16, 7), ['', '', '%', '%'], [(11, 4), (15, 12), (13, 9)], [False, False, True, True], 68, False, [False, False, False, False], 1494, 'West', (15, 7))
Element 17: (3, (15, 7), ['', '', '%', ''], [(12, 4), (16, 12), (14, 9)], [False, False, True, False], 66, False, [False, False, False, False], 1523, 'South', (15, 6))
Element 18: (3, (15, 6), ['', '', '', ''], [(13, 4), (17, 12), (15, 9)], [False, False, False, False], 64, False, [False, False, False, False], 1552, 'South', (15, 5))
Element 19: (3, (15, 5), ['', '%', '', ''], [(13, 5), (18, 12), (16, 9)], [False, True, False, False], 62, False, [False, False, False, False], 1581, 'West', (14, 5))
Element 20: (3, (14, 5), ['', '', '', ''], [(13, 6), (18, 13), (17, 9)], [False, False, False, False], 60, False, [False, False, False, False], 1610, 'North', (14, 6))
Element 21: (3, (14, 6), ['', '', '', ''], [(12, 6), (17, 13), (18, 9)], [False, False, False, False], 58, False, [False, False, False, False], 2629, 'North', (14, 7))
Element 22: (3, (14, 7), ['', '', '%', ''], [(12, 7), (16, 13), (18, 10)], [False, False, True, False], 56, False, [False, False, False, False], 2658, 'West', (13, 7))
Element 23: (3, (13, 7), ['', '', '', ''], [(12, 8), (17, 13), (18, 11)], [False, False, False, False], 54, False, [False, False, False, False], 2677, 'North', (13, 8))
Element 24: (3, (13, 8), ['', '', '', '%'], [(12, 9), (18, 13), (17, 11)], [False, False, False, True], 52, False, [False, False, False, False], 2696, 'North', (13, 9))
Element 25: (3, (13, 9), ['', '', '%', ''], [(11, 9), (18, 12), (17, 10)], [False, False, True, False], 50, False, [False, False, False, False], 2715, 'East', (14, 9))
Element 26: (3, (14, 9), ['', '%', '%', ''], [(12, 9), (18, 11), (16, 10)], [False, True, True, False], 48, False, [False, False, False, False], 2724, 'East', (15, 9))
Element 27: (3, (15, 9), ['', '%', '.', ''], [(12, 8), (18, 10), (16, 11)], [False, True, False, False], 46, False, [False, False, True, False], 2733, 'North', (15, 10))
Element 28: (3, (15, 10), ['%', '', 'G', ''], [(12, 7), (18, 9), (15, 11)], [True, False, False, False], 44, False, [False, False, False, False], 2752, 'East', (16, 10))
Element 29: (3, (16, 10), ['', '', '', ''], [(11, 7), (18, 8), (15, 12)], [False, False, False, False], 42, False, [False, False, False, False], 2771, 'East', (17, 10))
Element 30: (3, (17, 10), ['', '', '', ''], [(11, 6), (17, 8), (16, 12)], [False, False, False, False], 40, False, [False, False, False, False], 2790, 'East', (18, 10))
Element 31: (3, (18, 10), ['', '', '', '%'], [(10, 6), (17, 9), (17, 12)], [False, False, False, True], 38, False, [False, False, False, False], 2799, 'North', (18, 11))
Element 32: (3, (18, 11), ['', '', 'G', '%'], [(10, 5), (17, 10), (18, 12)], [False, False, False, True], 36, False, [False, False, False, False], 2808, 'West', (17, 11))
Element 33: (3, (17, 11), ['', '', '', ''], [(10, 4), (16, 10), (18, 13)], [False, False, False, False], 34, False, [False, False, False, False], 2817, 'North', (17, 12))
Element 34: (3, (17, 12), ['', '', 'G', ''], [(9, 4), (16, 11), (17, 13)], [False, False, False, False], 32, False, [False, False, False, False], 2826, 'East', (18, 12))
Element 35: (3, (18, 12), ['', '', '', '%'], [(9, 5), (17, 11), (16, 13)], [False, False, False, True], 30, False, [False, False, False, False], 2835, 'North', (18, 13))
Element 36: (3, (18, 13), ['G', '', '%', '%'], [(9, 6), (16, 11), (17, 13)], [False, False, True, True], 28, False, [False, False, False, False], 2844, 'South', (18, 12))
Element 37: (3, (18, 12), ['', '', 'G', '%'], [(8, 6), (15, 11), (18, 13)], [False, False, False, True], 26, False, [False, False, False, False], 2853, 'West', (17, 12))
Element 38: (3, (17, 12), ['', '', '', 'G'], [(8, 7), (15, 10), (18, 12)], [False, False, False, False], 24, False, [False, False, False, False], 3852, 'West', (16, 12))
