Element 1: (3, (15, 10), ['%', '', '.', '.'], [(5, 2), (3, 8), (16, 9)], [True, False, False, False], 98, False, [False, False, True, True], 29, 'East', (16, 10))
Element 2: (3, (16, 10), ['', '', '.', '.'], [(4, 2), (4, 8), (17, 9)], [False, False, False, False], 96, False, [False, False, True, True], 58, 'East', (17, 10))
Element 3: (3, (17, 10), ['', '', '.', '.'], [(4, 1), (5, 8), (18, 9)], [False, False, False, False], 94, False, [False, False, True, True], 97, 'East', (18, 10))
Element 4: (3, (18, 10), ['', '', '.', '%'], [(3, 1), (5, 7), (18, 8)], [False, False, False, True], 92, False, [False, False, True, False], 136, 'North', (18, 11))
Element 5: (3, (18, 11), ['.', '', '.', '%'], [(3, 2), (6, 7), (17, 8)], [False, False, False, True], 90, False, [True, False, True, False], 175, 'North', (18, 12))
Element 6: (3, (18, 12), ['.', '', '.', '%'], [(2, 2), (7, 7), (18, 8)], [False, False, False, True], 88, False, [True, False, True, False], 204, 'North', (18, 13))
Element 7: (3, (18, 13), ['.', '', '%', '%'], [(2, 1), (8, 7), (18, 9)], [False, False, True, True], 86, False, [True, False, False, False], 1223, 'West', (17, 13))
Element 8: (3, (17, 13), ['.', '.', '%', ''], [(1, 1), (8, 8), (17, 9)], [False, False, True, False], 84, False, [True, True, False, False], 1252, 'South', (17, 12))
Element 9: (3, (17, 12), ['.', '.', '', ''], [(1, 2), (9, 8), (17, 8)], [False, False, False, False], 82, False, [True, True, False, False], 1281, 'South', (17, 11))
Element 10: (3, (17, 11), ['.', '', '', ''], [(1, 1), (10, 8), (17, 9)], [False, False, False, False], 80, False, [True, False, False, False], 1300, 'West', (16, 11))
Element 11: (3, (16, 11), ['.', '', '.', ''], [(2, 1), (9, 8), (16, 9)], [False, False, False, False], 78, False, [True, False, True, False], 1309, 'North', (16, 12))
Element 12: (3, (16, 12), ['.', '', '.', ''], [(2, 2), (8, 8), (15, 9)], [False, False, False, False], 76, False, [True, False, True, False], 1318, 'North', (16, 13))
Element 13: (3, (16, 13), ['%', '', '%', ''], [(1, 2), (8, 7), (14, 9)], [True, False, True, False], 74, False, [False, False, False, False], 1337, 'South', (16, 12))
Element 14: (3, (16, 12), ['.', '', '', ''], [(2, 2), (8, 6), (13, 9)], [False, False, False, False], 72, False, [True, False, False, False], 1356, 'West', (15, 12))
Element 15: (3, (15, 12), ['.', '.', '%', ''], [(3, 2), (9, 6), (13, 8)], [False, False, True, False], 70, False, [True, True, False, False], 1385, 'South', (15, 11))
Element 16: (3, (15, 11), ['%', '', '', ''], [(3, 1), (10, 6), (13, 7)], [True, False, False, False], 68, False, [False, False, False, False], 1414, 'North', (15, 12))
Element 17: (3, (15, 12), ['.', '', '%', ''], [(2, 1), (11, 6), (14, 7)], [False, False, True, False], 66, False, [True, False, False, False], 1433, 'West', (14, 12))
Element 18: (3, (14, 12), ['%', '%', '.', ''], [(3, 1), (12, 6), (15, 7)], [True, True, False, False], 64, False, [False, False, True, False], 2452, 'North', (14, 13))
Element 19: (3, (14, 13), ['.', '', '%', '%'], [(4, 1), (13, 6), (16, 7)], [False, False, True, True], 62, False, [True, False, False, False], 2481, 'West', (13, 13))
Element 20: (3, (13, 13), ['.', '%', '%', ''], [(4, 2), (14, 6), (16, 6)], [False, True, True, False], 60, False, [True, False, False, False], 2510, 'West', (12, 13))
Element 21: (3, (12, 13), ['.', '%', '%', ''], [(3, 2), (15, 6), (17, 6)], [False, True, True, False], 58, False, [True, False, False, False], 2539, 'West', (11, 13))
Element 22: (3, (11, 13), ['%', '.', '%', ''], [(4, 2), (15, 5), (18, 6)], [True, False, True, False], 56, False, [False, True, False, False], 2568, 'South', (11, 12))
Element 23: (3, (11, 12), ['.', '.', '', '%'], [(4, 2), (16, 5), (17, 6)], [False, False, False, True], 54, False, [True, True, False, False], 2587, 'South', (11, 11))
Element 24: (3, (11, 11), ['.', '%', '', '.'], [(5, 2), (17, 5), (16, 6)], [False, True, False, False], 52, False, [True, False, False, True], 2606, 'East', (12, 11))
