Element 1: (2, (15, 10), ['%', '.', 'G', '.'], [(4, 5), (9, 4), (15, 11)], [True, False, False, False], 98, False, [False, True, False, True], 19, 'East', (16, 10))
Element 2: (2, (16, 10), ['', '.', 'G', '.'], [(3, 5), (10, 4), (16, 11)], [False, False, False, False], 96, False, [False, True, False, True], 48, 'East', (17, 10))
Element 3: (2, (17, 10), ['', '.', 'G', '.'], [(2, 5), (11, 4), (17, 11)], [False, False, False, False], 94, False, [False, True, False, True], 87, 'East', (18, 10))
Element 4: (2, (18, 10), ['', '.', 'G', '%'], [(1, 5), (12, 4), (18, 11)], [False, False, False, True], 92, False, [False, True, False, False], 126, 'South', (18, 9))
Element 5: (2, (18, 9), ['.', '.', '', '%'], [(2, 5), (13, 4), (18, 12)], [False, False, False, True], 90, False, [True, True, False, False], 155, 'South', (18, 8))
Element 6: (2, (18, 8), ['.', '%', '', '%'], [(3, 5), (14, 4), (18, 13)], [False, True, False, True], 88, False, [True, False, False, False], 184, 'West', (17, 8))
Element 7: (2, (17, 8), ['%', '%', '.', ''], [(3, 5), (14, 5), (17, 13)], [True, True, False, False], 86, False, [False, False, True, False], 213, 'North', (17, 9))
Element 8: (2, (17, 9), ['.', '', '', ''], [(4, 5), (15, 5), (17, 12)], [False, False, False, False], 84, False, [True, False, False, False], 242, 'West', (16, 9))
Element 9: (2, (16, 9), ['.', '%', '', ''], [(3, 5), (16, 5), (16, 12)], [False, True, False, False], 82, False, [True, False, False, False], 271, 'West', (15, 9))
Element 10: (2, (15, 9), ['.', '%', '', ''], [(2, 5), (17, 5), (16, 13)], [False, True, False, False], 80, False, [True, False, False, False], 300, 'West', (14, 9))
Element 11: (2, (14, 9), ['.', '%', '%', ''], [(1, 5), (17, 6), (16, 12)], [False, True, True, False], 78, False, [True, False, False, False], 319, 'West', (13, 9))
Element 12: (2, (13, 9), ['.', '.', '%', ''], [(2, 5), (18, 6), (15, 12)], [False, False, True, False], 76, False, [True, True, False, False], 348, 'South', (13, 8))
Element 13: (2, (13, 8), ['.', '.', '', '%'], [(3, 5), (17, 6), (14, 12)], [False, False, False, True], 74, False, [True, True, False, False], 367, 'South', (13, 7))
Element 14: (2, (13, 7), ['.', '.', '', '.'], [(3, 5), (16, 6), (14, 13)], [False, False, False, False], 72, False, [True, True, False, True], 396, 'East', (14, 7))
Element 15: (2, (14, 7), ['', '.', '%', '.'], [(4, 5), (16, 7), (13, 13)], [False, False, True, False], 70, False, [False, True, False, True], 425, 'East', (15, 7))
Element 16: (2, (15, 7), ['', '.', '%', ''], [(3, 5), (16, 6), (12, 13)], [False, False, True, False], 68, False, [False, True, False, False], 444, 'South', (15, 6))
Element 17: (2, (15, 6), ['.', '', '', ''], [(2, 5), (16, 5), (11, 13)], [False, False, False, False], 66, False, [True, False, False, False], 463, 'West', (14, 6))
Element 18: (2, (14, 6), ['.', '', '', ''], [(1, 5), (16, 6), (11, 12)], [False, False, False, False], 64, False, [True, False, False, False], 482, 'West', (13, 6))
Element 19: (2, (13, 6), ['F', '.', '', ''], [(2, 5), (17, 6), (11, 11)], [False, False, False, False], 62, False, [False, True, False, False], 501, 'West', (12, 6))
Element 20: (2, (12, 6), ['.', '%', '.', ''], [(3, 5), (17, 5), (12, 11)], [False, True, False, False], 60, False, [True, False, True, False], 1510, 'North', (12, 7))
Element 21: (2, (12, 7), ['.', '', '.', ''], [(3, 5), (17, 4), (13, 11)], [False, False, False, False], 58, False, [True, False, True, False], 1539, 'North', (12, 8))
Element 22: (2, (12, 8), ['%', '', '.', ''], [(4, 5), (18, 4), (12, 11)], [True, False, False, False], 56, False, [False, False, True, False], 1558, 'North', (12, 9))
Element 23: (2, (12, 9), ['.', '', '%', ''], [(3, 5), (17, 4), (11, 11)], [False, False, True, False], 54, False, [True, False, False, False], 1567, 'West', (11, 9))
Element 24: (2, (11, 9), ['%', '%', '%', ''], [(2, 5), (17, 3), (10, 11)], [True, True, True, False], 52, False, [False, False, False, False], 1596, 'East', (12, 9))
Element 25: (2, (12, 9), ['', '', '%', ''], [(1, 5), (17, 2), (10, 12)], [False, False, True, False], 50, False, [False, False, False, False], 1615, 'South', (12, 8))
Element 26: (2, (12, 8), ['%', '', '', ''], [(2, 5), (17, 1), (9, 12)], [True, False, False, False], 48, False, [False, False, False, False], 1634, 'South', (12, 7))
