Element 1: (2, (14, 3), ['.', '%', 'G', '.'], [(17, 4), (7, 3), (14, 4)], [False, True, False, False], 98, False, [True, False, False, True], 19, 'East', (15, 3))
Element 2: (2, (15, 3), ['', '.', '%', '.'], [(17, 5), (8, 3), (14, 5)], [False, False, True, False], 96, False, [False, True, False, True], 58, 'East', (16, 3))
Element 3: (2, (16, 3), ['', '.', '.', '.'], [(17, 6), (9, 3), (15, 5)], [False, False, False, False], 94, False, [False, True, True, True], 97, 'East', (17, 3))
Element 4: (2, (17, 3), ['', '.', '', '%'], [(18, 6), (9, 4), (16, 5)], [False, False, False, True], 92, False, [False, True, False, False], 136, 'South', (17, 2))
Element 5: (2, (17, 2), ['.', '.', '', '%'], [(17, 6), (10, 4), (16, 6)], [False, False, False, True], 90, False, [True, True, False, False], 165, 'South', (17, 1))
Element 6: (2, (17, 1), ['.', '%', '', '.'], [(16, 6), (11, 4), (16, 7)], [False, True, False, False], 88, False, [True, False, False, True], 194, 'East', (18, 1))
Element 7: (2, (18, 1), ['', '%', '%', '%'], [(15, 6), (12, 4), (15, 7)], [False, True, True, True], 86, False, [False, False, False, False], 233, 'West', (17, 1))
Element 8: (2, (17, 1), ['.', '%', '', ''], [(14, 6), (13, 4), (14, 7)], [False, True, False, False], 84, False, [True, False, False, False], 262, 'West', (16, 1))
Element 9: (2, (16, 1), ['.', '%', '.', ''], [(13, 6), (13, 5), (13, 7)], [False, True, False, False], 82, False, [True, False, True, False], 301, 'North', (16, 2))
Element 10: (2, (16, 2), ['.', '', '', ''], [(12, 6), (14, 5), (13, 8)], [False, False, False, False], 80, False, [True, False, False, False], 1320, 'West', (15, 2))
Element 11: (2, (15, 2), ['%', '.', '', ''], [(12, 7), (15, 5), (13, 9)], [True, False, False, False], 78, False, [False, True, False, False], 1349, 'South', (15, 1))
Element 12: (2, (15, 1), ['.', '%', '', ''], [(12, 8), (16, 5), (14, 9)], [False, True, False, False], 76, False, [True, False, False, False], 1378, 'West', (14, 1))
Element 13: (2, (14, 1), ['.', '%', '%', ''], [(12, 9), (16, 4), (15, 9)], [False, True, True, False], 74, False, [True, False, False, False], 1417, 'West', (13, 1))
Element 14: (2, (13, 1), ['.', '%', '%', ''], [(11, 9), (17, 4), (16, 9)], [False, True, True, False], 72, False, [True, False, False, False], 1446, 'West', (12, 1))
Element 15: (2, (12, 1), ['.', '%', '%', ''], [(12, 9), (18, 4), (17, 9)], [False, True, True, False], 70, False, [True, False, False, False], 1465, 'West', (11, 1))
Element 16: (2, (11, 1), ['F', '%', '.', ''], [(13, 9), (17, 4), (18, 9)], [False, True, False, False], 68, False, [False, False, True, False], 1484, 'West', (10, 1))
Element 17: (2, (10, 1), ['.', '%', '.', ''], [(14, 9), (17, 5), (18, 10)], [False, True, False, False], 66, False, [True, False, True, False], 2493, 'North', (10, 2))
Element 18: (2, (10, 2), ['%', '', '%', '.'], [(15, 9), (17, 6), (18, 11)], [True, False, True, False], 64, False, [False, False, False, True], 2512, 'East', (11, 2))
Element 19: (2, (11, 2), ['', '', '.', '%'], [(15, 10), (18, 6), (18, 12)], [False, False, False, True], 62, False, [False, False, True, False], 2541, 'North', (11, 3))
Element 20: (2, (11, 3), ['%', '', '', '.'], [(16, 10), (17, 6), (18, 13)], [True, False, False, False], 60, False, [False, False, False, True], 2570, 'East', (12, 3))
Element 21: (2, (12, 3), ['', '%', '', '.'], [(17, 10), (16, 6), (17, 13)], [False, True, False, False], 58, False, [False, False, False, True], 2599, 'East', (13, 3))
Element 22: (2, (13, 3), ['', '%', '', ''], [(17, 11), (16, 7), (17, 12)], [False, True, False, False], 56, False, [False, False, False, False], 2628, 'North', (13, 4))
Element 23: (2, (13, 4), ['', '', '', ''], [(16, 11), (15, 7), (16, 12)], [False, False, False, False], 54, False, [False, False, False, False], 2647, 'East', (14, 4))
Element 24: (2, (14, 4), ['', '', '', '%'], [(15, 11), (15, 6), (16, 13)], [False, False, False, True], 52, False, [False, False, False, False], 2666, 'North', (14, 5))
Element 25: (2, (14, 5), ['', '', 'G', ''], [(15, 12), (14, 6), (16, 12)], [False, False, False, False], 50, False, [False, False, False, False], 2675, 'East', (15, 5))
Element 26: (2, (15, 5), ['', '%', '', ''], [(14, 12), (14, 7), (16, 11)], [False, True, False, False], 48, False, [False, False, False, False], 2684, 'East', (16, 5))
Element 27: (2, (16, 5), ['', '', '', ''], [(14, 13), (13, 7), (17, 11)], [False, False, False, False], 46, False, [False, False, False, False], 2693, 'East', (17, 5))
