Element 1: (2, (9, 4), ['.', '', '.', ''], [(11, 4), (8, 3), (15, 6)], [False, False, False, False], 98, False, [True, False, True, False], 19, 'North', (9, 5))
Element 2: (2, (9, 5), ['.', '', '.', '.'], [(12, 4), (8, 4), (16, 6)], [False, False, False, False], 96, False, [True, False, True, True], 58, 'East', (10, 5))
Element 3: (2, (10, 5), ['', '', '.', '%'], [(13, 4), (8, 5), (17, 6)], [False, False, False, True], 94, False, [False, False, True, False], 97, 'North', (10, 6))
Element 4: (2, (10, 6), ['.', '', '%', '.'], [(14, 4), (8, 6), (18, 6)], [False, False, True, False], 92, False, [True, False, False, True], 136, 'East', (11, 6))
Element 5: (2, (11, 6), ['', '%', '.', 'F'], [(14, 5), (8, 7), (17, 6)], [False, True, False, False], 90, False, [False, False, True, False], 1155, 'East', (12, 6))
Element 6: (2, (12, 6), ['', '%', '.', '.'], [(15, 5), (8, 8), (17, 5)], [False, True, False, False], 88, False, [False, False, True, True], 2184, 'East', (13, 6))
Element 7: (2, (13, 6), ['', '.', '.', '.'], [(16, 5), (9, 8), (17, 4)], [False, False, False, False], 86, False, [False, True, True, True], 2223, 'East', (14, 6))
Element 8: (2, (14, 6), ['', '', '.', ''], [(16, 4), (10, 8), (18, 4)], [False, False, False, False], 84, False, [False, False, True, False], 2262, 'North', (14, 7))
Element 9: (2, (14, 7), ['.', '', '%', '.'], [(16, 3), (9, 8), (17, 4)], [False, False, True, False], 82, False, [True, False, False, True], 2281, 'East', (15, 7))
Element 10: (2, (15, 7), ['', '', '%', '.'], [(16, 2), (8, 8), (17, 3)], [False, False, True, False], 80, False, [False, False, False, True], 2310, 'East', (16, 7))
Element 11: (2, (16, 7), ['', '', '%', '%'], [(16, 1), (8, 7), (17, 2)], [False, False, True, True], 78, False, [False, False, False, False], 2339, 'South', (16, 6))
Element 12: (2, (16, 6), ['', '', '', ''], [(15, 1), (7, 7), (17, 1)], [False, False, False, False], 76, False, [False, False, False, False], 2368, 'East', (17, 6))
Element 13: (2, (17, 6), ['', '', '%', ''], [(15, 2), (7, 6), (18, 1)], [False, False, True, False], 74, False, [False, False, False, False], 2397, 'East', (18, 6))
Element 14: (2, (18, 6), ['', '%', '%', '%'], [(15, 3), (7, 5), (17, 1)], [False, True, True, True], 72, False, [False, False, False, False], 2416, 'West', (17, 6))
Element 15: (2, (17, 6), ['', '', '%', ''], [(14, 3), (6, 5), (16, 1)], [False, False, True, False], 70, False, [False, False, False, False], 3425, 'South', (17, 5))
Element 16: (2, (17, 5), ['', '', '', '%'], [(13, 3), (6, 6), (16, 2)], [False, False, False, True], 68, False, [False, False, False, False], 3444, 'South', (17, 4))
Element 17: (2, (17, 4), ['', '', '', ''], [(12, 3), (6, 7), (16, 3)], [False, False, False, False], 66, False, [False, False, False, False], 3463, 'East', (18, 4))
Element 18: (2, (18, 4), ['', '%', '%', '%'], [(11, 3), (5, 7), (16, 4)], [False, True, True, True], 64, False, [False, False, False, False], 3482, 'West', (17, 4))
Element 19: (2, (17, 4), ['', '', '', ''], [(11, 2), (5, 8), (16, 5)], [False, False, False, False], 62, False, [False, False, False, False], 3501, 'South', (17, 3))
Element 20: (2, (17, 3), ['', '', '', '%'], [(11, 1), (4, 8), (15, 5)], [False, False, False, True], 60, False, [False, False, False, False], 3520, 'South', (17, 2))
Element 21: #1#
