Element 1: (2, (2, 13), ['G', '%', '%', '.'], [(1, 13), (2, 5), (16, 12)], [False, True, True, False], 98, False, [False, False, False, True], 9, 'East', (3, 13))
Element 2: (2, (3, 13), ['G', '.', '%', '%'], [(2, 13), (3, 5), (17, 12)], [False, False, True, True], 96, False, [False, True, False, False], 38, 'South', (3, 12))
Element 3: (2, (3, 12), ['%', '%', 'G', '.'], [(3, 13), (4, 5), (18, 12)], [True, True, False, False], 94, False, [False, False, False, True], 67, 'East', (4, 12))
Element 4: (2, (4, 12), ['G', '%', '%', '.'], [(3, 12), (3, 5), (18, 13)], [False, True, True, False], 92, False, [False, False, False, True], 86, 'East', (5, 12))
Element 5: (2, (5, 12), ['G', '.', '.', '.'], [(4, 12), (2, 5), (17, 13)], [False, False, False, False], 90, False, [False, True, True, True], 105, 'East', (6, 12))
Element 6: (2, (6, 12), ['G', '.', '.', '%'], [(5, 12), (1, 5), (16, 13)], [False, False, False, True], 88, False, [False, True, True, False], 124, 'North', (6, 13))
Element 7: (2, (6, 13), ['G', '', '%', '.'], [(5, 13), (1, 5), (17, 13)], [False, False, True, False], 86, False, [False, False, False, True], 143, 'East', (7, 13))
Element 8: (2, (7, 13), ['G', '%', '%', '%'], [(6, 13), (2, 5), (18, 13)], [False, True, True, True], 84, False, [False, False, False, False], 152, 'Stop', (7, 13))
Element 9: (2, (7, 13), ['', '%', '%', '%'], [(6, 12), (3, 5), (18, 12)], [False, True, True, True], 82, False, [False, False, False, False], 151, 'West', (6, 13))
Element 10: (2, (6, 13), ['', '', '%', ''], [(6, 11), (4, 5), (18, 11)], [False, False, True, False], 80, False, [False, False, False, False], 170, 'West', (5, 13))
Element 11: (2, (5, 13), ['%', '', '%', ''], [(7, 11), (3, 5), (18, 10)], [True, False, True, False], 78, False, [False, False, False, False], 189, 'South', (5, 12))
Element 12: (2, (5, 12), ['', '.', '', ''], [(7, 10), (2, 5), (18, 9)], [False, False, False, False], 76, False, [False, True, False, False], 208, 'Stop', (5, 12))
Element 13: (2, (5, 12), ['', '.', '', ''], [(8, 10), (1, 5), (18, 8)], [False, False, False, False], 74, False, [False, True, False, False], 227, 'North', (5, 13))
Element 14: (2, (5, 13), ['%', '', '%', ''], [(9, 10), (1, 5), (17, 8)], [True, False, True, False], 72, False, [False, False, False, False], 246, 'South', (5, 12))
Element 15: (2, (5, 12), ['', '.', '', ''], [(9, 11), (2, 5), (17, 9)], [False, False, False, False], 70, False, [False, True, False, False], 265, 'South', (5, 11))
Element 16: (2, (5, 11), ['%', '.', '', ''], [(10, 11), (3, 5), (17, 10)], [True, False, False, False], 68, False, [False, True, False, False], 294, 'South', (5, 10))
Element 17: (2, (5, 10), ['.', '%', '', '.'], [(11, 11), (4, 5), (17, 11)], [False, True, False, False], 66, False, [True, False, False, True], 323, 'East', (6, 10))
Element 18: (2, (6, 10), ['', '%', '', ''], [(12, 11), (3, 5), (16, 11)], [False, True, False, False], 64, False, [False, False, False, False], 352, 'East', (7, 10))
Element 19: (2, (7, 10), ['', '%', '', ''], [(13, 11), (2, 5), (16, 10)], [False, True, False, False], 62, False, [False, False, False, False], 371, 'East', (8, 10))
Element 20: (2, (8, 10), ['', '%', '%', ''], [(12, 11), (1, 5), (16, 9)], [False, True, True, False], 60, False, [False, False, False, False], 380, 'East', (9, 10))
Element 21: (2, (9, 10), ['', '%', '', '%'], [(11, 11), (1, 5), (15, 9)], [False, True, False, True], 58, False, [False, False, False, False], 389, 'North', (9, 11))
Element 22: (2, (9, 11), ['%', '', '.', ''], [(11, 12), (2, 5), (15, 10)], [True, False, False, False], 56, False, [False, False, True, False], 408, 'North', (9, 12))
Element 23: (2, (9, 12), ['.', '', '.', '.'], [(11, 13), (3, 5), (15, 11)], [False, False, False, False], 54, False, [True, False, True, True], 437, 'East', (10, 12))
Element 24: (2, (10, 12), ['', '', '%', ''], [(12, 13), (4, 5), (15, 12)], [False, False, True, False], 52, False, [False, False, False, False], 466, 'East', (11, 12))
Element 25: (2, (11, 12), ['', '', '', '%'], [(13, 13), (3, 5), (14, 12)], [False, False, False, True], 50, False, [False, False, False, False], 485, 'North', (11, 13))
Element 26: (2, (11, 13), ['%', '', '%', 'G'], [(12, 13), (2, 5), (14, 13)], [True, False, True, False], 48, False, [False, False, False, False], 494, 'South', (11, 12))
Element 27: (2, (11, 12), ['', '', 'G', '%'], [(11, 13), (1, 5), (13, 13)], [False, False, False, True], 46, False, [False, False, False, False], 493, 'South', (11, 11))
Element 28: (2, (11, 11), ['', '%', 'G', ''], [(11, 12), (1, 5), (12, 13)], [False, True, False, False], 44, False, [False, False, False, False], 492, 'East', (12, 11))
Element 29: (2, (12, 11), ['', '%', '%', ''], [(10, 12), (2, 5), (11, 13)], [False, True, True, False], 42, False, [False, False, False, False], 491, 'East', (13, 11))
Element 30: (2, (13, 11), ['', '%', '%', '%'], [(9, 12), (3, 5), (11, 12)], [False, True, True, True], 40, False, [False, False, False, False], 490, 'West', (12, 11))
Element 31: (2, (12, 11), ['G', '%', '%', ''], [(9, 13), (4, 5), (11, 11)], [False, True, True, False], 38, False, [False, False, False, False], 499, 'East', (13, 11))
Element 32: (2, (13, 11), ['G', '%', '%', '%'], [(9, 12), (3, 5), (12, 11)], [False, True, True, True], 36, False, [False, False, False, False], 498, 'West', (12, 11))
