Element 1: (2, (12, 13), ['', '%', '%', '.'], [(10, 12), (11, 12), (18, 10)], [False, True, True, False], 98, False, [False, False, False, True], 19, 'East', (13, 13))
Element 2: (2, (13, 13), ['', '%', '%', '.'], [(10, 11), (11, 11), (18, 11)], [False, True, True, False], 96, False, [False, False, False, True], 58, 'East', (14, 13))
Element 3: (2, (14, 13), ['', '.', '%', '%'], [(9, 11), (12, 11), (18, 12)], [False, False, True, True], 94, False, [False, True, False, False], 97, 'South', (14, 12))
Element 4: (2, (14, 12), ['%', '%', '', '.'], [(9, 10), (13, 11), (18, 13)], [True, True, False, False], 92, False, [False, False, False, True], 136, 'East', (15, 12))
Element 5: (2, (15, 12), ['', '.', '%', '.'], [(8, 10), (12, 11), (17, 13)], [False, False, True, False], 90, False, [False, True, False, True], 165, 'East', (16, 12))
Element 6: (2, (16, 12), ['', '.', '.', 'G'], [(7, 10), (11, 11), (17, 12)], [False, False, False, False], 88, False, [False, True, True, False], 194, 'North', (16, 13))
Element 7: (2, (16, 13), ['%', '', '%', ''], [(7, 11), (10, 11), (17, 11)], [True, False, True, False], 86, False, [False, False, False, False], 223, 'East', (17, 13))
Element 8: (2, (17, 13), ['', '', '%', ''], [(6, 11), (10, 12), (17, 10)], [False, False, True, False], 84, False, [False, False, False, False], 242, 'East', (18, 13))
Element 9: (2, (18, 13), ['', '', '%', '%'], [(6, 12), (9, 12), (17, 9)], [False, False, True, True], 82, False, [False, False, False, False], 261, 'South', (18, 12))
Element 10: (2, (18, 12), ['', '', '', '%'], [(6, 13), (9, 13), (18, 9)], [False, False, False, True], 80, False, [False, False, False, False], 290, 'South', (18, 11))
Element 11: (2, (18, 11), ['', '', '', '%'], [(7, 13), (9, 12), (18, 8)], [False, False, False, True], 78, False, [False, False, False, False], 309, 'South', (18, 10))
Element 12: (2, (18, 10), ['', '', '', '%'], [(6, 13), (8, 12), (17, 8)], [False, False, False, True], 76, False, [False, False, False, False], 328, 'South', (18, 9))
Element 13: (2, (18, 9), ['', 'G', '', '%'], [(5, 13), (9, 12), (18, 8)], [False, False, False, True], 74, False, [False, False, False, False], 337, 'West', (17, 9))
Element 14: (2, (17, 9), ['.', '', '', 'G'], [(5, 12), (9, 11), (18, 9)], [False, False, False, False], 72, False, [True, False, False, False], 346, 'West', (16, 9))
Element 15: (2, (16, 9), ['.', '%', '.', 'G'], [(5, 11), (9, 10), (17, 9)], [False, True, False, False], 70, False, [True, False, True, False], 365, 'North', (16, 10))
Element 16: (2, (16, 10), ['.', '', '.', ''], [(5, 10), (8, 10), (17, 8)], [False, False, False, False], 68, False, [True, False, True, False], 384, 'North', (16, 11))
Element 17: (2, (16, 11), ['.', '', '', ''], [(6, 10), (7, 10), (17, 9)], [False, False, False, False], 66, False, [True, False, False, False], 403, 'West', (15, 11))
Element 18: (2, (15, 11), ['%', '.', '', ''], [(5, 10), (7, 11), (16, 9)], [True, False, False, False], 64, False, [False, True, False, False], 412, 'South', (15, 10))
Element 19: (2, (15, 10), ['%', 'G', '', ''], [(4, 10), (6, 11), (15, 9)], [True, False, False, False], 62, False, [False, False, False, False], 441, 'North', (15, 11))
Element 20: (2, (15, 11), ['%', '', '', ''], [(3, 10), (6, 12), (14, 9)], [True, False, False, False], 60, False, [False, False, False, False], 460, 'East', (16, 11))
Element 21: (2, (16, 11), ['', '', '', ''], [(4, 10), (6, 13), (13, 9)], [False, False, False, False], 58, False, [False, False, False, False], 469, 'East', (17, 11))
Element 22: (2, (17, 11), ['', '', '', ''], [(5, 10), (7, 13), (13, 8)], [False, False, False, False], 56, False, [False, False, False, False], 478, 'North', (17, 12))
Element 23: (2, (17, 12), ['', '', '', ''], [(5, 11), (6, 13), (13, 7)], [False, False, False, False], 54, False, [False, False, False, False], 487, 'South', (17, 11))
Element 24: (2, (17, 11), ['', '', '', ''], [(5, 12), (5, 13), (14, 7)], [False, False, False, False], 52, False, [False, False, False, False], 496, 'South', (17, 10))
Element 25: (2, (17, 10), ['', '', '', ''], [(4, 12), (5, 12), (15, 7)], [False, False, False, False], 50, False, [False, False, False, False], 515, 'North', (17, 11))
