Element 1: (1, (2, 8), ['%', '%', '', '.'], [(1, 9), (10, 6), (13, 8)], [True, True, False, False], 98, False, [False, False, False, True], 9, 'East', (3, 8))
Element 2: (1, (3, 8), ['', '%', '%', '.'], [(2, 9), (11, 6), (13, 9)], [False, True, True, False], 96, False, [False, False, False, True], 38, 'East', (4, 8))
Element 3: (1, (4, 8), ['', '.', '%', '.'], [(2, 9), (12, 6), (14, 9)], [False, False, True, False], 94, False, [False, True, False, True], 1057, 'East', (5, 8))
Element 4: (1, (5, 8), ['', '.', '%', '%'], [(2, 8), (13, 6), (15, 9)], [False, False, True, True], 92, False, [False, True, False, False], 1086, 'South', (5, 7))
Element 5: (1, (5, 7), ['.', '%', '', '.'], [(3, 8), (14, 6), (16, 9)], [False, True, False, False], 90, False, [True, False, False, True], 1115, 'East', (6, 7))
Element 6: (1, (6, 7), ['', '.', '%', '.'], [(4, 8), (15, 6), (17, 9)], [False, False, True, False], 88, False, [False, True, False, True], 1144, 'East', (7, 7))
Element 7: (1, (7, 7), ['', '.', '%', 'F'], [(4, 7), (16, 6), (18, 9)], [False, False, True, False], 86, False, [False, True, False, False], 1183, 'East', (8, 7))
Element 8: (1, (8, 7), ['', '.', '.', '%'], [(5, 7), (17, 6), (18, 10)], [False, False, False, True], 84, False, [False, True, True, False], 2202, 'North', (8, 8))
Element 9: (1, (8, 8), ['%', '', '%', '.'], [(6, 7), (18, 6), (18, 11)], [True, False, True, False], 82, False, [False, False, False, True], 2231, 'East', (9, 8))
Element 10: (1, (9, 8), ['', '%', '%', '.'], [(6, 6), (17, 6), (18, 12)], [False, True, True, False], 80, False, [False, False, False, True], 2260, 'East', (10, 8))
Element 11: (1, (10, 8), ['', '%', '%', '%'], [(6, 5), (17, 5), (18, 13)], [False, True, True, True], 78, False, [False, False, False, False], 3289, 'West', (9, 8))
Element 12: (1, (9, 8), ['', '%', '%', ''], [(7, 5), (17, 4), (17, 13)], [False, True, True, False], 76, False, [False, False, False, False], 3318, 'West', (8, 8))
Element 13: (1, (8, 8), ['%', '', '%', ''], [(8, 5), (18, 4), (17, 12)], [True, False, True, False], 74, False, [False, False, False, False], 3347, 'South', (8, 7))
Element 14: (1, (8, 7), ['', '.', '', '%'], [(9, 5), (17, 4), (17, 11)], [False, False, False, True], 72, False, [False, True, False, False], 3366, 'South', (8, 6))
Element 15: (1, (8, 6), ['.', '', '', '.'], [(10, 5), (17, 3), (17, 10)], [False, False, False, False], 70, False, [True, False, False, True], 3405, 'East', (9, 6))
Element 16: (1, (9, 6), ['', '', '%', ''], [(10, 4), (17, 2), (16, 10)], [False, False, True, False], 68, False, [False, False, False, False], 3444, 'East', (10, 6))
Element 17: (1, (10, 6), ['', '', '%', ''], [(11, 4), (17, 1), (16, 11)], [False, False, True, False], 66, False, [False, False, False, False], 3473, 'East', (11, 6))
Element 18: (1, (11, 6), ['', '%', '.', ''], [(12, 4), (18, 1), (16, 12)], [False, True, False, False], 64, False, [False, False, True, False], 3502, 'North', (11, 7))
Element 19: (1, (11, 7), ['%', '', '%', '.'], [(13, 4), (17, 1), (16, 13)], [True, False, True, False], 62, False, [False, False, False, True], 3531, 'East', (12, 7))
Element 20: (1, (12, 7), ['', '', '.', '.'], [(14, 4), (16, 1), (16, 12)], [False, False, False, False], 60, False, [False, False, True, True], 3560, 'East', (13, 7))
Element 21: (1, (13, 7), ['', '', '', '.'], [(14, 5), (16, 2), (15, 12)], [False, False, False, False], 58, False, [False, False, False, True], 3599, 'East', (14, 7))
Element 22: (1, (14, 7), ['', '', '%', '.'], [(15, 5), (16, 3), (15, 11)], [False, False, True, False], 56, False, [False, False, False, True], 3638, 'East', (15, 7))
Element 23: (1, (15, 7), ['', '', '%', '.'], [(16, 5), (16, 4), (15, 10)], [False, False, True, False], 54, False, [False, False, False, True], 3677, 'East', (16, 7))
Element 24: (1, (16, 7), ['', '', '%', '%'], [(17, 5), (16, 3), (15, 11)], [False, False, True, True], 52, False, [False, False, False, False], 3686, 'South', (16, 6))
Element 25: (1, (16, 6), ['', '', '', 'G'], [(17, 6), (15, 3), (15, 12)], [False, False, False, False], 50, False, [False, False, False, False], 3695, 'South', (16, 5))
Element 26: (1, (16, 5), ['', '', '', ''], [(18, 6), (15, 2), (14, 12)], [False, False, False, False], 48, False, [False, False, False, False], 3714, 'East', (17, 5))
Element 27: (1, (17, 5), ['', '', 'G', '%'], [(17, 6), (15, 1), (14, 13)], [False, False, False, True], 46, False, [False, False, False, False], 3733, 'South', (17, 4))
Element 28: (1, (17, 4), ['', '', '', ''], [(16, 6), (14, 1), (13, 13)], [False, False, False, False], 44, False, [False, False, False, False], 3752, 'East', (18, 4))
Element 29: (1, (18, 4), ['', '%', '%', '%'], [(16, 7), (13, 1), (12, 13)], [False, True, True, True], 42, False, [False, False, False, False], 3771, 'West', (17, 4))
Element 30: (1, (17, 4), ['', '', '', ''], [(15, 7), (12, 1), (11, 13)], [False, False, False, False], 40, False, [False, False, False, False], 3790, 'South', (17, 3))
Element 31: (1, (17, 3), ['', '', '', '%'], [(15, 6), (11, 1), (11, 12)], [False, False, False, True], 38, False, [False, False, False, False], 3809, 'South', (17, 2))
Element 32: #1#
