Element 1: (2, (5, 2), ['G', '%', '%', '%'], [(17, 11), (4, 2), (11, 1)], [False, True, True, True], 98, False, [False, False, False, False], 19, 'Stop', (5, 2))
Element 2: (2, (5, 2), ['', '%', '%', '%'], [(18, 11), (3, 2), (10, 1)], [False, True, True, True], 96, False, [False, False, False, False], 1038, 'West', (4, 2))
Element 3: (2, (4, 2), ['', '', '%', ''], [(18, 12), (3, 1), (10, 2)], [False, False, True, False], 94, False, [False, False, False, False], 1067, 'South', (4, 1))
Element 4: (2, (4, 1), ['', '%', '', '%'], [(18, 13), (2, 1), (11, 2)], [False, True, False, True], 92, False, [False, False, False, False], 1096, 'West', (3, 1))
Element 5: (2, (3, 1), ['', '%', '', ''], [(17, 13), (2, 2), (11, 3)], [False, True, False, False], 90, False, [False, False, False, False], 1125, 'North', (3, 2))
Element 6: (2, (3, 2), ['', '', '%', ''], [(17, 12), (1, 2), (12, 3)], [False, False, True, False], 88, False, [False, False, False, False], 1154, 'West', (2, 2))
Element 7: (2, (2, 2), ['', '', '%', ''], [(16, 12), (1, 1), (13, 3)], [False, False, True, False], 86, False, [False, False, False, False], 1183, 'South', (2, 1))
Element 8: (2, (2, 1), ['', '%', '', ''], [(16, 13), (1, 2), (14, 3)], [False, True, False, False], 84, False, [False, False, False, False], 1202, 'West', (1, 1))
Element 9: (2, (1, 1), ['%', '%', '', ''], [(16, 12), (2, 2), (15, 3)], [True, True, False, False], 82, False, [False, False, False, False], 1211, 'North', (1, 2))
Element 10: (2, (1, 2), ['%', '', '%', ''], [(15, 12), (2, 1), (16, 3)], [True, False, True, False], 80, False, [False, False, False, False], 1230, 'South', (1, 1))
Element 11: (2, (1, 1), ['%', '%', '', ''], [(15, 11), (2, 2), (17, 3)], [True, True, False, False], 78, False, [False, False, False, False], 1249, 'East', (2, 1))
Element 12: (2, (2, 1), ['', '%', '', ''], [(15, 10), (1, 2), (17, 4)], [False, True, False, False], 76, False, [False, False, False, False], 1268, 'North', (2, 2))
Element 13: (2, (2, 2), ['', '', '%', ''], [(16, 10), (1, 1), (18, 4)], [False, False, True, False], 74, False, [False, False, False, False], 1287, 'West', (1, 2))
Element 14: (2, (1, 2), ['%', '', '%', ''], [(17, 10), (1, 2), (17, 4)], [True, False, True, False], 72, False, [False, False, False, False], 1296, 'East', (2, 2))
Element 15: (2, (2, 2), ['', '', '%', ''], [(18, 10), (1, 1), (17, 5)], [False, False, True, False], 70, False, [False, False, False, False], 1315, 'East', (3, 2))
Element 16: (2, (3, 2), ['', '', '%', ''], [(18, 9), (1, 2), (17, 6)], [False, False, True, False], 68, False, [False, False, False, False], 1334, 'South', (3, 1))
Element 17: (2, (3, 1), ['', '%', '', ''], [(18, 8), (2, 2), (18, 6)], [False, True, False, False], 66, False, [False, False, False, False], 1353, 'West', (2, 1))
Element 18: (2, (2, 1), ['', '%', '', ''], [(17, 8), (2, 1), (17, 6)], [False, True, False, False], 64, False, [False, False, False, False], 1362, 'East', (3, 1))
Element 19: (2, (3, 1), ['', '%', '', ''], [(17, 9), (1, 1), (16, 6)], [False, True, False, False], 62, False, [False, False, False, False], 1381, 'East', (4, 1))
