Element 1: (3, (17, 13), ['', '.', '%', '.'], [(16, 12), (2, 9), (12, 3)], [False, False, True, False], 98, False, [False, True, False, True], 29, 'East', (18, 13))
Element 2: (3, (18, 13), ['', '.', '%', '%'], [(17, 12), (2, 8), (13, 3)], [False, False, True, True], 96, False, [False, True, False, False], 68, 'South', (18, 12))
Element 3: (3, (18, 12), ['', '.', '', '%'], [(17, 11), (3, 8), (14, 3)], [False, False, False, True], 94, False, [False, True, False, False], 107, 'South', (18, 11))
Element 4: (3, (18, 11), ['', '.', '', '%'], [(17, 10), (4, 8), (15, 3)], [False, False, False, True], 92, False, [False, True, False, False], 146, 'South', (18, 10))
Element 5: (3, (18, 10), ['', '.', '', '%'], [(17, 9), (5, 8), (16, 3)], [False, False, False, True], 90, False, [False, True, False, False], 185, 'South', (18, 9))
Element 6: (3, (18, 9), ['', '.', '', '%'], [(17, 8), (5, 7), (17, 3)], [False, False, False, True], 88, False, [False, True, False, False], 224, 'South', (18, 8))
Element 7: (3, (18, 8), ['', '%', '', '%'], [(17, 9), (6, 7), (17, 4)], [False, True, False, True], 86, False, [False, False, False, False], 253, 'West', (17, 8))
Element 8: (3, (17, 8), ['%', '%', '', ''], [(16, 9), (7, 7), (18, 4)], [True, True, False, False], 84, False, [False, False, False, False], 282, 'North', (17, 9))
Element 9: (3, (17, 9), ['', '', '', ''], [(16, 10), (8, 7), (17, 4)], [False, False, False, False], 82, False, [False, False, False, False], 1291, 'North', (17, 10))
Element 10: (3, (17, 10), ['', '', '', ''], [(16, 11), (8, 8), (17, 5)], [False, False, False, False], 80, False, [False, False, False, False], 1320, 'North', (17, 11))
Element 11: (3, (17, 11), ['', '', '', ''], [(15, 11), (9, 8), (17, 6)], [False, False, False, False], 78, False, [False, False, False, False], 1349, 'North', (17, 12))
Element 12: (3, (17, 12), ['', '', '', ''], [(15, 12), (10, 8), (18, 6)], [False, False, False, False], 76, False, [False, False, False, False], 1378, 'West', (16, 12))
Element 13: (3, (16, 12), ['', '', '', ''], [(14, 12), (9, 8), (17, 6)], [False, False, False, False], 74, False, [False, False, False, False], 1387, 'North', (16, 13))
Element 14: (3, (16, 13), ['%', '', '%', ''], [(14, 13), (8, 8), (16, 6)], [True, False, True, False], 72, False, [False, False, False, False], 1406, 'South', (16, 12))
Element 15: (3, (16, 12), ['', '', '', ''], [(13, 13), (8, 7), (16, 7)], [False, False, False, False], 70, False, [False, False, False, False], 1425, 'South', (16, 11))
Element 16: (3, (16, 11), ['', '', '', ''], [(12, 13), (8, 6), (15, 7)], [False, False, False, False], 68, False, [False, False, False, False], 1454, 'South', (16, 10))
Element 17: (3, (16, 10), ['.', '', '', ''], [(11, 13), (9, 6), (15, 6)], [False, False, False, False], 66, False, [True, False, False, False], 1483, 'West', (15, 10))
Element 18: (3, (15, 10), ['%', '.', '', ''], [(11, 12), (10, 6), (15, 5)], [True, False, False, False], 64, False, [False, True, False, False], 1522, 'South', (15, 9))
Element 19: (3, (15, 9), ['.', '%', '', ''], [(11, 11), (11, 6), (16, 5)], [False, True, False, False], 62, False, [True, False, False, False], 1561, 'West', (14, 9))
Element 20: (3, (14, 9), ['.', '%', '%', ''], [(12, 11), (12, 6), (16, 4)], [False, True, True, False], 60, False, [True, False, False, False], 2590, 'West', (13, 9))
Element 21: (3, (13, 9), ['.', '.', '%', ''], [(13, 11), (13, 6), (16, 5)], [False, False, True, False], 58, False, [True, True, False, False], 2619, 'South', (13, 8))
Element 22: (3, (13, 8), ['.', '.', '', '%'], [(12, 11), (14, 6), (15, 5)], [False, False, False, True], 56, False, [True, True, False, False], 2638, 'South', (13, 7))
Element 23: (3, (13, 7), ['.', '', '', 'G'], [(11, 11), (14, 7), (14, 5)], [False, False, False, False], 54, False, [True, False, False, False], 2667, 'West', (12, 7))
Element 24: (3, (12, 7), ['.', '', '.', ''], [(10, 11), (15, 7), (14, 4)], [False, False, False, False], 52, False, [True, False, True, False], 2696, 'North', (12, 8))
Element 25: (3, (12, 8), ['%', '', '.', ''], [(10, 12), (16, 7), (13, 4)], [True, False, False, False], 50, False, [False, False, True, False], 2725, 'North', (12, 9))
Element 26: (3, (12, 9), ['.', '', '%', ''], [(9, 12), (16, 6), (13, 5)], [False, False, True, False], 48, False, [True, False, False, False], 2754, 'West', (11, 9))
Element 27: (3, (11, 9), ['%', '%', '%', ''], [(9, 13), (17, 6), (13, 6)], [True, True, True, False], 46, False, [False, False, False, False], 2773, 'East', (12, 9))
Element 28: (3, (12, 9), ['', '', '%', ''], [(9, 12), (18, 6), (14, 6)], [False, False, True, False], 44, False, [False, False, False, False], 2772, 'South', (12, 8))
Element 29: (3, (12, 8), ['%', '', '', ''], [(9, 11), (17, 6), (14, 7)], [True, False, False, False], 42, False, [False, False, False, False], 2781, 'South', (12, 7))
Element 30: (3, (12, 7), ['.', '', '', 'G'], [(9, 10), (17, 5), (13, 7)], [False, False, False, False], 40, False, [True, False, False, False], 2790, 'West', (11, 7))
Element 31: (3, (11, 7), ['%', '', '%', ''], [(8, 10), (17, 4), (13, 8)], [True, False, True, False], 38, False, [False, False, False, False], 2809, 'South', (11, 6))
Element 32: (3, (11, 6), ['', '%', '', ''], [(7, 10), (18, 4), (13, 9)], [False, True, False, False], 36, False, [False, False, False, False], 2818, 'East', (12, 6))
Element 33: (3, (12, 6), ['', '%', '', ''], [(7, 11), (17, 4), (14, 9)], [False, True, False, False], 34, False, [False, False, False, False], 2827, 'East', (13, 6))
Element 34: (3, (13, 6), ['', '', '', ''], [(6, 11), (17, 3), (15, 9)], [False, False, False, False], 32, False, [False, False, False, False], 2836, 'East', (14, 6))
Element 35: (3, (14, 6), ['', '', '', ''], [(6, 12), (17, 2), (16, 9)], [False, False, False, False], 30, False, [False, False, False, False], 2855, 'East', (15, 6))
