Element 1: (1, (5, 11), ['', '.', '.', '.'], [(4, 10), (10, 6), (14, 7)], [False, False, False, False], 98, False, [False, True, True, True], 9, 'East', (6, 11))
Element 2: (1, (6, 11), ['', '.', '.', '.'], [(5, 10), (11, 6), (15, 7)], [False, False, False, False], 96, False, [False, True, True, True], 48, 'East', (7, 11))
Element 3: (1, (7, 11), ['', '.', '%', 'F'], [(6, 10), (12, 6), (16, 7)], [False, False, True, False], 94, False, [False, True, False, False], 87, 'East', (8, 11))
Element 4: (1, (8, 11), ['', '.', '%', '.'], [(7, 10), (13, 6), (17, 7)], [False, False, True, False], 92, False, [False, True, False, True], 1116, 'East', (9, 11))
Element 5: (1, (9, 11), ['', '.', 'F', '.'], [(8, 10), (14, 6), (18, 7)], [False, False, False, False], 90, False, [False, True, False, True], 1155, 'North', (9, 12))
Element 6: (1, (9, 12), ['%', '', '%', '.'], [(9, 10), (15, 6), (17, 7)], [True, False, True, False], 88, False, [False, False, False, True], 2174, 'East', (10, 12))
Element 7: (1, (10, 12), ['', '.', '%', '.'], [(10, 10), (16, 6), (17, 6)], [False, False, True, False], 86, False, [False, True, False, True], 2213, 'East', (11, 12))
Element 8: (1, (11, 12), ['', '.', '%', '.'], [(11, 10), (16, 7), (16, 6)], [False, False, True, False], 84, False, [False, True, False, True], 2232, 'East', (12, 12))
Element 9: (1, (12, 12), ['', '.', '.', '.'], [(12, 10), (17, 7), (15, 6)], [False, False, False, False], 82, False, [False, True, True, True], 2251, 'East', (13, 12))
Element 10: (1, (13, 12), ['', '.', '.', '.'], [(13, 10), (18, 7), (14, 6)], [False, False, False, False], 80, False, [False, True, True, True], 2270, 'East', (14, 12))
Element 11: (1, (14, 12), ['', '%', '.', '.'], [(14, 10), (17, 7), (13, 6)], [False, True, False, False], 78, False, [False, False, True, True], 2289, 'East', (15, 12))
Element 12: (1, (15, 12), ['', '%', '.', '.'], [(15, 10), (17, 6), (13, 7)], [False, True, False, False], 76, False, [False, False, True, True], 2318, 'East', (16, 12))
Element 13: (1, (16, 12), ['', '.', '.', '%'], [(15, 9), (17, 7), (13, 8)], [False, False, False, True], 74, False, [False, True, True, False], 2347, 'North', (16, 13))
Element 14: (1, (16, 13), ['.', '', '%', '%'], [(16, 9), (16, 7), (14, 8)], [False, False, True, True], 72, False, [True, False, False, False], 2376, 'West', (15, 13))
Element 15: (1, (15, 13), ['.', '', '%', ''], [(17, 9), (15, 7), (14, 9)], [False, False, True, False], 70, False, [True, False, False, False], 2405, 'West', (14, 13))
Element 16: (1, (14, 13), ['.', '', '%', ''], [(18, 9), (14, 7), (13, 9)], [False, False, True, False], 68, False, [True, False, False, False], 2434, 'West', (13, 13))
Element 17: (1, (13, 13), ['.', '', '%', ''], [(17, 9), (14, 8), (12, 9)], [False, False, True, False], 66, False, [True, False, False, False], 2453, 'West', (12, 13))
Element 18: (1, (12, 13), ['%', '', '%', ''], [(17, 10), (14, 9), (12, 8)], [True, False, True, False], 64, False, [False, False, False, False], 2482, 'East', (13, 13))
Element 19: (1, (13, 13), ['', '', '%', ''], [(17, 11), (15, 9), (12, 7)], [False, False, True, False], 62, False, [False, False, False, False], 2501, 'East', (14, 13))
Element 20: (1, (14, 13), ['', '', '%', ''], [(18, 11), (16, 9), (11, 7)], [False, False, True, False], 60, False, [False, False, False, False], 2520, 'East', (15, 13))
Element 21: (1, (15, 13), ['', '', '%', ''], [(17, 11), (17, 9), (10, 7)], [False, False, True, False], 58, False, [False, False, False, False], 2529, 'East', (16, 13))
Element 22: (1, (16, 13), ['', '', '%', '%'], [(16, 11), (18, 9), (10, 8)], [False, False, True, True], 56, False, [False, False, False, False], 3538, 'South', (16, 12))
Element 23: (1, (16, 12), ['', '', '', '%'], [(17, 11), (17, 9), (9, 8)], [False, False, False, True], 54, False, [False, False, False, False], 3547, 'South', (16, 11))
Element 24: (1, (16, 11), ['%', '%', '', ''], [(18, 11), (17, 10), (9, 7)], [True, True, False, False], 52, False, [False, False, False, False], 3556, 'East', (17, 11))
Element 25: (1, (17, 11), ['', '', '%', 'G'], [(18, 11), (17, 9), (9, 6)], [False, False, True, False], 50, False, [False, False, False, False], 3565, 'South', (17, 10))
Element 26: (1, (17, 10), ['%', '', 'G', '%'], [(17, 11), (16, 9), (9, 5)], [True, False, False, True], 48, False, [False, False, False, False], 3574, 'South', (17, 9))
Element 27: (1, (17, 9), ['', '%', '', ''], [(16, 11), (15, 9), (10, 5)], [False, True, False, False], 46, False, [False, False, False, False], 3583, 'East', (18, 9))
Element 28: (1, (18, 9), ['', '%', '%', '%'], [(16, 11), (15, 10), (11, 5)], [False, True, True, True], 44, False, [False, False, False, False], 3592, 'West', (17, 9))
Element 29: (1, (17, 9), ['', '%', '', ''], [(16, 11), (14, 10), (12, 5)], [False, True, False, False], 42, False, [False, False, False, False], 3601, 'West', (16, 9))
