Element 1: (0, (13, 11), ['.', 'G', '.', '%'], [(1, 6), (13, 10), (16, 9)], [False, False, False, True], 98, False, [True, False, True, False], 0, 'North', (13, 12))
Element 2: (0, (13, 12), ['.', '', '.', '.'], [(2, 6), (14, 10), (17, 9)], [False, False, False, False], 96, False, [True, False, True, True], 39, 'East', (14, 12))
Element 3: (0, (14, 12), ['', '%', '.', '.'], [(3, 6), (15, 10), (18, 9)], [False, True, False, False], 94, False, [False, False, True, True], 78, 'East', (15, 12))
Element 4: (0, (15, 12), ['', '%', '.', '.'], [(4, 6), (15, 9), (17, 9)], [False, True, False, False], 92, False, [False, False, True, True], 107, 'East', (16, 12))
Element 5: (0, (16, 12), ['', '.', '.', '%'], [(5, 6), (14, 9), (17, 10)], [False, False, False, True], 90, False, [False, True, True, False], 146, 'North', (16, 13))
Element 6: (0, (16, 13), ['.', '', '%', '%'], [(6, 6), (14, 8), (17, 11)], [False, False, True, True], 88, False, [True, False, False, False], 185, 'West', (15, 13))
Element 7: (0, (15, 13), ['.', '', '%', ''], [(7, 6), (14, 7), (18, 11)], [False, False, True, False], 86, False, [True, False, False, False], 224, 'West', (14, 13))
Element 8: (0, (14, 13), ['.', '', '%', ''], [(8, 6), (15, 7), (17, 11)], [False, False, True, False], 84, False, [True, False, False, False], 253, 'West', (13, 13))
Element 9: (0, (13, 13), ['.', '', '%', ''], [(9, 6), (16, 7), (16, 11)], [False, False, True, False], 82, False, [True, False, False, False], 292, 'West', (12, 13))
Element 10: (0, (12, 13), ['%', '.', '%', ''], [(10, 6), (17, 7), (16, 12)], [True, False, True, False], 80, False, [False, True, False, False], 321, 'South', (12, 12))
Element 11: (0, (12, 12), ['.', '.', '', ''], [(11, 6), (18, 7), (16, 13)], [False, False, False, False], 78, False, [True, True, False, False], 350, 'South', (12, 11))
Element 12: (0, (12, 11), ['.', '.', '', ''], [(12, 6), (17, 7), (15, 13)], [False, False, False, False], 76, False, [True, True, False, False], 369, 'South', (12, 10))
Element 13: (0, (12, 10), ['.', '.', '', ''], [(13, 6), (17, 6), (15, 12)], [False, False, False, False], 74, False, [True, True, False, False], 398, 'South', (12, 9))
Element 14: (0, (12, 9), ['.', '.', '', '.'], [(14, 6), (16, 6), (14, 12)], [False, False, False, False], 72, False, [True, True, False, True], 427, 'East', (13, 9))
Element 15: (0, (13, 9), ['', '.', '', ''], [(15, 6), (17, 6), (14, 13)], [False, False, False, False], 70, False, [False, True, False, False], 446, 'South', (13, 8))
Element 16: (0, (13, 8), ['.', '.', '', ''], [(16, 6), (17, 7), (13, 13)], [False, False, False, False], 68, False, [True, True, False, False], 455, 'South', (13, 7))
Element 17: (0, (13, 7), ['.', '', '', ''], [(17, 6), (16, 7), (13, 12)], [False, False, False, False], 66, False, [True, False, False, False], 464, 'West', (12, 7))
Element 18: (0, (12, 7), ['.', '', '.', ''], [(17, 7), (16, 6), (13, 11)], [False, False, False, False], 64, False, [True, False, True, False], 473, 'North', (12, 8))
Element 19: (0, (12, 8), ['%', '', '', ''], [(18, 7), (16, 7), (13, 10)], [True, False, False, False], 62, False, [False, False, False, False], 482, 'South', (12, 7))
Element 20: (0, (12, 7), ['.', '', '', ''], [(17, 7), (15, 7), (14, 10)], [False, False, False, False], 60, False, [True, False, False, False], 481, 'West', (11, 7))
Element 21: (0, (11, 7), ['.', '', '%', ''], [(16, 7), (15, 6), (15, 10)], [False, False, True, False], 58, False, [True, False, False, False], 490, 'West', (10, 7))
Element 22: (0, (10, 7), ['.', '', 'F', ''], [(15, 7), (14, 6), (15, 9)], [False, False, False, False], 56, False, [True, False, False, False], 499, 'North', (10, 8))
Element 23: (0, (10, 8), ['.', '', '%', '%'], [(14, 7), (13, 6), (14, 9)], [False, False, True, True], 54, False, [True, False, False, False], 1498, 'West', (9, 8))
Element 24: (0, (9, 8), ['.', '.', '%', ''], [(14, 8), (13, 5), (13, 9)], [False, False, True, False], 52, False, [True, True, False, False], 1517, 'South', (9, 7))
Element 25: (0, (9, 7), ['%', '', '', ''], [(14, 9), (12, 5), (13, 8)], [True, False, False, False], 50, False, [False, False, False, False], 1536, 'South', (9, 6))
Element 26: (0, (9, 6), ['', '.', '', ''], [(15, 9), (11, 5), (14, 8)], [False, False, False, False], 48, False, [False, True, False, False], 1545, 'South', (9, 5))
Element 27: (0, (9, 5), ['.', '%', '', 'G'], [(16, 9), (10, 5), (14, 7)], [False, True, False, False], 46, False, [True, False, False, False], 1564, 'West', (8, 5))
Element 28: (0, (8, 5), ['.', '%', '', ''], [(17, 9), (10, 6), (15, 7)], [False, True, False, False], 44, False, [True, False, False, False], 1573, 'West', (7, 5))
Element 29: (0, (7, 5), ['.', '%', '', ''], [(18, 9), (11, 6), (16, 7)], [False, True, False, False], 42, False, [True, False, False, False], 1582, 'West', (6, 5))
Element 30: (0, (6, 5), ['.', 'F', '', ''], [(17, 9), (12, 6), (17, 7)], [False, False, False, False], 40, False, [True, False, False, False], 1591, 'South', (6, 4))
Element 31: (0, (6, 4), ['%', '.', '', '%'], [(17, 10), (12, 7), (18, 7)], [True, False, False, True], 38, False, [False, True, False, False], 2590, 'South', (6, 3))
Element 32: (0, (6, 3), ['.', '.', '', '%'], [(17, 11), (13, 7), (17, 7)], [False, False, False, True], 36, False, [True, True, False, False], 2599, 'South', (6, 2))
Element 33: (0, (6, 2), ['.', '.', '', '%'], [(18, 11), (13, 8), (17, 6)], [False, False, False, True], 34, False, [True, True, False, False], 2608, 'South', (6, 1))
Element 34: (0, (6, 1), ['.', '%', '', '.'], [(17, 11), (13, 9), (16, 6)], [False, True, False, False], 32, False, [True, False, False, True], 2617, 'East', (7, 1))
Element 35: (0, (7, 1), ['', '%', '%', '.'], [(16, 11), (12, 9), (15, 6)], [False, True, True, False], 30, False, [False, False, False, True], 2626, 'East', (8, 1))
Element 36: (0, (8, 1), ['', '%', '%', '%'], [(16, 12), (11, 9), (14, 6)], [False, True, True, True], 28, False, [False, False, False, False], 2645, 'West', (7, 1))
Element 37: (0, (7, 1), ['', '%', '%', ''], [(16, 13), (11, 10), (13, 6)], [False, True, True, False], 26, False, [False, False, False, False], 2654, 'West', (6, 1))
Element 38: (0, (6, 1), ['.', '%', '', ''], [(15, 13), (11, 11), (13, 7)], [False, True, False, False], 24, False, [True, False, False, False], 2663, 'West', (5, 1))
Element 39: (0, (5, 1), ['.', '%', '.', ''], [(15, 12), (11, 12), (12, 7)], [False, True, False, False], 22, False, [True, False, True, False], 2682, 'North', (5, 2))
Element 40: (0, (5, 2), ['.', '', '.', ''], [(14, 12), (10, 12), (12, 8)], [False, False, False, False], 20, False, [True, False, True, False], 2701, 'North', (5, 3))
Element 41: (0, (5, 3), ['.', '', '%', ''], [(14, 13), (9, 12), (12, 9)], [False, False, True, False], 18, False, [True, False, False, False], 3710, 'West', (4, 3))
Element 42: (0, (4, 3), ['.', '.', '%', ''], [(13, 13), (9, 11), (12, 10)], [False, False, True, False], 16, False, [True, True, False, False], 3729, 'South', (4, 2))
Element 43: (0, (4, 2), ['.', '.', '', ''], [(13, 12), (8, 11), (12, 11)], [False, False, False, False], 14, False, [True, True, False, False], 4738, 'South', (4, 1))
Element 44: (0, (4, 1), ['.', '%', '', ''], [(13, 11), (8, 10), (12, 12)], [False, True, False, False], 12, False, [True, False, False, False], 4757, 'West', (3, 1))
Element 45: (0, (3, 1), ['.', '%', '.', ''], [(13, 10), (9, 10), (12, 13)], [False, True, False, False], 10, False, [True, False, True, False], 4776, 'North', (3, 2))
Element 46: (0, (3, 2), ['.', '', '.', ''], [(14, 10), (10, 10), (12, 12)], [False, False, False, False], 8, False, [True, False, True, False], 4795, 'North', (3, 3))
Element 47: (0, (3, 3), ['.', '', '.', ''], [(15, 10), (10, 11), (11, 12)], [False, False, False, False], 6, False, [True, False, True, False], 4814, 'North', (3, 4))
Element 48: (0, (3, 4), ['.', '', '.', '%'], [(14, 10), (10, 10), (11, 11)], [False, False, False, True], 4, False, [True, False, True, False], 4823, 'North', (3, 5))
