Element 1: (2, (3, 13), ['.', '%', '%', ''], [(5, 13), (3, 6), (5, 3)], [False, True, True, False], 98, False, [True, False, False, False], 19, 'West', (2, 13))
Element 2: (2, (2, 13), ['.', '%', '%', ''], [(5, 12), (4, 6), (6, 3)], [False, True, True, False], 96, False, [True, False, False, False], 58, 'West', (1, 13))
Element 3: (2, (1, 13), ['%', '%', '%', ''], [(6, 12), (5, 6), (6, 4)], [True, True, True, False], 94, False, [False, False, False, False], 1087, 'East', (2, 13))
Element 4: (2, (2, 13), ['', '%', '%', ''], [(6, 11), (6, 6), (6, 5)], [False, True, True, False], 92, False, [False, False, False, False], 1116, 'East', (3, 13))
Element 5: (2, (3, 13), ['', '%', '%', ''], [(7, 11), (7, 6), (7, 5)], [False, True, True, False], 90, False, [False, False, False, False], 1145, 'East', (4, 13))
Element 6: (2, (4, 13), ['', '%', '%', ''], [(8, 11), (8, 6), (8, 5)], [False, True, True, False], 88, False, [False, False, False, False], 2164, 'East', (5, 13))
Element 7: (2, (5, 13), ['', '', '%', '%'], [(9, 11), (9, 6), (9, 5)], [False, False, True, True], 86, False, [False, False, False, False], 2193, 'South', (5, 12))
Element 8: (2, (5, 12), ['%', '.', '', ''], [(9, 12), (10, 6), (10, 5)], [True, False, False, False], 84, False, [False, True, False, False], 3212, 'South', (5, 11))
Element 9: (2, (5, 11), ['.', '.', '', ''], [(10, 12), (11, 6), (11, 5)], [False, False, False, False], 82, False, [True, True, False, False], 3251, 'South', (5, 10))
Element 10: (2, (5, 10), ['.', '.', '', '.'], [(11, 12), (12, 6), (12, 5)], [False, False, False, False], 80, False, [True, True, False, True], 3290, 'East', (6, 10))
Element 11: (2, (6, 10), ['', '%', '', '.'], [(12, 12), (13, 6), (13, 5)], [False, True, False, False], 78, False, [False, False, False, True], 3329, 'East', (7, 10))
Element 12: (2, (7, 10), ['', '%', '', '.'], [(13, 12), (14, 6), (12, 5)], [False, True, False, False], 76, False, [False, False, False, True], 3358, 'East', (8, 10))
Element 13: (2, (8, 10), ['', '%', '', '.'], [(14, 12), (15, 6), (11, 5)], [False, True, False, False], 74, False, [False, False, False, True], 3387, 'East', (9, 10))
Element 14: (2, (9, 10), ['', '%', '', '.'], [(15, 12), (16, 6), (10, 5)], [False, True, False, False], 72, False, [False, False, False, True], 3416, 'East', (10, 10))
Element 15: (2, (10, 10), ['', '%', '.', '.'], [(16, 12), (17, 6), (9, 5)], [False, True, False, False], 70, False, [False, False, True, True], 3445, 'East', (11, 10))
Element 16: (2, (11, 10), ['', '.', '.', '.'], [(16, 13), (17, 7), (8, 5)], [False, False, False, False], 68, False, [False, True, True, True], 3474, 'East', (12, 10))
Element 17: (2, (12, 10), ['', '.', '.', '.'], [(15, 13), (18, 7), (7, 5)], [False, False, False, False], 66, False, [False, True, True, True], 3503, 'East', (13, 10))
Element 18: (2, (13, 10), ['', '.', '.', '.'], [(14, 13), (17, 7), (6, 5)], [False, False, False, False], 64, False, [False, True, True, True], 3522, 'East', (14, 10))
