Element 1: (3, (17, 10), ['%', '.', '.', '%'], [(11, 6), (12, 1), (12, 5)], [True, False, False, True], 98, False, [False, True, True, False], 29, 'North', (17, 11))
Element 2: (3, (17, 11), ['.', '', '%', '.'], [(12, 6), (13, 1), (13, 5)], [False, False, True, False], 96, False, [True, False, False, True], 68, 'East', (18, 11))
Element 3: (3, (18, 11), ['', '%', '%', '%'], [(13, 6), (14, 1), (12, 5)], [False, True, True, True], 94, False, [False, False, False, False], 97, 'West', (17, 11))
Element 4: (3, (17, 11), ['.', '', '%', ''], [(14, 6), (15, 1), (11, 5)], [False, False, True, False], 92, False, [True, False, False, False], 116, 'West', (16, 11))
Element 5: (3, (16, 11), ['%', '%', '.', ''], [(15, 6), (15, 2), (10, 5)], [True, True, False, False], 90, False, [False, False, True, False], 155, 'North', (16, 12))
Element 6: (3, (16, 12), ['.', '', '.', '%'], [(16, 6), (14, 2), (9, 5)], [False, False, False, True], 88, False, [True, False, True, False], 194, 'North', (16, 13))
Element 7: (3, (16, 13), ['.', '', '%', '%'], [(17, 6), (13, 2), (9, 6)], [False, False, True, True], 86, False, [True, False, False, False], 233, 'West', (15, 13))
Element 8: (3, (15, 13), ['.', '.', '%', ''], [(17, 7), (12, 2), (9, 7)], [False, False, True, False], 84, False, [True, True, False, False], 272, 'South', (15, 12))
Element 9: (3, (15, 12), ['.', '%', '', ''], [(18, 7), (12, 3), (10, 7)], [False, True, False, False], 82, False, [True, False, False, False], 311, 'West', (14, 12))
Element 10: (3, (14, 12), ['.', '%', '.', ''], [(17, 7), (11, 3), (10, 8)], [False, True, False, False], 80, False, [True, False, True, False], 1330, 'North', (14, 13))
Element 11: (3, (14, 13), ['.', '', '%', ''], [(16, 7), (11, 2), (9, 8)], [False, False, True, False], 78, False, [True, False, False, False], 1369, 'West', (13, 13))
Element 12: (3, (13, 13), ['.', '.', '%', ''], [(15, 7), (10, 2), (8, 8)], [False, False, True, False], 76, False, [True, True, False, False], 1408, 'South', (13, 12))
Element 13: (3, (13, 12), ['.', '.', '', ''], [(14, 7), (10, 3), (7, 8)], [False, False, False, False], 74, False, [True, True, False, False], 1447, 'South', (13, 11))
Element 14: (3, (13, 11), ['.', '.', '', '%'], [(14, 8), (9, 3), (6, 8)], [False, False, False, True], 72, False, [True, True, False, False], 2476, 'South', (13, 10))
Element 15: (3, (13, 10), ['.', '.', '', '.'], [(14, 9), (9, 2), (5, 8)], [False, False, False, False], 70, False, [True, True, False, True], 2515, 'East', (14, 10))
Element 16: (3, (14, 10), ['', '', '%', '.'], [(15, 9), (9, 3), (5, 9)], [False, False, True, False], 68, False, [False, False, False, True], 2544, 'East', (15, 10))
Element 17: (3, (15, 10), ['', '', '%', '%'], [(16, 9), (10, 3), (5, 10)], [False, False, True, True], 66, False, [False, False, False, False], 2573, 'South', (15, 9))
Element 18: (3, (15, 9), ['', '%', '', ''], [(17, 9), (10, 2), (6, 10)], [False, True, False, False], 64, False, [False, False, False, False], 2592, 'East', (16, 9))
Element 19: (3, (16, 9), ['', '%', '%', ''], [(18, 9), (9, 2), (7, 10)], [False, True, True, False], 62, False, [False, False, False, False], 2611, 'East', (17, 9))
Element 20: (3, (17, 9), ['', '%', '', 'G'], [(18, 9), (10, 2), (8, 10)], [False, True, False, False], 60, False, [False, False, False, False], 2620, 'West', (16, 9))
Element 21: (3, (16, 9), ['', '%', '%', ''], [(18, 9), (11, 2), (8, 11)], [False, True, True, False], 58, False, [False, False, False, False], 3619, 'West', (15, 9))
Element 22: (3, (15, 9), ['', '%', '', ''], [(17, 9), (11, 3), (9, 11)], [False, True, False, False], 56, False, [False, False, False, False], 3628, 'West', (14, 9))
Element 23: (3, (14, 9), ['.', '', '', ''], [(16, 9), (10, 3), (9, 12)], [False, False, False, False], 54, False, [True, False, False, False], 4627, 'West', (13, 9))
Element 24: (3, (13, 9), ['.', '.', '', ''], [(15, 9), (11, 3), (10, 12)], [False, False, False, False], 52, False, [True, True, False, False], 4646, 'South', (13, 8))
Element 25: (3, (13, 8), ['.', '.', '', ''], [(14, 9), (12, 3), (11, 12)], [False, False, False, False], 50, False, [True, True, False, False], 4665, 'South', (13, 7))
Element 26: (3, (13, 7), ['.', '', '', ''], [(13, 9), (12, 2), (12, 12)], [False, False, False, False], 48, False, [True, False, False, False], 4684, 'West', (12, 7))
Element 27: (3, (12, 7), ['.', '', '.', ''], [(12, 9), (11, 2), (12, 13)], [False, False, False, False], 46, False, [True, False, True, False], 4713, 'North', (12, 8))
Element 28: (3, (12, 8), ['%', '', '', ''], [(12, 10), (12, 2), (13, 13)], [True, False, False, False], 44, False, [False, False, False, False], 4732, 'North', (12, 9))
Element 29: (3, (12, 9), ['.', '', '', ''], [(12, 11), (13, 2), (14, 13)], [False, False, False, False], 42, False, [True, False, False, False], 4741, 'West', (11, 9))
Element 30: (3, (11, 9), ['%', '%', '.', ''], [(11, 11), (14, 2), (15, 13)], [True, True, False, False], 40, False, [False, False, True, False], 4760, 'North', (11, 10))
Element 31: (3, (11, 10), ['.', '', '', ''], [(10, 11), (15, 2), (16, 13)], [False, False, False, False], 38, False, [True, False, False, False], 4779, 'West', (10, 10))
Element 32: (3, (10, 10), ['.', '%', '', ''], [(10, 12), (15, 1), (16, 12)], [False, True, False, False], 36, False, [True, False, False, False], 4788, 'West', (9, 10))
Element 33: (3, (9, 10), ['', '%', '', ''], [(11, 12), (14, 1), (16, 11)], [False, True, False, False], 34, False, [False, False, False, False], 4797, 'North', (9, 11))
