Element 1: (1, (2, 3), ['%', '.', '.', 'G'], [(18, 7), (3, 3), (15, 10)], [True, False, False, False], 98, False, [False, True, True, False], 9, 'North', (2, 4))
Element 2: (1, (2, 4), ['.', '', '.', '.'], [(17, 7), (4, 3), (15, 9)], [False, False, False, False], 96, False, [True, False, True, True], 38, 'East', (3, 4))
Element 3: (1, (3, 4), ['', '', '.', '%'], [(17, 6), (5, 3), (16, 9)], [False, False, False, True], 94, False, [False, False, True, False], 77, 'North', (3, 5))
Element 4: (1, (3, 5), ['.', '', '.', '.'], [(16, 6), (6, 3), (17, 9)], [False, False, False, False], 92, False, [True, False, True, True], 116, 'East', (4, 5))
Element 5: (1, (4, 5), ['', '%', '.', '.'], [(16, 7), (6, 4), (18, 9)], [False, True, False, False], 90, False, [False, False, True, True], 1145, 'East', (5, 5))
Element 6: (1, (5, 5), ['', '%', '.', 'G'], [(15, 7), (6, 5), (17, 9)], [False, True, False, False], 88, False, [False, False, True, False], 1174, 'North', (5, 6))
Element 7: (1, (5, 6), ['.', '', '%', '.'], [(15, 6), (7, 5), (17, 10)], [False, False, True, False], 86, False, [True, False, False, True], 1213, 'East', (6, 6))
Element 8: (1, (6, 6), ['', '', '%', '.'], [(14, 6), (8, 5), (17, 11)], [False, False, True, False], 84, False, [False, False, False, True], 1252, 'East', (7, 6))
Element 9: (1, (7, 6), ['', '', '%', '.'], [(14, 7), (9, 5), (18, 11)], [False, False, True, False], 82, False, [False, False, False, True], 1291, 'East', (8, 6))
Element 10: (1, (8, 6), ['', '', '%', '.'], [(14, 8), (10, 5), (17, 11)], [False, False, True, False], 80, False, [False, False, False, True], 1320, 'East', (9, 6))
Element 11: (1, (9, 6), ['', '', '.', '.'], [(14, 9), (11, 5), (16, 11)], [False, False, False, False], 78, False, [False, False, True, True], 1359, 'East', (10, 6))
Element 12: (1, (10, 6), ['', '', '.', '.'], [(14, 10), (12, 5), (16, 12)], [False, False, False, False], 76, False, [False, False, True, True], 1398, 'East', (11, 6))
Element 13: (1, (11, 6), ['', '', '.', '.'], [(13, 10), (13, 5), (16, 13)], [False, False, False, False], 74, False, [False, False, True, True], 1437, 'East', (12, 6))
Element 14: (1, (12, 6), ['', '', '.', 'G'], [(13, 11), (13, 6), (15, 13)], [False, False, False, False], 72, False, [False, False, True, False], 1476, 'North', (12, 7))
Element 15: (1, (12, 7), ['.', '', '.', 'G'], [(13, 12), (13, 7), (15, 12)], [False, False, False, False], 70, False, [True, False, True, False], 1515, 'North', (12, 8))
Element 16: (1, (12, 8), ['%', '', '.', 'G'], [(13, 13), (13, 8), (14, 12)], [True, False, False, False], 68, False, [False, False, True, False], 1554, 'North', (12, 9))
Element 17: (1, (12, 9), ['.', '', '.', 'G'], [(12, 13), (13, 9), (14, 13)], [False, False, False, False], 66, False, [True, False, True, False], 1593, 'North', (12, 10))
Element 18: (1, (12, 10), ['.', '', '.', ''], [(12, 12), (14, 9), (13, 13)], [False, False, False, False], 64, False, [True, False, True, False], 1612, 'North', (12, 11))
Element 19: (1, (12, 11), ['.', '', '', ''], [(11, 12), (15, 9), (13, 12)], [False, False, False, False], 62, False, [True, False, False, False], 1631, 'West', (11, 11))
Element 20: (1, (11, 11), ['.', '.', '', ''], [(10, 12), (16, 9), (13, 11)], [False, False, False, False], 60, False, [True, True, False, False], 1650, 'South', (11, 10))
Element 21: (1, (11, 10), ['.', '.', '', ''], [(9, 12), (17, 9), (13, 10)], [False, False, False, False], 58, False, [True, True, False, False], 2659, 'South', (11, 9))
Element 22: (1, (11, 9), ['%', '%', '', ''], [(9, 11), (18, 9), (14, 10)], [True, True, False, False], 56, False, [False, False, False, False], 2678, 'North', (11, 10))
Element 23: (1, (11, 10), ['.', '', '', ''], [(8, 11), (17, 9), (14, 9)], [False, False, False, False], 54, False, [True, False, False, False], 3677, 'West', (10, 10))
Element 24: (1, (10, 10), ['.', '%', '.', ''], [(8, 10), (17, 10), (14, 8)], [False, True, False, False], 52, False, [True, False, True, False], 3696, 'North', (10, 11))
Element 25: (1, (10, 11), ['', '', '', ''], [(9, 10), (17, 11), (14, 7)], [False, False, False, False], 50, False, [False, False, False, False], 3715, 'North', (10, 12))
Element 26: (1, (10, 12), ['', '', '%', ''], [(10, 10), (18, 11), (15, 7)], [False, False, True, False], 48, False, [False, False, False, False], 3714, 'East', (11, 12))
Element 27: (1, (11, 12), ['', '', '%', ''], [(11, 10), (17, 11), (16, 7)], [False, False, True, False], 46, False, [False, False, False, False], 3713, 'East', (12, 12))
