Element 1: (1, (4, 5), ['.', '%', '', '.'], [(5, 6), (12, 9), (15, 7)], [False, True, False, False], 98, False, [True, False, False, True], 9, 'East', (5, 5))
Element 2: (1, (5, 5), ['', '%', '', '.'], [(6, 6), (13, 9), (16, 7)], [False, True, False, False], 96, False, [False, False, False, True], 48, 'East', (6, 5))
Element 3: (1, (6, 5), ['', 'F', '', '.'], [(7, 6), (14, 9), (17, 7)], [False, False, False, False], 94, False, [False, False, False, True], 87, 'South', (6, 4))
Element 4: (1, (6, 4), ['%', '.', '', '%'], [(8, 6), (15, 9), (18, 7)], [True, False, False, True], 92, False, [False, True, False, False], 1116, 'South', (6, 3))
Element 5: (1, (6, 3), ['.', '.', '', '%'], [(9, 6), (16, 9), (17, 7)], [False, False, False, True], 90, False, [True, True, False, False], 1145, 'South', (6, 2))
Element 6: (1, (6, 2), ['.', '.', '', '%'], [(10, 6), (17, 9), (17, 6)], [False, False, False, True], 88, False, [True, True, False, False], 1184, 'South', (6, 1))
Element 7: (1, (6, 1), ['.', '%', '', '.'], [(11, 6), (18, 9), (16, 6)], [False, True, False, False], 86, False, [True, False, False, True], 1223, 'East', (7, 1))
Element 8: (1, (7, 1), ['', '%', '%', '.'], [(12, 6), (17, 9), (15, 6)], [False, True, True, False], 84, False, [False, False, False, True], 1252, 'East', (8, 1))
Element 9: (1, (8, 1), ['', '%', '%', '%'], [(13, 6), (17, 10), (14, 6)], [False, True, True, True], 82, False, [False, False, False, False], 1291, 'West', (7, 1))
Element 10: (1, (7, 1), ['', '%', '%', ''], [(13, 7), (17, 11), (14, 7)], [False, True, True, False], 80, False, [False, False, False, False], 1320, 'West', (6, 1))
Element 11: (1, (6, 1), ['.', '%', '', ''], [(13, 8), (18, 11), (14, 8)], [False, True, False, False], 78, False, [True, False, False, False], 1349, 'West', (5, 1))
Element 12: (1, (5, 1), ['.', '%', '.', ''], [(12, 8), (17, 11), (14, 9)], [False, True, False, False], 76, False, [True, False, True, False], 1368, 'North', (5, 2))
Element 13: (1, (5, 2), ['.', '', '.', ''], [(12, 7), (16, 11), (14, 10)], [False, False, False, False], 74, False, [True, False, True, False], 1407, 'North', (5, 3))
Element 14: (1, (5, 3), ['.', '', '%', ''], [(11, 7), (16, 12), (15, 10)], [False, False, True, False], 72, False, [True, False, False, False], 1446, 'West', (4, 3))
Element 15: (1, (4, 3), ['.', '.', '%', ''], [(10, 7), (16, 13), (15, 9)], [False, False, True, False], 70, False, [True, True, False, False], 1475, 'South', (4, 2))
Element 16: (1, (4, 2), ['.', '.', '', ''], [(10, 8), (15, 13), (16, 9)], [False, False, False, False], 68, False, [True, True, False, False], 2494, 'South', (4, 1))
Element 17: (1, (4, 1), ['.', '%', '', ''], [(9, 8), (15, 12), (17, 9)], [False, True, False, False], 66, False, [True, False, False, False], 2523, 'West', (3, 1))
Element 18: (1, (3, 1), ['.', '%', '.', ''], [(9, 7), (14, 12), (18, 9)], [False, True, False, False], 64, False, [True, False, True, False], 2552, 'North', (3, 2))
Element 19: (1, (3, 2), ['.', '', '.', ''], [(9, 8), (14, 13), (17, 9)], [False, False, False, False], 62, False, [True, False, True, False], 2571, 'North', (3, 3))
Element 20: (1, (3, 3), ['.', '', '.', ''], [(8, 8), (13, 13), (17, 10)], [False, False, False, False], 60, False, [True, False, True, False], 2600, 'North', (3, 4))
Element 21: (1, (3, 4), ['.', '', '.', '%'], [(7, 8), (13, 12), (17, 11)], [False, False, False, True], 58, False, [True, False, True, False], 2629, 'North', (3, 5))
Element 22: (1, (3, 5), ['.', '', '.', ''], [(6, 8), (13, 11), (18, 11)], [False, False, False, False], 56, False, [True, False, True, False], 3648, 'North', (3, 6))
Element 23: (1, (3, 6), ['.', '', '.', ''], [(5, 8), (13, 10), (17, 11)], [False, False, False, False], 54, False, [True, False, True, False], 3677, 'North', (3, 7))
Element 24: (1, (3, 7), ['.', '', '.', '.'], [(5, 9), (12, 10), (16, 11)], [False, False, False, False], 52, False, [True, False, True, True], 3706, 'East', (4, 7))
Element 25: (1, (4, 7), ['', '', '.', '%'], [(5, 10), (12, 11), (16, 12)], [False, False, False, True], 50, False, [False, False, True, False], 3735, 'North', (4, 8))
Element 26: (1, (4, 8), ['.', '', '.', ''], [(6, 10), (12, 12), (16, 13)], [False, False, False, False], 48, False, [True, False, True, False], 3764, 'North', (4, 9))
Element 27: (1, (4, 9), ['.', '', '.', ''], [(7, 10), (12, 13), (15, 13)], [False, False, False, False], 46, False, [True, False, True, False], 3793, 'North', (4, 10))
Element 28: (1, (4, 10), ['.', '', '.', ''], [(8, 10), (12, 12), (15, 12)], [False, False, False, False], 44, False, [True, False, True, False], 3812, 'North', (4, 11))
Element 29: (1, (4, 11), ['.', '', '%', '.'], [(8, 11), (11, 12), (14, 12)], [False, False, True, False], 42, False, [True, False, False, True], 4831, 'East', (5, 11))
Element 30: (1, (5, 11), ['', '', '.', '.'], [(9, 11), (11, 11), (14, 13)], [False, False, False, False], 40, False, [False, False, True, True], 4860, 'East', (6, 11))
Element 31: #1#
