Element 1: (1, (5, 8), ['.', '%', '.', 'F'], [(2, 13), (10, 3), (12, 2)], [False, True, False, False], 98, False, [True, False, True, False], 9, 'East', (6, 8))
Element 2: (1, (6, 8), ['', '%', '%', '.'], [(3, 13), (11, 3), (13, 2)], [False, True, True, False], 96, False, [False, False, False, True], 1038, 'East', (7, 8))
Element 3: (1, (7, 8), ['', '%', '%', '.'], [(4, 13), (12, 3), (14, 2)], [False, True, True, False], 94, False, [False, False, False, True], 1077, 'East', (8, 8))
Element 4: (1, (8, 8), ['', '%', '%', '.'], [(5, 13), (12, 2), (15, 2)], [False, True, True, False], 92, False, [False, False, False, True], 1106, 'East', (9, 8))
Element 5: (1, (9, 8), ['', '.', '%', 'F'], [(5, 12), (12, 1), (15, 1)], [False, False, True, False], 90, False, [False, True, False, False], 1145, 'East', (10, 8))
Element 6: (1, (10, 8), ['', '.', '%', '%'], [(6, 12), (13, 1), (14, 1)], [False, False, True, True], 88, False, [False, True, False, False], 2174, 'South', (10, 7))
Element 7: (1, (10, 7), ['.', '.', '', '.'], [(6, 11), (13, 2), (13, 1)], [False, False, False, False], 86, False, [True, True, False, True], 2193, 'East', (11, 7))
Element 8: (1, (11, 7), ['', '.', '%', '.'], [(7, 11), (14, 2), (12, 1)], [False, False, True, False], 84, False, [False, True, False, True], 2212, 'East', (12, 7))
Element 9: (1, (12, 7), ['', '.', '.', '.'], [(8, 11), (15, 2), (11, 1)], [False, False, False, False], 82, False, [False, True, True, True], 3231, 'East', (13, 7))
Element 10: (1, (13, 7), ['', '.', '.', '.'], [(9, 11), (15, 1), (11, 2)], [False, False, False, False], 80, False, [False, True, True, True], 3260, 'East', (14, 7))
Element 11: (1, (14, 7), ['', '.', '.', '.'], [(9, 12), (14, 1), (10, 2)], [False, False, False, False], 78, False, [False, True, True, True], 4279, 'East', (15, 7))
Element 12: (1, (15, 7), ['', '.', '%', '.'], [(10, 12), (15, 1), (9, 2)], [False, False, True, False], 76, False, [False, True, False, True], 4308, 'East', (16, 7))
Element 13: (1, (16, 7), ['', '.', '%', '.'], [(11, 12), (15, 2), (9, 3)], [False, False, True, False], 74, False, [False, True, False, True], 4337, 'East', (17, 7))
Element 14: (1, (17, 7), ['', '.', '%', '.'], [(12, 12), (14, 2), (10, 3)], [False, False, True, False], 72, False, [False, True, False, True], 4356, 'East', (18, 7))
Element 15: (1, (18, 7), ['', '%', '%', '%'], [(13, 12), (14, 1), (11, 3)], [False, True, True, True], 70, False, [False, False, False, False], 4375, 'West', (17, 7))
Element 16: (1, (17, 7), ['', '.', '%', ''], [(14, 12), (14, 2), (12, 3)], [False, False, True, False], 68, False, [False, True, False, False], 4384, 'South', (17, 6))
Element 17: (1, (17, 6), ['.', '%', '', '%'], [(15, 12), (13, 2), (11, 3)], [False, True, False, True], 66, False, [True, False, False, False], 4403, 'West', (16, 6))
Element 18: (1, (16, 6), ['.', '%', '', ''], [(16, 12), (13, 1), (10, 3)], [False, True, False, False], 64, False, [True, False, False, False], 4422, 'West', (15, 6))
Element 19: (1, (15, 6), ['.', '%', '', ''], [(16, 13), (12, 1), (9, 3)], [False, True, False, False], 62, False, [True, False, False, False], 4441, 'West', (14, 6))
Element 20: (1, (14, 6), ['.', '%', '', ''], [(15, 13), (11, 1), (9, 2)], [False, True, False, False], 60, False, [True, False, False, False], 4460, 'West', (13, 6))
Element 21: (1, (13, 6), ['.', '.', '', ''], [(14, 13), (11, 2), (10, 2)], [False, False, False, False], 58, False, [True, True, False, False], 4479, 'South', (13, 5))
Element 22: (1, (13, 5), ['.', '%', '', '%'], [(13, 13), (11, 1), (10, 3)], [False, True, False, True], 56, False, [True, False, False, False], 4498, 'West', (12, 5))
Element 23: (1, (12, 5), ['.', '%', '.', ''], [(12, 13), (12, 1), (10, 2)], [False, True, False, False], 54, False, [True, False, True, False], 4517, 'North', (12, 6))
Element 24: (1, (12, 6), ['.', '', '', ''], [(13, 13), (12, 2), (11, 2)], [False, False, False, False], 52, False, [True, False, False, False], 4526, 'West', (11, 6))
Element 25: (1, (11, 6), ['.', '.', '', ''], [(14, 13), (12, 1), (11, 3)], [False, False, False, False], 50, False, [True, True, False, False], 4535, 'South', (11, 5))
Element 26: (1, (11, 5), ['.', '%', '', ''], [(15, 13), (12, 2), (11, 2)], [False, True, False, False], 48, False, [True, False, False, False], 4544, 'West', (10, 5))
Element 27: (1, (10, 5), ['.', '%', '.', ''], [(16, 13), (13, 2), (11, 1)], [False, True, False, False], 46, False, [True, False, True, False], 4553, 'North', (10, 6))
Element 28: (1, (10, 6), ['.', '', '', ''], [(16, 12), (12, 2), (12, 1)], [False, False, False, False], 44, False, [True, False, False, False], 4562, 'West', (9, 6))
Element 29: (1, (9, 6), ['.', '.', '.', ''], [(16, 11), (12, 3), (13, 1)], [False, False, False, False], 42, False, [True, True, True, False], 4581, 'North', (9, 7))
Element 30: (1, (9, 7), ['%', '', '', ''], [(17, 11), (11, 3), (14, 1)], [True, False, False, False], 40, False, [False, False, False, False], 4600, 'South', (9, 6))
Element 31: (1, (9, 6), ['.', '.', '', ''], [(18, 11), (11, 2), (15, 1)], [False, False, False, False], 38, False, [True, True, False, False], 4609, 'South', (9, 5))
Element 32: (1, (9, 5), ['.', '%', '', ''], [(17, 11), (11, 3), (15, 2)], [False, True, False, False], 36, False, [True, False, False, False], 4618, 'West', (8, 5))
Element 33: (1, (8, 5), ['.', '%', '.', ''], [(17, 10), (10, 3), (14, 2)], [False, True, False, False], 34, False, [True, False, True, False], 4637, 'North', (8, 6))
Element 34: (1, (8, 6), ['.', '', '%', ''], [(17, 9), (10, 2), (14, 1)], [False, False, True, False], 32, False, [True, False, False, False], 4656, 'West', (7, 6))
Element 35: (1, (7, 6), ['.', '.', '%', ''], [(18, 9), (9, 2), (14, 2)], [False, False, True, False], 30, False, [True, True, False, False], 4675, 'South', (7, 5))
Element 36: (1, (7, 5), ['.', '%', '', ''], [(17, 9), (9, 3), (13, 2)], [False, True, False, False], 28, False, [True, False, False, False], 4684, 'West', (6, 5))
Element 37: (1, (6, 5), ['.', 'F', '.', ''], [(16, 9), (9, 2), (13, 1)], [False, False, False, False], 26, False, [True, False, True, False], 4703, 'South', (6, 4))
Element 38: #1#
