Element 1: (0, (7, 8), ['F', '%', '%', '.'], [(9, 10), (12, 2), (18, 11)], [False, True, True, False], 98, False, [False, False, False, True], 0, 'West', (6, 8))
Element 2: (0, (6, 8), ['.', '%', '%', ''], [(10, 10), (13, 2), (17, 11)], [False, True, True, False], 96, False, [True, False, False, False], 1029, 'West', (5, 8))
Element 3: (0, (5, 8), ['.', '%', '.', ''], [(11, 10), (14, 2), (17, 10)], [False, True, False, False], 94, False, [True, False, True, False], 1068, 'North', (5, 9))
Element 4: (0, (5, 9), ['.', '', '.', '%'], [(12, 10), (15, 2), (17, 9)], [False, False, False, True], 92, False, [True, False, True, False], 1107, 'North', (5, 10))
Element 5: (0, (5, 10), ['.', '', '.', '.'], [(13, 10), (15, 1), (18, 9)], [False, False, False, False], 90, False, [True, False, True, True], 1146, 'East', (6, 10))
Element 6: (0, (6, 10), ['', '%', '.', '.'], [(14, 10), (14, 1), (17, 9)], [False, True, False, False], 88, False, [False, False, True, True], 1175, 'East', (7, 10))
Element 7: (0, (7, 10), ['', '%', '.', '.'], [(15, 10), (13, 1), (16, 9)], [False, True, False, False], 86, False, [False, False, True, True], 1214, 'East', (8, 10))
Element 8: (0, (8, 10), ['', '%', 'F', ''], [(15, 9), (12, 1), (17, 9)], [False, True, False, False], 84, False, [False, False, False, False], 1243, 'North', (8, 11))
Element 9: (0, (8, 11), ['.', '', '%', '.'], [(14, 9), (11, 1), (17, 10)], [False, False, True, False], 82, False, [True, False, False, True], 2262, 'East', (9, 11))
Element 10: (0, (9, 11), ['', '', 'F', '.'], [(14, 8), (11, 2), (17, 11)], [False, False, False, False], 80, False, [False, False, False, True], 2291, 'North', (9, 12))
Element 11: (0, (9, 12), ['%', '', '%', '.'], [(14, 7), (11, 3), (16, 11)], [True, False, True, False], 78, False, [False, False, False, True], 3320, 'East', (10, 12))
Element 12: (0, (10, 12), ['', '.', '%', '.'], [(15, 7), (12, 3), (16, 12)], [False, False, True, False], 76, False, [False, True, False, True], 3359, 'East', (11, 12))
Element 13: (0, (11, 12), ['', '.', '%', '.'], [(16, 7), (11, 3), (16, 13)], [False, False, True, False], 74, False, [False, True, False, True], 3388, 'East', (12, 12))
Element 14: (0, (12, 12), ['', '.', '.', '.'], [(17, 7), (10, 3), (15, 13)], [False, False, False, False], 72, False, [False, True, True, True], 3427, 'East', (13, 12))
Element 15: (0, (13, 12), ['', '.', '.', '.'], [(18, 7), (10, 2), (15, 12)], [False, False, False, False], 70, False, [False, True, True, True], 3466, 'East', (14, 12))
Element 16: (0, (14, 12), ['', '%', '.', ''], [(17, 7), (9, 2), (15, 13)], [False, True, False, False], 68, False, [False, False, True, False], 3485, 'North', (14, 13))
Element 17: (0, (14, 13), ['.', '', '%', ''], [(17, 6), (9, 3), (15, 12)], [False, False, True, False], 66, False, [True, False, False, False], 3514, 'West', (13, 13))
Element 18: (0, (13, 13), ['.', '', '%', ''], [(16, 6), (9, 2), (15, 13)], [False, False, True, False], 64, False, [True, False, False, False], 3533, 'West', (12, 13))
Element 19: (0, (12, 13), ['%', '', '%', ''], [(15, 6), (10, 2), (16, 13)], [True, False, True, False], 62, False, [False, False, False, False], 3552, 'East', (13, 13))
Element 20: (0, (13, 13), ['', '', '%', ''], [(14, 6), (10, 3), (16, 12)], [False, False, True, False], 60, False, [False, False, False, False], 3561, 'East', (14, 13))
Element 21: (0, (14, 13), ['', '', '%', ''], [(13, 6), (9, 3), (15, 12)], [False, False, True, False], 58, False, [False, False, False, False], 3570, 'East', (15, 13))
Element 22: (0, (15, 13), ['', '', '%', ''], [(13, 7), (10, 3), (16, 12)], [False, False, True, False], 56, False, [False, False, False, False], 3579, 'East', (16, 13))
Element 23: (0, (16, 13), ['', '', '%', '%'], [(13, 8), (11, 3), (16, 11)], [False, False, True, True], 54, False, [False, False, False, False], 3588, 'South', (16, 12))
Element 24: (0, (16, 12), ['', '', '', '%'], [(13, 9), (11, 2), (17, 11)], [False, False, False, True], 52, False, [False, False, False, False], 3597, 'South', (16, 11))
Element 25: (0, (16, 11), ['%', '%', '', ''], [(12, 9), (10, 2), (18, 11)], [True, True, False, False], 50, False, [False, False, False, False], 3606, 'East', (17, 11))
Element 26: (0, (17, 11), ['', '', '%', 'G'], [(12, 8), (11, 2), (18, 11)], [False, False, True, False], 48, False, [False, False, False, False], 3615, 'South', (17, 10))
Element 27: (0, (17, 10), ['%', '', 'G', '%'], [(12, 7), (11, 1), (17, 11)], [True, False, False, True], 46, False, [False, False, False, False], 3624, 'South', (17, 9))
Element 28: (0, (17, 9), ['', '%', 'G', ''], [(12, 6), (12, 1), (17, 10)], [False, True, False, False], 44, False, [False, False, False, False], 3633, 'East', (18, 9))
Element 29: (0, (18, 9), ['G', '%', '%', '%'], [(12, 5), (13, 1), (17, 9)], [False, True, True, True], 42, False, [False, False, False, False], 3642, 'Stop', (18, 9))
Element 30: (0, (18, 9), ['', '%', '%', '%'], [(13, 5), (14, 1), (16, 9)], [False, True, True, True], 40, False, [False, False, False, False], 3651, 'West', (17, 9))
Element 31: (0, (17, 9), ['', '%', '', ''], [(12, 5), (15, 1), (15, 9)], [False, True, False, False], 38, False, [False, False, False, False], 3650, 'Stop', (17, 9))
Element 32: (0, (17, 9), ['', '%', '', ''], [(11, 5), (15, 2), (15, 10)], [False, True, False, False], 36, False, [False, False, False, False], 3659, 'North', (17, 10))
Element 33: (0, (17, 10), ['%', '', '', '%'], [(11, 6), (14, 2), (14, 10)], [True, False, False, True], 34, False, [False, False, False, False], 3668, 'North', (17, 11))
Element 34: (0, (17, 11), ['', '', '%', ''], [(11, 7), (14, 1), (14, 9)], [False, False, True, False], 32, False, [False, False, False, False], 3677, 'West', (16, 11))
Element 35: (0, (16, 11), ['%', '%', '', ''], [(10, 7), (14, 2), (14, 8)], [True, True, False, False], 30, False, [False, False, False, False], 3686, 'North', (16, 12))
Element 36: (0, (16, 12), ['', '', '', '%'], [(10, 8), (13, 2), (14, 7)], [False, False, False, True], 28, False, [False, False, False, False], 4685, 'West', (15, 12))
