Element 1: (0, (9, 11), ['F', 'G', 'F', '.'], [(2, 13), (9, 10), (13, 8)], [False, False, False, False], 98, False, [False, False, False, True], 0, 'North', (9, 12))
Element 2: (0, (9, 12), ['%', '', '%', '.'], [(3, 13), (10, 10), (14, 8)], [True, False, True, False], 96, False, [False, False, False, True], 1029, 'East', (10, 12))
Element 3: (0, (10, 12), ['', '.', '%', '.'], [(4, 13), (11, 10), (14, 9)], [False, False, True, False], 94, False, [False, True, False, True], 1068, 'East', (11, 12))
Element 4: (0, (11, 12), ['', '.', '%', '.'], [(5, 13), (12, 10), (15, 9)], [False, False, True, False], 92, False, [False, True, False, True], 1107, 'East', (12, 12))
Element 5: (0, (12, 12), ['', '.', '.', '.'], [(5, 12), (13, 10), (16, 9)], [False, False, False, False], 90, False, [False, True, True, True], 1146, 'East', (13, 12))
Element 6: (0, (13, 12), ['', '.', '.', '.'], [(6, 12), (14, 10), (17, 9)], [False, False, False, False], 88, False, [False, True, True, True], 1185, 'East', (14, 12))
Element 7: (0, (14, 12), ['', '%', '.', '.'], [(6, 11), (15, 10), (18, 9)], [False, True, False, False], 86, False, [False, False, True, True], 1224, 'East', (15, 12))
Element 8: (0, (15, 12), ['', '%', '.', '.'], [(7, 11), (15, 9), (17, 9)], [False, True, False, False], 84, False, [False, False, True, True], 1243, 'East', (16, 12))
Element 9: (0, (16, 12), ['', '.', '.', '%'], [(8, 11), (16, 9), (17, 10)], [False, False, False, True], 82, False, [False, True, True, False], 2262, 'North', (16, 13))
Element 10: (0, (16, 13), ['.', '', '%', '%'], [(8, 10), (17, 9), (17, 11)], [False, False, True, True], 80, False, [True, False, False, False], 2291, 'West', (15, 13))
Element 11: (0, (15, 13), ['.', '', '%', ''], [(7, 10), (18, 9), (18, 11)], [False, False, True, False], 78, False, [True, False, False, False], 2320, 'West', (14, 13))
Element 12: (0, (14, 13), ['.', '', '%', ''], [(6, 10), (17, 9), (17, 11)], [False, False, True, False], 76, False, [True, False, False, False], 2339, 'West', (13, 13))
Element 13: (0, (13, 13), ['.', '', '%', ''], [(5, 10), (17, 10), (16, 11)], [False, False, True, False], 74, False, [True, False, False, False], 2368, 'West', (12, 13))
Element 14: (0, (12, 13), ['%', '', '%', ''], [(5, 11), (17, 11), (16, 12)], [True, False, True, False], 72, False, [False, False, False, False], 2387, 'East', (13, 13))
