Element 1: (3, (18, 11), ['.', '%', '%', '%'], [(13, 6), (7, 11), (13, 1)], [False, True, True, True], 98, False, [True, False, False, False], 29, 'West', (17, 11))
Element 2: (3, (17, 11), ['.', '.', '%', ''], [(14, 6), (8, 11), (14, 1)], [False, False, True, False], 96, False, [True, True, False, False], 1058, 'South', (17, 10))
Element 3: (3, (17, 10), ['%', '.', '', '%'], [(15, 6), (9, 11), (15, 1)], [True, False, False, True], 94, False, [False, True, False, False], 1097, 'South', (17, 9))
Element 4: (3, (17, 9), ['.', '%', '', '.'], [(16, 6), (9, 12), (15, 2)], [False, True, False, False], 92, False, [True, False, False, True], 2126, 'East', (18, 9))
Element 5: (3, (18, 9), ['', '%', '%', '%'], [(17, 6), (10, 12), (14, 2)], [False, True, True, True], 90, False, [False, False, False, False], 2165, 'West', (17, 9))
Element 6: (3, (17, 9), ['.', '%', '', ''], [(17, 7), (11, 12), (13, 2)], [False, True, False, False], 88, False, [True, False, False, False], 2194, 'West', (16, 9))
Element 7: (3, (16, 9), ['.', '%', '%', ''], [(18, 7), (12, 12), (12, 2)], [False, True, True, False], 86, False, [True, False, False, False], 2233, 'West', (15, 9))
Element 8: (3, (15, 9), ['.', '%', '.', ''], [(17, 7), (13, 12), (12, 3)], [False, True, False, False], 84, False, [True, False, True, False], 2262, 'North', (15, 10))
Element 9: (3, (15, 10), ['.', '', '%', '%'], [(16, 7), (14, 12), (11, 3)], [False, False, True, True], 82, False, [True, False, False, False], 2301, 'West', (14, 10))
Element 10: (3, (14, 10), ['.', '.', '%', ''], [(15, 7), (15, 12), (11, 2)], [False, False, True, False], 80, False, [True, True, False, False], 2340, 'South', (14, 9))
Element 11: (3, (14, 9), ['.', '.', '', ''], [(14, 7), (16, 12), (11, 1)], [False, False, False, False], 78, False, [True, True, False, False], 2379, 'South', (14, 8))
Element 12: (3, (14, 8), ['.', '', '', '%'], [(13, 7), (16, 13), (11, 2)], [False, False, False, True], 76, False, [True, False, False, False], 2408, 'West', (13, 8))
Element 13: (3, (13, 8), ['.', '', '.', ''], [(12, 7), (15, 13), (10, 2)], [False, False, False, False], 74, False, [True, False, True, False], 2447, 'North', (13, 9))
Element 14: (3, (13, 9), ['.', '', '.', ''], [(12, 8), (14, 13), (10, 3)], [False, False, False, False], 72, False, [True, False, True, False], 2486, 'North', (13, 10))
