Element 1: (3, (7, 11), ['.', '.', '%', 'F'], [(14, 12), (4, 2), (5, 10)], [False, False, True, False], 98, False, [True, True, False, False], 29, 'East', (8, 11))
Element 2: (3, (8, 11), ['', '.', '%', '.'], [(15, 12), (5, 2), (6, 10)], [False, False, True, False], 96, False, [False, True, False, True], 1058, 'East', (9, 11))
Element 3: (3, (9, 11), ['', '.', 'F', '.'], [(16, 12), (6, 2), (7, 10)], [False, False, False, False], 94, False, [False, True, False, True], 1097, 'North', (9, 12))
Element 4: (3, (9, 12), ['%', '', '%', '.'], [(16, 13), (6, 3), (8, 10)], [True, False, True, False], 92, False, [False, False, False, True], 2126, 'East', (10, 12))
Element 5: (3, (10, 12), ['', '.', '%', '.'], [(15, 13), (6, 4), (9, 10)], [False, False, True, False], 90, False, [False, True, False, True], 3155, 'East', (11, 12))
Element 6: (3, (11, 12), ['', '.', '%', '.'], [(14, 13), (6, 5), (10, 10)], [False, False, True, False], 88, False, [False, True, False, True], 3194, 'East', (12, 12))
Element 7: (3, (12, 12), ['', '.', '.', ''], [(13, 13), (7, 5), (11, 10)], [False, False, False, False], 86, False, [False, True, True, False], 3233, 'North', (12, 13))
Element 8: (3, (12, 13), ['%', '', '%', ''], [(14, 13), (8, 5), (12, 10)], [True, False, True, False], 84, False, [False, False, False, False], 3262, 'East', (13, 13))
Element 9: (3, (13, 13), ['', '', '%', ''], [(15, 13), (9, 5), (13, 10)], [False, False, True, False], 82, False, [False, False, False, False], 3281, 'East', (14, 13))
Element 10: (3, (14, 13), ['', '', '%', ''], [(16, 13), (10, 5), (14, 10)], [False, False, True, False], 80, False, [False, False, False, False], 3300, 'East', (15, 13))
Element 11: (3, (15, 13), ['', '', '%', ''], [(16, 12), (11, 5), (15, 10)], [False, False, True, False], 78, False, [False, False, False, False], 3319, 'East', (16, 13))
Element 12: (3, (16, 13), ['', '', '%', '%'], [(16, 11), (12, 5), (15, 9)], [False, False, True, True], 76, False, [False, False, False, False], 3348, 'South', (16, 12))
Element 13: (3, (16, 12), ['', '', '', '%'], [(17, 11), (13, 5), (16, 9)], [False, False, False, True], 74, False, [False, False, False, False], 3377, 'South', (16, 11))
Element 14: (3, (16, 11), ['%', '%', '', ''], [(18, 11), (13, 6), (17, 9)], [True, True, False, False], 72, False, [False, False, False, False], 3406, 'East', (17, 11))
Element 15: (3, (17, 11), ['', '.', '%', 'G'], [(18, 11), (14, 6), (18, 9)], [False, False, True, False], 70, False, [False, True, False, False], 3425, 'South', (17, 10))
Element 16: (3, (17, 10), ['%', 'G', 'G', '%'], [(17, 11), (15, 6), (17, 9)], [True, False, False, True], 68, False, [False, False, False, False], 3444, 'Stop', (17, 10))
Element 17: (3, (17, 10), ['%', '', 'G', '%'], [(17, 11), (16, 6), (16, 9)], [True, False, False, True], 66, False, [False, False, False, False], 3453, 'North', (17, 11))
