Element 1: (3, (17, 9), ['', '%', '.', '.'], [(15, 9), (7, 6), (15, 1)], [False, True, False, False], 98, False, [False, False, True, True], 29, 'East', (18, 9))
Element 2: (3, (18, 9), ['', '%', '%', '%'], [(15, 10), (8, 6), (15, 2)], [False, True, True, True], 96, False, [False, False, False, False], 68, 'West', (17, 9))
Element 3: (3, (17, 9), ['', '%', '.', ''], [(14, 10), (9, 6), (14, 2)], [False, True, False, False], 94, False, [False, False, True, False], 97, 'North', (17, 10))
Element 4: (3, (17, 10), ['%', '', '.', '%'], [(14, 9), (10, 6), (13, 2)], [True, False, False, True], 92, False, [False, False, True, False], 136, 'North', (17, 11))
Element 5: (3, (17, 11), ['.', '', '%', '.'], [(14, 8), (11, 6), (13, 1)], [False, False, True, False], 90, False, [True, False, False, True], 175, 'East', (18, 11))
Element 6: (3, (18, 11), ['', '%', '%', '%'], [(14, 7), (12, 6), (12, 1)], [False, True, True, True], 88, False, [False, False, False, False], 214, 'West', (17, 11))
Element 7: (3, (17, 11), ['.', '', '%', ''], [(15, 7), (13, 6), (12, 2)], [False, False, True, False], 86, False, [True, False, False, False], 243, 'West', (16, 11))
Element 8: (3, (16, 11), ['%', '%', '.', ''], [(16, 7), (14, 6), (12, 3)], [True, True, False, False], 84, False, [False, False, True, False], 282, 'North', (16, 12))
Element 9: (3, (16, 12), ['.', '', '.', '%'], [(17, 7), (15, 6), (11, 3)], [False, False, False, True], 82, False, [True, False, True, False], 321, 'North', (16, 13))
Element 10: (3, (16, 13), ['.', '', '%', '%'], [(18, 7), (16, 6), (11, 2)], [False, False, True, True], 80, False, [True, False, False, False], 360, 'West', (15, 13))
Element 11: (3, (15, 13), ['.', '.', '%', ''], [(17, 7), (17, 6), (11, 1)], [False, False, True, False], 78, False, [True, True, False, False], 389, 'South', (15, 12))
Element 12: (3, (15, 12), ['.', '%', '', ''], [(16, 7), (17, 7), (11, 2)], [False, True, False, False], 76, False, [True, False, False, False], 398, 'West', (14, 12))
Element 13: (3, (14, 12), ['.', '%', '.', ''], [(15, 7), (18, 7), (10, 2)], [False, True, False, False], 74, False, [True, False, True, False], 417, 'North', (14, 13))
Element 14: (3, (14, 13), ['.', '', '%', ''], [(16, 7), (17, 7), (10, 3)], [False, False, True, False], 72, False, [True, False, False, False], 436, 'West', (13, 13))
Element 15: (3, (13, 13), ['.', '.', '%', ''], [(16, 6), (16, 7), (9, 3)], [False, False, True, False], 70, False, [True, True, False, False], 455, 'South', (13, 12))
Element 16: (3, (13, 12), ['.', '.', '', ''], [(17, 6), (15, 7), (9, 2)], [False, False, False, False], 68, False, [True, True, False, False], 474, 'South', (13, 11))
Element 17: (3, (13, 11), ['.', '.', '', '%'], [(16, 6), (14, 7), (9, 3)], [False, False, False, True], 66, False, [True, True, False, False], 483, 'South', (13, 10))
Element 18: (3, (13, 10), ['.', '.', '', ''], [(15, 6), (13, 7), (10, 3)], [False, False, False, False], 64, False, [True, True, False, False], 502, 'South', (13, 9))
Element 19: (3, (13, 9), ['.', 'G', '', ''], [(14, 6), (13, 8), (10, 2)], [False, False, False, False], 62, False, [True, False, False, False], 521, 'West', (12, 9))
Element 20: (3, (12, 9), ['.', 'G', '.', ''], [(13, 6), (12, 8), (9, 2)], [False, False, False, False], 60, False, [True, False, True, False], 540, 'North', (12, 10))
Element 21: (3, (12, 10), ['.', '', '.', ''], [(13, 5), (12, 7), (10, 2)], [False, False, False, False], 58, False, [True, False, True, False], 569, 'North', (12, 11))
Element 22: (3, (12, 11), ['.', '', '.', ''], [(12, 5), (11, 7), (11, 2)], [False, False, False, False], 56, False, [True, False, True, False], 598, 'North', (12, 12))
Element 23: (3, (12, 12), ['.', '', '.', ''], [(11, 5), (10, 7), (11, 3)], [False, False, False, False], 54, False, [True, False, True, False], 627, 'North', (12, 13))
Element 24: (3, (12, 13), ['%', '', '%', ''], [(10, 5), (10, 8), (10, 3)], [True, False, True, False], 52, False, [False, False, False, False], 1646, 'South', (12, 12))
Element 25: (3, (12, 12), ['.', '', '', ''], [(9, 5), (9, 8), (11, 3)], [False, False, False, False], 50, False, [True, False, False, False], 1665, 'West', (11, 12))
Element 26: (3, (11, 12), ['.', '.', '%', ''], [(8, 5), (9, 7), (12, 3)], [False, False, True, False], 48, False, [True, True, False, False], 1694, 'South', (11, 11))
Element 27: (3, (11, 11), ['.', '.', '', ''], [(7, 5), (9, 8), (12, 2)], [False, False, False, False], 46, False, [True, True, False, False], 1713, 'South', (11, 10))
Element 28: (3, (11, 10), ['.', '.', '', ''], [(6, 5), (8, 8), (11, 2)], [False, False, False, False], 44, False, [True, True, False, False], 1742, 'South', (11, 9))
Element 29: (3, (11, 9), ['%', '%', '', ''], [(6, 4), (7, 8), (12, 2)], [True, True, False, False], 42, False, [False, False, False, False], 2761, 'North', (11, 10))
Element 30: (3, (11, 10), ['.', '', '', ''], [(6, 3), (6, 8), (12, 1)], [False, False, False, False], 40, False, [True, False, False, False], 3770, 'West', (10, 10))
Element 31: (3, (10, 10), ['.', '%', '.', ''], [(6, 2), (5, 8), (11, 1)], [False, True, False, False], 38, False, [True, False, True, False], 3799, 'North', (10, 11))
Element 32: (3, (10, 11), ['.', '', '.', ''], [(6, 1), (5, 9), (12, 1)], [False, False, False, False], 36, False, [True, False, True, False], 3828, 'North', (10, 12))
Element 33: (3, (10, 12), ['F', '', '%', ''], [(7, 1), (5, 10), (13, 1)], [False, False, True, False], 34, False, [False, False, False, False], 3857, 'West', (9, 12))
Element 34: (3, (9, 12), ['%', '.', '%', ''], [(8, 1), (6, 10), (13, 2)], [True, False, True, False], 32, False, [False, True, False, False], 4876, 'South', (9, 11))
Element 35: (3, (9, 11), ['F', '.', '', ''], [(7, 1), (7, 10), (12, 2)], [False, False, False, False], 30, False, [False, True, False, False], 4895, 'West', (8, 11))
Element 36: #1#
