Element 1: (3, (9, 11), ['F', '.', 'F', '.'], [(15, 6), (3, 5), (5, 10)], [False, False, False, False], 98, False, [False, True, False, True], 29, 'North', (9, 12))
Element 2: (3, (9, 12), ['%', '', '%', '.'], [(16, 6), (4, 5), (6, 10)], [True, False, True, False], 96, False, [False, False, False, True], 1058, 'East', (10, 12))
Element 3: (3, (10, 12), ['', '.', '%', '.'], [(17, 6), (5, 5), (7, 10)], [False, False, True, False], 94, False, [False, True, False, True], 1097, 'East', (11, 12))
Element 4: (3, (11, 12), ['', '.', '%', '.'], [(17, 7), (6, 5), (8, 10)], [False, False, True, False], 92, False, [False, True, False, True], 1136, 'East', (12, 12))
Element 5: (3, (12, 12), ['', '.', '.', '.'], [(18, 7), (6, 4), (8, 11)], [False, False, False, False], 90, False, [False, True, True, True], 3155, 'East', (13, 12))
Element 6: (3, (13, 12), ['', '.', '.', '.'], [(17, 7), (6, 3), (7, 11)], [False, False, False, False], 88, False, [False, True, True, True], 3184, 'East', (14, 12))
Element 7: (3, (14, 12), ['', '%', '.', '.'], [(16, 7), (6, 2), (6, 11)], [False, True, False, False], 86, False, [False, False, True, True], 3223, 'East', (15, 12))
Element 8: (3, (15, 12), ['', '%', '.', '.'], [(15, 7), (6, 1), (6, 12)], [False, True, False, False], 84, False, [False, False, True, True], 3262, 'East', (16, 12))
Element 9: (3, (16, 12), ['', '.', '.', '%'], [(14, 7), (7, 1), (5, 12)], [False, False, False, True], 82, False, [False, True, True, False], 3301, 'North', (16, 13))
Element 10: (3, (16, 13), ['.', '', '%', '%'], [(14, 8), (8, 1), (5, 13)], [False, False, True, True], 80, False, [True, False, False, False], 3340, 'West', (15, 13))
Element 11: (3, (15, 13), ['.', '', '%', ''], [(14, 9), (7, 1), (4, 13)], [False, False, True, False], 78, False, [True, False, False, False], 3369, 'West', (14, 13))
Element 12: (3, (14, 13), ['.', '', '%', ''], [(15, 9), (6, 1), (3, 13)], [False, False, True, False], 76, False, [True, False, False, False], 3398, 'West', (13, 13))
Element 13: (3, (13, 13), ['.', '', '%', ''], [(16, 9), (5, 1), (2, 13)], [False, False, True, False], 74, False, [True, False, False, False], 3437, 'West', (12, 13))
Element 14: (3, (12, 13), ['%', '', '%', ''], [(17, 9), (5, 2), (1, 13)], [True, False, True, False], 72, False, [False, False, False, False], 3476, 'East', (13, 13))
Element 15: (3, (13, 13), ['', '', '%', ''], [(18, 9), (5, 3), (2, 13)], [False, False, True, False], 70, False, [False, False, False, False], 3495, 'East', (14, 13))
Element 16: (3, (14, 13), ['', '', '%', ''], [(17, 9), (4, 3), (3, 13)], [False, False, True, False], 68, False, [False, False, False, False], 3504, 'East', (15, 13))
Element 17: (3, (15, 13), ['', '', '%', ''], [(17, 10), (4, 2), (4, 13)], [False, False, True, False], 66, False, [False, False, False, False], 3523, 'East', (16, 13))
Element 18: (3, (16, 13), ['', '', '%', '%'], [(17, 11), (4, 1), (5, 13)], [False, False, True, True], 64, False, [False, False, False, False], 3542, 'South', (16, 12))
Element 19: (3, (16, 12), ['', '.', '', '%'], [(18, 11), (3, 1), (5, 12)], [False, False, False, True], 62, False, [False, True, False, False], 3561, 'South', (16, 11))
Element 20: (3, (16, 11), ['%', '%', '', 'G'], [(17, 11), (3, 2), (5, 11)], [True, True, False, False], 60, False, [False, False, False, False], 3590, 'North', (16, 12))
Element 21: (3, (16, 12), ['', 'G', '', '%'], [(16, 11), (3, 3), (4, 11)], [False, False, False, True], 58, False, [False, False, False, False], 3609, 'West', (15, 12))
Element 22: (3, (15, 12), ['', '%', '', 'G'], [(16, 12), (3, 4), (3, 11)], [False, True, False, False], 56, False, [False, False, False, False], 3628, 'North', (15, 13))
Element 23: (3, (15, 13), ['', '', '%', 'G'], [(16, 13), (2, 4), (3, 10)], [False, False, True, False], 54, False, [False, False, False, False], 3647, 'South', (15, 12))
Element 24: (3, (15, 12), ['', '%', 'G', ''], [(15, 13), (2, 3), (3, 9)], [False, True, False, False], 52, False, [False, False, False, False], 3666, 'West', (14, 12))
Element 25: (3, (14, 12), ['', '%', '', 'G'], [(15, 12), (2, 2), (4, 9)], [False, True, False, False], 50, False, [False, False, False, False], 3685, 'North', (14, 13))
Element 26: (3, (14, 13), ['', 'G', '%', ''], [(14, 12), (2, 1), (5, 9)], [False, False, True, False], 48, False, [False, False, False, False], 3704, 'West', (13, 13))
Element 27: (3, (13, 13), ['', '', '%', 'G'], [(14, 13), (1, 1), (5, 8)], [False, False, True, False], 46, False, [False, False, False, False], 3723, 'South', (13, 12))
Element 28: (3, (13, 12), ['', '.', 'G', ''], [(13, 13), (1, 2), (6, 8)], [False, False, False, False], 44, False, [False, True, False, False], 4732, 'West', (12, 12))
Element 29: (3, (12, 12), ['', '.', '', 'G'], [(13, 12), (1, 1), (7, 8)], [False, False, False, False], 42, False, [False, True, False, False], 4741, 'West', (11, 12))
Element 30: (3, (11, 12), ['', '.', '%', ''], [(13, 11), (2, 1), (8, 8)], [False, False, True, False], 40, False, [False, True, False, False], 4760, 'West', (10, 12))
Element 31: (3, (10, 12), ['', '.', '%', ''], [(13, 10), (2, 2), (9, 8)], [False, False, True, False], 38, False, [False, True, False, False], 4779, 'East', (11, 12))
Element 32: #1#
