Element 1: (0, (10, 12), ['F', 'G', '%', '.'], [(10, 11), (11, 5), (16, 12)], [False, False, True, False], 98, False, [False, False, False, True], 0, 'West', (9, 12))
Element 2: (0, (9, 12), ['%', '.', '%', ''], [(11, 11), (12, 5), (16, 13)], [True, False, True, False], 96, False, [False, True, False, False], 1029, 'South', (9, 11))
Element 3: (0, (9, 11), ['F', '.', '', ''], [(12, 11), (13, 5), (15, 13)], [False, False, False, False], 94, False, [False, True, False, False], 1068, 'West', (8, 11))
Element 4: (0, (8, 11), ['.', '.', '%', ''], [(13, 11), (13, 6), (15, 12)], [False, False, True, False], 92, False, [True, True, False, False], 2097, 'South', (8, 10))
Element 5: (0, (8, 10), ['.', '%', '', '.'], [(13, 12), (14, 6), (14, 12)], [False, True, False, False], 90, False, [True, False, False, True], 2136, 'East', (9, 10))
Element 6: (0, (9, 10), ['', '%', '', '.'], [(13, 13), (15, 6), (14, 13)], [False, True, False, False], 88, False, [False, False, False, True], 2175, 'East', (10, 10))
Element 7: (0, (10, 10), ['', '%', '', '.'], [(12, 13), (16, 6), (13, 13)], [False, True, False, False], 86, False, [False, False, False, True], 2204, 'East', (11, 10))
Element 8: (0, (11, 10), ['', '.', '', '.'], [(12, 12), (17, 6), (13, 12)], [False, False, False, False], 84, False, [False, True, False, True], 2233, 'East', (12, 10))
Element 9: (0, (12, 10), ['', '.', '', '.'], [(11, 12), (17, 7), (13, 11)], [False, False, False, False], 82, False, [False, True, False, True], 2262, 'East', (13, 10))
Element 10: (0, (13, 10), ['', '.', '', '.'], [(10, 12), (18, 7), (12, 11)], [False, False, False, False], 80, False, [False, True, False, True], 2281, 'East', (14, 10))
Element 11: (0, (14, 10), ['', '.', '%', '.'], [(9, 12), (17, 7), (12, 12)], [False, False, True, False], 78, False, [False, True, False, True], 2290, 'East', (15, 10))
Element 12: (0, (15, 10), ['', '.', '%', '%'], [(9, 11), (16, 7), (12, 13)], [False, False, True, True], 76, False, [False, True, False, False], 2309, 'South', (15, 9))
Element 13: (0, (15, 9), ['.', '%', '', '.'], [(9, 10), (15, 7), (12, 12)], [False, True, False, False], 74, False, [True, False, False, True], 2328, 'East', (16, 9))
Element 14: (0, (16, 9), ['', '%', '%', '.'], [(10, 10), (14, 7), (11, 12)], [False, True, True, False], 72, False, [False, False, False, True], 2347, 'East', (17, 9))
Element 15: (0, (17, 9), ['', '%', '.', '.'], [(11, 10), (14, 8), (11, 11)], [False, True, False, False], 70, False, [False, False, True, True], 2366, 'East', (18, 9))
Element 16: (0, (18, 9), ['', '%', '%', '%'], [(11, 9), (14, 9), (11, 10)], [False, True, True, True], 68, False, [False, False, False, False], 2395, 'West', (17, 9))
Element 17: (0, (17, 9), ['', '%', '.', ''], [(12, 9), (13, 9), (12, 10)], [False, True, False, False], 66, False, [False, False, True, False], 2414, 'North', (17, 10))
Element 18: (0, (17, 10), ['%', '', '.', '%'], [(12, 8), (13, 8), (13, 10)], [True, False, False, True], 64, False, [False, False, True, False], 2443, 'North', (17, 11))
Element 19: (0, (17, 11), ['.', '', '%', '.'], [(12, 7), (13, 7), (14, 10)], [False, False, True, False], 62, False, [True, False, False, True], 2472, 'East', (18, 11))
Element 20: (0, (18, 11), ['', '%', '%', '%'], [(12, 6), (12, 7), (15, 10)], [False, True, True, True], 60, False, [False, False, False, False], 2491, 'West', (17, 11))
Element 21: (0, (17, 11), ['.', '', '%', ''], [(11, 6), (11, 7), (15, 9)], [False, False, True, False], 58, False, [True, False, False, False], 2510, 'West', (16, 11))
Element 22: (0, (16, 11), ['%', '%', '', ''], [(10, 6), (10, 7), (16, 9)], [True, True, False, False], 56, False, [False, False, False, False], 2539, 'North', (16, 12))
Element 23: (0, (16, 12), ['', '', '', '%'], [(10, 5), (10, 8), (17, 9)], [False, False, False, True], 54, False, [False, False, False, False], 3548, 'North', (16, 13))
Element 24: (0, (16, 13), ['', '', '%', '%'], [(9, 5), (9, 8), (18, 9)], [False, False, True, True], 52, False, [False, False, False, False], 3567, 'West', (15, 13))
Element 25: (0, (15, 13), ['', '', '%', ''], [(9, 6), (9, 7), (17, 9)], [False, False, True, False], 50, False, [False, False, False, False], 3586, 'South', (15, 12))
Element 26: (0, (15, 12), ['', '%', '', ''], [(8, 6), (9, 6), (17, 10)], [False, True, False, False], 48, False, [False, False, False, False], 3595, 'West', (14, 12))
Element 27: (0, (14, 12), ['', '%', '', ''], [(8, 5), (10, 6), (17, 11)], [False, True, False, False], 46, False, [False, False, False, False], 3604, 'North', (14, 13))
Element 28: (0, (14, 13), ['', '', '%', ''], [(7, 5), (11, 6), (18, 11)], [False, False, True, False], 44, False, [False, False, False, False], 3613, 'West', (13, 13))
Element 29: (0, (13, 13), ['', '', '%', ''], [(7, 6), (12, 6), (17, 11)], [False, False, True, False], 42, False, [False, False, False, False], 3622, 'South', (13, 12))
Element 30: (0, (13, 12), ['', '', '', ''], [(6, 6), (11, 6), (16, 11)], [False, False, False, False], 40, False, [False, False, False, False], 3631, 'South', (13, 11))
