Element 1: (1, (2, 9), ['.', '.', '.', '.'], [(18, 11), (4, 9), (14, 6)], [False, False, False, False], 98, False, [True, True, True, True], 9, 'South', (2, 8))
Element 2: (1, (2, 8), ['.', '.', '', '.'], [(17, 11), (5, 9), (15, 6)], [False, False, False, False], 96, False, [True, True, False, True], 38, 'East', (3, 8))
Element 3: (1, (3, 8), ['', '.', '.', '.'], [(17, 10), (5, 10), (16, 6)], [False, False, False, False], 94, False, [False, True, True, True], 77, 'East', (4, 8))
Element 4: (1, (4, 8), ['', '.', '', '.'], [(17, 9), (6, 10), (17, 6)], [False, False, False, False], 92, False, [False, True, False, True], 116, 'East', (5, 8))
Element 5: (1, (5, 8), ['', '%', '', 'F'], [(18, 9), (7, 10), (17, 7)], [False, True, False, False], 90, False, [False, False, False, False], 155, 'East', (6, 8))
Element 6: (1, (6, 8), ['', '%', '%', '.'], [(17, 9), (8, 10), (18, 7)], [False, True, True, False], 88, False, [False, False, False, True], 1174, 'East', (7, 8))
Element 7: (1, (7, 8), ['', '%', '%', '.'], [(16, 9), (8, 11), (17, 7)], [False, True, True, False], 86, False, [False, False, False, True], 2193, 'East', (8, 8))
Element 8: (1, (8, 8), ['', '%', '%', '.'], [(15, 9), (9, 11), (16, 7)], [False, True, True, False], 84, False, [False, False, False, True], 2232, 'East', (9, 8))
Element 9: (1, (9, 8), ['', '.', '%', 'F'], [(15, 10), (9, 12), (15, 7)], [False, False, True, False], 82, False, [False, True, False, False], 3261, 'East', (10, 8))
Element 10: (1, (10, 8), ['', '.', '%', '%'], [(14, 10), (10, 12), (14, 7)], [False, False, True, True], 80, False, [False, True, False, False], 4290, 'South', (10, 7))
Element 11: (1, (10, 7), ['.', '.', '', '.'], [(14, 9), (11, 12), (14, 8)], [False, False, False, False], 78, False, [True, True, False, True], 4329, 'East', (11, 7))
Element 12: (1, (11, 7), ['', '.', '%', '.'], [(13, 9), (12, 12), (13, 8)], [False, False, True, False], 76, False, [False, True, False, True], 4368, 'East', (12, 7))
Element 13: (1, (12, 7), ['', '.', '.', 'G'], [(13, 10), (13, 12), (13, 7)], [False, False, False, False], 74, False, [False, True, True, False], 4407, 'North', (12, 8))
Element 14: (1, (12, 8), ['%', '', '.', ''], [(13, 11), (14, 12), (13, 6)], [True, False, False, False], 72, False, [False, False, True, False], 4446, 'North', (12, 9))
Element 15: (1, (12, 9), ['.', '', '.', ''], [(12, 11), (15, 12), (13, 5)], [False, False, False, False], 70, False, [True, False, True, False], 4485, 'North', (12, 10))
Element 16: (1, (12, 10), ['.', '', '', ''], [(11, 11), (16, 12), (12, 5)], [False, False, False, False], 68, False, [True, False, False, False], 4524, 'West', (11, 10))
Element 17: (1, (11, 10), ['.', '.', '', ''], [(10, 11), (16, 13), (12, 6)], [False, False, False, False], 66, False, [True, True, False, False], 4563, 'South', (11, 9))
Element 18: (1, (11, 9), ['%', '%', '', ''], [(10, 10), (15, 13), (11, 6)], [True, True, False, False], 64, False, [False, False, False, False], 4602, 'North', (11, 10))
Element 19: (1, (11, 10), ['', '', '', ''], [(9, 10), (14, 13), (11, 5)], [False, False, False, False], 62, False, [False, False, False, False], 4631, 'West', (10, 10))
Element 20: (1, (10, 10), ['', '%', '', ''], [(9, 11), (13, 13), (10, 5)], [False, True, False, False], 60, False, [False, False, False, False], 4650, 'North', (10, 11))
Element 21: (1, (10, 11), ['', '', '', ''], [(9, 12), (12, 13), (10, 6)], [False, False, False, False], 58, False, [False, False, False, False], 4669, 'East', (11, 11))
Element 22: (1, (11, 11), ['', '', '', ''], [(10, 12), (13, 13), (9, 6)], [False, False, False, False], 56, False, [False, False, False, False], 4678, 'East', (12, 11))
Element 23: (1, (12, 11), ['', '', '', ''], [(11, 12), (14, 13), (9, 7)], [False, False, False, False], 54, False, [False, False, False, False], 4687, 'East', (13, 11))
Element 24: (1, (13, 11), ['', '', '', '%'], [(12, 12), (15, 13), (10, 7)], [False, False, False, True], 52, False, [False, False, False, False], 4686, 'North', (13, 12))
Element 25: (1, (13, 12), ['', '', '', ''], [(12, 13), (16, 13), (11, 7)], [False, False, False, False], 50, False, [False, False, False, False], 4685, 'East', (14, 12))
Element 26: (1, (14, 12), ['', '%', '', ''], [(13, 13), (16, 12), (12, 7)], [False, True, False, False], 48, False, [False, False, False, False], 4684, 'East', (15, 12))
Element 27: (1, (15, 12), ['', '%', '', ''], [(14, 13), (16, 11), (12, 8)], [False, True, False, False], 46, False, [False, False, False, False], 4693, 'East', (16, 12))
Element 28: (1, (16, 12), ['', '', '', '%'], [(15, 13), (17, 11), (12, 9)], [False, False, False, True], 44, False, [False, False, False, False], 4692, 'North', (16, 13))
Element 29: (1, (16, 13), ['', '', '%', '%'], [(15, 12), (18, 11), (13, 9)], [False, False, True, True], 42, False, [False, False, False, False], 4691, 'West', (15, 13))
Element 30: (1, (15, 13), ['', '', '%', ''], [(16, 12), (17, 11), (14, 9)], [False, False, True, False], 40, False, [False, False, False, False], 4690, 'West', (14, 13))
Element 31: (1, (14, 13), ['', '', '%', ''], [(16, 13), (17, 10), (15, 9)], [False, False, True, False], 38, False, [False, False, False, False], 4689, 'West', (13, 13))
Element 32: (1, (13, 13), ['', '', '%', ''], [(16, 12), (17, 9), (16, 9)], [False, False, True, False], 36, False, [False, False, False, False], 4688, 'West', (12, 13))
Element 33: (1, (12, 13), ['%', '', '%', ''], [(16, 11), (18, 9), (17, 9)], [True, False, True, False], 34, False, [False, False, False, False], 4687, 'South', (12, 12))
Element 34: (1, (12, 12), ['', '', '', ''], [(16, 12), (18, 9), (17, 10)], [False, False, False, False], 32, False, [False, False, False, False], 4686, 'West', (11, 12))
Element 35: (1, (11, 12), ['', '', '%', ''], [(15, 12), (17, 9), (17, 11)], [False, False, True, False], 30, False, [False, False, False, False], 4685, 'West', (10, 12))
Element 36: (1, (10, 12), ['', '', '%', ''], [(14, 12), (16, 9), (18, 11)], [False, False, True, False], 28, False, [False, False, False, False], 4684, 'West', (9, 12))
Element 37: (1, (9, 12), ['%', '', '%', ''], [(13, 12), (15, 9), (17, 11)], [True, False, True, False], 26, False, [False, False, False, False], 4683, 'South', (9, 11))
Element 38: (1, (9, 11), ['', '', '', ''], [(14, 12), (15, 10), (16, 11)], [False, False, False, False], 24, False, [False, False, False, False], 4682, 'South', (9, 10))
Element 39: (1, (9, 10), ['', '%', '', ''], [(15, 12), (14, 10), (16, 12)], [False, True, False, False], 22, False, [False, False, False, False], 4681, 'West', (8, 10))
