Element 1: (2, (3, 13), ['.', '%', '%', '.'], [(15, 9), (3, 6), (5, 9)], [False, True, True, False], 98, False, [True, False, False, True], 19, 'West', (2, 13))
Element 2: (2, (2, 13), ['.', '%', '%', ''], [(16, 9), (3, 7), (5, 10)], [False, True, True, False], 96, False, [True, False, False, False], 58, 'West', (1, 13))
Element 3: (2, (1, 13), ['%', '%', '%', ''], [(17, 9), (4, 7), (6, 10)], [True, True, True, False], 94, False, [False, False, False, False], 97, 'East', (2, 13))
Element 4: (2, (2, 13), ['', '%', '%', ''], [(18, 9), (4, 8), (7, 10)], [False, True, True, False], 92, False, [False, False, False, False], 126, 'East', (3, 13))
Element 5: (2, (3, 13), ['', '%', '%', '.'], [(17, 9), (4, 9), (8, 10)], [False, True, True, False], 90, False, [False, False, False, True], 145, 'East', (4, 13))
Element 6: (2, (4, 13), ['', '%', '%', '.'], [(17, 10), (3, 9), (8, 11)], [False, True, True, False], 88, False, [False, False, False, True], 1174, 'East', (5, 13))
Element 7: (2, (5, 13), ['', '.', '%', '%'], [(17, 11), (2, 9), (9, 11)], [False, False, True, True], 86, False, [False, True, False, False], 1213, 'South', (5, 12))
Element 8: (2, (5, 12), ['%', '.', '', '.'], [(18, 11), (2, 10), (9, 12)], [True, False, False, False], 84, False, [False, True, False, True], 2242, 'East', (6, 12))
Element 9: (2, (6, 12), ['', '.', '%', '%'], [(17, 11), (3, 10), (10, 12)], [False, False, True, True], 82, False, [False, True, False, False], 2271, 'South', (6, 11))
Element 10: (2, (6, 11), ['.', '', '', '.'], [(16, 11), (3, 11), (11, 12)], [False, False, False, False], 80, False, [True, False, False, True], 2310, 'East', (7, 11))
Element 11: (2, (7, 11), ['', '', '%', ''], [(16, 12), (4, 11), (12, 12)], [False, False, True, False], 78, False, [False, False, False, False], 2349, 'East', (8, 11))
Element 12: (2, (8, 11), ['', '', '%', ''], [(16, 13), (5, 11), (13, 12)], [False, False, True, False], 76, False, [False, False, False, False], 2378, 'East', (9, 11))
Element 13: (2, (9, 11), ['', '.', '', '.'], [(15, 13), (6, 11), (14, 12)], [False, False, False, False], 74, False, [False, True, False, True], 2397, 'East', (10, 11))
Element 14: (2, (10, 11), ['', '.', '', '.'], [(14, 13), (7, 11), (15, 12)], [False, False, False, False], 72, False, [False, True, False, True], 2426, 'East', (11, 11))
Element 15: (2, (11, 11), ['', '.', '', '.'], [(13, 13), (8, 11), (16, 12)], [False, False, False, False], 70, False, [False, True, False, True], 2445, 'East', (12, 11))
Element 16: (2, (12, 11), ['', '.', '', '.'], [(12, 13), (9, 11), (16, 13)], [False, False, False, False], 68, False, [False, True, False, True], 2464, 'East', (13, 11))
Element 17: (2, (13, 11), ['', '.', '', '%'], [(12, 12), (9, 10), (15, 13)], [False, False, False, True], 66, False, [False, True, False, False], 2483, 'South', (13, 10))
Element 18: (2, (13, 10), ['.', '.', '', '.'], [(13, 12), (10, 10), (14, 13)], [False, False, False, False], 64, False, [True, True, False, True], 2502, 'East', (14, 10))
Element 19: (2, (14, 10), ['', '.', '%', ''], [(14, 12), (11, 10), (13, 13)], [False, False, True, False], 62, False, [False, True, False, False], 2521, 'South', (14, 9))
Element 20: (2, (14, 9), ['.', '.', '', ''], [(15, 12), (12, 10), (12, 13)], [False, False, False, False], 60, False, [True, True, False, False], 2540, 'South', (14, 8))
Element 21: (2, (14, 8), ['.', '.', '', '%'], [(14, 12), (12, 9), (13, 13)], [False, False, False, True], 58, False, [True, True, False, False], 2559, 'South', (14, 7))
Element 22: (2, (14, 7), ['.', '.', '', '.'], [(13, 12), (13, 9), (14, 13)], [False, False, False, False], 56, False, [True, True, False, True], 2578, 'East', (15, 7))
Element 23: (2, (15, 7), ['', '.', '%', '.'], [(13, 11), (13, 8), (15, 13)], [False, False, True, False], 54, False, [False, True, False, True], 2597, 'East', (16, 7))
Element 24: (2, (16, 7), ['', '.', '%', '.'], [(13, 10), (13, 7), (16, 13)], [False, False, True, False], 52, False, [False, True, False, True], 2616, 'East', (17, 7))
Element 25: (2, (17, 7), ['', '.', '%', '.'], [(14, 10), (13, 6), (16, 12)], [False, False, True, False], 50, False, [False, True, False, True], 2635, 'East', (18, 7))
Element 26: (2, (18, 7), ['', '%', '%', '%'], [(14, 9), (14, 6), (16, 11)], [False, True, True, True], 48, False, [False, False, False, False], 2654, 'West', (17, 7))
Element 27: (2, (17, 7), ['', '.', '%', ''], [(14, 8), (15, 6), (17, 11)], [False, False, True, False], 46, False, [False, True, False, False], 2663, 'South', (17, 6))
Element 28: (2, (17, 6), ['G', '%', '', '%'], [(14, 7), (16, 6), (18, 11)], [False, True, False, True], 44, False, [False, False, False, False], 2682, 'North', (17, 7))
Element 29: (2, (17, 7), ['', 'G', '%', ''], [(15, 7), (17, 6), (17, 11)], [False, False, True, False], 42, False, [False, False, False, False], 2681, 'West', (16, 7))
Element 30: (2, (16, 7), ['', '', '%', 'G'], [(15, 6), (17, 7), (17, 10)], [False, False, True, False], 40, False, [False, False, False, False], 2680, 'South', (16, 6))
Element 31: (2, (16, 6), ['', '%', '', ''], [(14, 6), (18, 7), (17, 9)], [False, True, False, False], 38, False, [False, False, False, False], 2679, 'West', (15, 6))
Element 32: (2, (15, 6), ['', '%', '', ''], [(13, 6), (17, 7), (18, 9)], [False, True, False, False], 36, False, [False, False, False, False], 2678, 'West', (14, 6))
Element 33: (2, (14, 6), ['', '%', '', ''], [(13, 5), (16, 7), (17, 9)], [False, True, False, False], 34, False, [False, False, False, False], 2687, 'West', (13, 6))
Element 34: (2, (13, 6), ['.', '', '', ''], [(12, 5), (15, 7), (16, 9)], [False, False, False, False], 32, False, [True, False, False, False], 2696, 'West', (12, 6))
Element 35: (2, (12, 6), ['.', '', '.', ''], [(11, 5), (14, 7), (15, 9)], [False, False, False, False], 30, False, [True, False, True, False], 2715, 'North', (12, 7))
Element 36: (2, (12, 7), ['.', '', '.', ''], [(11, 6), (14, 8), (15, 10)], [False, False, False, False], 28, False, [True, False, True, False], 2734, 'North', (12, 8))
Element 37: (2, (12, 8), ['%', '', '', ''], [(11, 7), (14, 9), (14, 10)], [True, False, False, False], 26, False, [False, False, False, False], 2753, 'East', (13, 8))
Element 38: (2, (13, 8), ['', '', '', ''], [(10, 7), (15, 9), (13, 10)], [False, False, False, False], 24, False, [False, False, False, False], 2762, 'North', (13, 9))
Element 39: (2, (13, 9), ['', '', '', ''], [(10, 8), (16, 9), (13, 11)], [False, False, False, False], 22, False, [False, False, False, False], 3761, 'West', (12, 9))
Element 40: (2, (12, 9), ['.', '', '', ''], [(9, 8), (17, 9), (12, 11)], [False, False, False, False], 20, False, [True, False, False, False], 3770, 'West', (11, 9))
Element 41: (2, (11, 9), ['%', '%', '', ''], [(9, 7), (18, 9), (12, 10)], [True, True, False, False], 18, False, [False, False, False, False], 3789, 'North', (11, 10))
Element 42: (2, (11, 10), ['', '', '', ''], [(9, 6), (17, 9), (12, 9)], [False, False, False, False], 16, False, [False, False, False, False], 3798, 'East', (12, 10))
Element 43: (2, (12, 10), ['', '', '', ''], [(10, 6), (17, 10), (13, 9)], [False, False, False, False], 14, False, [False, False, False, False], 3807, 'West', (11, 10))
Element 44: (2, (11, 10), ['', '', '', ''], [(10, 5), (17, 11), (14, 9)], [False, False, False, False], 12, False, [False, False, False, False], 3816, 'West', (10, 10))
Element 45: (2, (10, 10), ['', '%', '', ''], [(9, 5), (18, 11), (14, 8)], [False, True, False, False], 10, False, [False, False, False, False], 3825, 'West', (9, 10))
Element 46: (2, (9, 10), ['', '%', '', ''], [(8, 5), (17, 11), (14, 7)], [False, True, False, False], 8, False, [False, False, False, False], 3834, 'West', (8, 10))
Element 47: (2, (8, 10), ['', '%', '', ''], [(8, 6), (16, 11), (15, 7)], [False, True, False, False], 6, False, [False, False, False, False], 3843, 'West', (7, 10))
Element 48: (2, (7, 10), ['', '%', '', ''], [(7, 6), (16, 12), (16, 7)], [False, True, False, False], 4, False, [False, False, False, False], 3852, 'West', (6, 10))
Element 49: (2, (6, 10), ['', '%', '', ''], [(7, 5), (16, 13), (17, 7)], [False, True, False, False], 2, False, [False, False, False, False], 3861, 'West', (5, 10))
Element 50: (2, (5, 10), ['.', '', '', ''], [(7, 5), (16, 13), (18, 7)], [False, False, False, False], 0, False, [True, False, False, False], 3860, 'Stop', (5, 10))
Element 51: #0#
