Element 1: (1, (12, 1), ['F', '%', '.', '.'], [(16, 8), (15, 3), (16, 1)], [False, True, False, False], 98, False, [False, False, True, True], 9, 'West', (11, 1))
Element 2: (1, (11, 1), ['.', '%', '.', ''], [(16, 7), (15, 4), (17, 1)], [False, True, False, False], 96, False, [True, False, True, False], 1038, 'North', (11, 2))
Element 3: (1, (11, 2), ['.', '', '%', '.'], [(16, 6), (16, 4), (18, 1)], [False, False, True, False], 94, False, [True, False, False, True], 1077, 'East', (12, 2))
Element 4: (1, (12, 2), ['', '', '%', '.'], [(17, 6), (17, 4), (18, 2)], [False, False, True, False], 92, False, [False, False, False, True], 1106, 'East', (13, 2))
Element 5: (1, (13, 2), ['', '.', '.', '%'], [(18, 6), (16, 4), (18, 3)], [False, False, False, True], 90, False, [False, True, True, False], 1135, 'North', (13, 3))
Element 6: (1, (13, 3), ['%', '', '.', '%'], [(18, 7), (16, 5), (18, 2)], [True, False, False, True], 88, False, [False, False, True, False], 1164, 'North', (13, 4))
Element 7: (1, (13, 4), ['.', '', '.', '.'], [(18, 8), (16, 6), (17, 2)], [False, False, False, False], 86, False, [True, False, True, True], 1193, 'East', (14, 4))
Element 8: (1, (14, 4), ['', '%', '%', ''], [(18, 9), (15, 6), (16, 2)], [False, True, True, False], 84, False, [False, False, False, False], 1232, 'East', (15, 4))
Element 9: (1, (15, 4), ['', '', '%', ''], [(18, 10), (14, 6), (15, 2)], [False, False, True, False], 82, False, [False, False, False, False], 1261, 'East', (16, 4))
Element 10: (1, (16, 4), ['', '%', '', ''], [(17, 10), (13, 6), (15, 1)], [False, True, False, False], 80, False, [False, False, False, False], 1290, 'East', (17, 4))
Element 11: (1, (17, 4), ['', '%', '%', '%'], [(16, 10), (13, 7), (15, 2)], [False, True, True, True], 78, False, [False, False, False, False], 1309, 'West', (16, 4))
Element 12: (1, (16, 4), ['', '%', '', ''], [(15, 10), (13, 8), (15, 3)], [False, True, False, False], 76, False, [False, False, False, False], 1328, 'North', (16, 5))
Element 13: (1, (16, 5), ['%', '', '', '%'], [(15, 9), (14, 8), (15, 4)], [True, False, False, True], 74, False, [False, False, False, False], 1347, 'North', (16, 6))
Element 14: (1, (16, 6), ['', '', '', ''], [(15, 10), (15, 8), (16, 4)], [False, False, False, False], 72, False, [False, False, False, False], 1346, 'East', (17, 6))
Element 15: (1, (17, 6), ['', '%', '%', ''], [(16, 10), (16, 8), (17, 4)], [False, True, True, False], 70, False, [False, False, False, False], 1345, 'East', (18, 6))
Element 16: (1, (18, 6), ['', '.', '', '%'], [(17, 10), (16, 7), (16, 4)], [False, False, False, True], 68, False, [False, True, False, False], 1344, 'South', (18, 5))
Element 17: (1, (18, 5), ['%', '%', '', '%'], [(18, 10), (16, 8), (16, 5)], [True, True, False, True], 66, False, [False, False, False, False], 1353, 'North', (18, 6))
Element 18: (1, (18, 6), ['', '', '', '%'], [(18, 9), (15, 8), (16, 6)], [False, False, False, True], 64, False, [False, False, False, False], 1352, 'North', (18, 7))
Element 19: (1, (18, 7), ['%', '', 'G', '%'], [(18, 8), (15, 9), (17, 6)], [True, False, False, True], 62, False, [False, False, False, False], 1351, 'South', (18, 6))
Element 20: (1, (18, 6), ['', '', 'G', '%'], [(18, 7), (15, 10), (16, 6)], [False, False, False, True], 60, False, [False, False, False, False], 1350, 'West', (17, 6))
Element 21: (1, (17, 6), ['', '%', '%', 'G'], [(18, 6), (16, 10), (16, 7)], [False, True, True, False], 58, False, [False, False, False, False], 1349, 'West', (16, 6))
Element 22: (1, (16, 6), ['', '', '', ''], [(18, 5), (17, 10), (16, 8)], [False, False, False, False], 56, False, [False, False, False, False], 1348, 'North', (16, 7))
Element 23: (1, (16, 7), ['%', '', '', '%'], [(18, 6), (18, 10), (15, 8)], [True, False, False, True], 54, False, [False, False, False, False], 1347, 'North', (16, 8))
Element 24: (1, (16, 8), ['', '', '%', '%'], [(17, 6), (18, 9), (15, 9)], [False, False, True, True], 52, False, [False, False, False, False], 1346, 'West', (15, 8))
Element 25: (1, (15, 8), ['', '%', '', ''], [(16, 6), (18, 8), (15, 10)], [False, True, False, False], 50, False, [False, False, False, False], 1345, 'North', (15, 9))
Element 26: (1, (15, 9), ['%', '', '', '%'], [(16, 5), (18, 7), (16, 10)], [True, False, False, True], 48, False, [False, False, False, False], 1344, 'North', (15, 10))
Element 27: (1, (15, 10), ['%', '', '%', ''], [(16, 4), (18, 6), (17, 10)], [True, False, True, False], 46, False, [False, False, False, False], 1343, 'East', (16, 10))
Element 28: (1, (16, 10), ['', '%', '%', ''], [(17, 4), (18, 5), (18, 10)], [False, True, True, False], 44, False, [False, False, False, False], 1342, 'East', (17, 10))
Element 29: (1, (17, 10), ['', '%', '%', ''], [(16, 4), (18, 6), (18, 9)], [False, True, True, False], 42, False, [False, False, False, False], 1341, 'East', (18, 10))
Element 30: (1, (18, 10), ['', '', '%', '%'], [(15, 4), (17, 6), (18, 8)], [False, False, True, True], 40, False, [False, False, False, False], 1340, 'South', (18, 9))
Element 31: (1, (18, 9), ['%', '', '', '%'], [(15, 3), (18, 6), (18, 7)], [True, False, False, True], 38, False, [False, False, False, False], 1339, 'South', (18, 8))
Element 32: (1, (18, 8), ['%', '', '', '%'], [(15, 2), (17, 6), (18, 6)], [True, False, False, True], 36, False, [False, False, False, False], 1338, 'North', (18, 9))
Element 33: (1, (18, 9), ['%', '', '', '%'], [(16, 2), (17, 6), (18, 5)], [True, False, False, True], 34, False, [False, False, False, False], 1337, 'North', (18, 10))
Element 34: (1, (18, 10), ['', '', '%', '%'], [(17, 2), (17, 6), (18, 6)], [False, False, True, True], 32, False, [False, False, False, False], 1336, 'West', (17, 10))
Element 35: (1, (17, 10), ['', '%', '%', ''], [(18, 2), (17, 6), (18, 7)], [False, True, True, False], 30, False, [False, False, False, False], 1335, 'West', (16, 10))
Element 36: (1, (16, 10), ['', '%', '%', ''], [(18, 3), (17, 6), (18, 8)], [False, True, True, False], 28, False, [False, False, False, False], 1334, 'West', (15, 10))
Element 37: (1, (15, 10), ['%', '', '%', ''], [(18, 2), (17, 6), (18, 9)], [True, False, True, False], 26, False, [False, False, False, False], 1333, 'South', (15, 9))
Element 38: (1, (15, 9), ['%', '', '', '%'], [(18, 1), (17, 6), (18, 10)], [True, False, False, True], 24, False, [False, False, False, False], 1332, 'South', (15, 8))
Element 39: (1, (15, 8), ['', '%', '', ''], [(17, 1), (17, 6), (17, 10)], [False, True, False, False], 22, False, [False, False, False, False], 1331, 'West', (14, 8))
Element 40: (1, (14, 8), ['', '%', '%', ''], [(16, 1), (17, 6), (16, 10)], [False, True, True, False], 20, False, [False, False, False, False], 1330, 'West', (13, 8))
Element 41: (1, (13, 8), ['.', '', '.', ''], [(15, 1), (17, 6), (15, 10)], [False, False, False, False], 18, False, [True, False, True, False], 1329, 'North', (13, 9))
Element 42: (1, (13, 9), ['%', '', '.', '%'], [(16, 1), (17, 6), (15, 9)], [True, False, False, True], 16, False, [False, False, True, False], 1338, 'North', (13, 10))
Element 43: (1, (13, 10), ['F', '', '%', '%'], [(17, 1), (17, 6), (15, 8)], [False, False, True, True], 14, False, [False, False, False, False], 1347, 'West', (12, 10))
Element 44: (1, (12, 10), ['F', '%', '%', ''], [(18, 1), (17, 6), (14, 8)], [False, True, True, False], 12, False, [False, False, False, False], 2346, 'West', (11, 10))
Element 45: (1, (11, 10), ['.', '%', '%', ''], [(18, 2), (17, 6), (13, 8)], [False, True, True, False], 10, False, [True, False, False, False], 3345, 'West', (10, 10))
Element 46: (1, (10, 10), ['.', '%', '%', ''], [(17, 2), (16, 6), (12, 8)], [False, True, True, False], 8, False, [True, False, False, False], 3364, 'West', (9, 10))
Element 47: (1, (9, 10), ['.', '%', '%', ''], [(17, 1), (16, 7), (11, 8)], [False, True, True, False], 6, False, [True, False, False, False], 3383, 'West', (8, 10))
Element 48: (1, (8, 10), ['.', '%', '%', ''], [(17, 2), (16, 6), (10, 8)], [False, True, True, False], 4, False, [True, False, False, False], 3402, 'West', (7, 10))
Element 49: (1, (7, 10), ['.', '%', '%', ''], [(16, 2), (16, 5), (9, 8)], [False, True, True, False], 2, False, [True, False, False, False], 3421, 'West', (6, 10))
Element 50: (1, (6, 10), ['%', '.', '%', ''], [(16, 2), (16, 6), (8, 8)], [True, False, True, False], 0, False, [False, True, False, False], 3440, 'Stop', (6, 10))
Element 51: #0#
