Element 1: (1, (1, 2), ['%', '', '.', '.'], [(10, 1), (3, 4), (5, 4)], [True, False, False, False], 98, False, [False, False, True, True], 9, 'East', (2, 2))
Element 2: (1, (2, 2), ['', '.', '%', '.'], [(11, 1), (4, 4), (6, 4)], [False, False, True, False], 96, False, [False, True, False, True], 1038, 'East', (3, 2))
Element 3: (1, (3, 2), ['', '.', '%', '.'], [(12, 1), (4, 3), (7, 4)], [False, False, True, False], 94, False, [False, True, False, True], 1077, 'East', (4, 2))
Element 4: (1, (4, 2), ['', '.', '', '%'], [(13, 1), (4, 4), (7, 5)], [False, False, False, True], 92, False, [False, True, False, False], 2096, 'South', (4, 1))
Element 5: (1, (4, 1), ['.', '%', '', '%'], [(13, 2), (5, 4), (6, 5)], [False, True, False, True], 90, False, [True, False, False, False], 2125, 'West', (3, 1))
Element 6: (1, (3, 1), ['.', '%', '', ''], [(13, 3), (6, 4), (6, 6)], [False, True, False, False], 88, False, [True, False, False, False], 2154, 'West', (2, 1))
Element 7: (1, (2, 1), ['', '%', '', ''], [(13, 4), (6, 3), (6, 7)], [False, True, False, False], 86, False, [False, False, False, False], 2193, 'West', (1, 1))
Element 8: (1, (1, 1), ['%', '%', '', ''], [(14, 4), (6, 2), (6, 8)], [True, True, False, False], 84, False, [False, False, False, False], 2222, 'East', (2, 1))
Element 9: (1, (2, 1), ['', '%', '', ''], [(15, 4), (7, 2), (7, 8)], [False, True, False, False], 82, False, [False, False, False, False], 2251, 'East', (3, 1))
Element 10: (1, (3, 1), ['', '%', '', ''], [(16, 4), (8, 2), (8, 8)], [False, True, False, False], 80, False, [False, False, False, False], 2280, 'East', (4, 1))
Element 11: (1, (4, 1), ['', '%', '', '%'], [(17, 4), (9, 2), (9, 8)], [False, True, False, True], 78, False, [False, False, False, False], 2309, 'North', (4, 2))
Element 12: (1, (4, 2), ['', '', '', '%'], [(16, 4), (10, 2), (10, 8)], [False, False, False, True], 76, False, [False, False, False, False], 2328, 'North', (4, 3))
Element 13: (1, (4, 3), ['%', '', '', '%'], [(16, 5), (11, 2), (11, 8)], [True, False, False, True], 74, False, [False, False, False, False], 2357, 'North', (4, 4))
Element 14: (1, (4, 4), ['', '', '%', ''], [(16, 6), (12, 2), (12, 8)], [False, False, True, False], 72, False, [False, False, False, False], 2386, 'East', (5, 4))
Element 15: (1, (5, 4), ['', '%', '%', ''], [(17, 6), (13, 2), (13, 8)], [False, True, True, False], 70, False, [False, False, False, False], 2405, 'East', (6, 4))
Element 16: (1, (6, 4), ['', '', '', ''], [(18, 6), (13, 3), (14, 8)], [False, False, False, False], 68, False, [False, False, False, False], 2424, 'East', (7, 4))
Element 17: (1, (7, 4), ['', '%', '', ''], [(18, 7), (13, 4), (15, 8)], [False, True, False, False], 66, False, [False, False, False, False], 2443, 'East', (8, 4))
Element 18: (1, (8, 4), ['', '%', '%', '.'], [(18, 8), (13, 5), (16, 8)], [False, True, True, False], 64, False, [False, False, False, True], 2472, 'East', (9, 4))
Element 19: (1, (9, 4), ['', '%', '%', '.'], [(18, 9), (13, 6), (16, 7)], [False, True, True, False], 62, False, [False, False, False, True], 2511, 'East', (10, 4))
Element 20: (1, (10, 4), ['', '%', '%', '.'], [(18, 10), (14, 6), (16, 6)], [False, True, True, False], 60, False, [False, False, False, True], 2540, 'East', (11, 4))
Element 21: (1, (11, 4), ['', '%', '%', '.'], [(17, 10), (15, 6), (17, 6)], [False, True, True, False], 58, False, [False, False, False, True], 2569, 'East', (12, 4))
Element 22: (1, (12, 4), ['', '%', '%', ''], [(16, 10), (16, 6), (18, 6)], [False, True, True, False], 56, False, [False, False, False, False], 2588, 'East', (13, 4))
Element 23: (1, (13, 4), ['', '', '', ''], [(15, 10), (17, 6), (18, 5)], [False, False, False, False], 54, False, [False, False, False, False], 2607, 'East', (14, 4))
Element 24: (1, (14, 4), ['', '%', '%', ''], [(15, 9), (18, 6), (18, 5)], [False, True, True, False], 52, False, [False, False, False, False], 2616, 'East', (15, 4))
Element 25: (1, (15, 4), ['', '.', '%', ''], [(15, 8), (18, 7), (18, 6)], [False, False, True, False], 50, False, [False, True, False, False], 2615, 'South', (15, 3))
Element 26: (1, (15, 3), ['%', '.', '', '%'], [(16, 8), (18, 8), (18, 6)], [True, False, False, True], 48, False, [False, True, False, False], 2624, 'South', (15, 2))
Element 27: (1, (15, 2), ['%', '.', '', '.'], [(16, 7), (18, 9), (17, 6)], [True, False, False, False], 46, False, [False, True, False, True], 2633, 'East', (16, 2))
Element 28: (1, (16, 2), ['', '.', '%', '.'], [(16, 8), (18, 10), (16, 6)], [False, False, True, False], 44, False, [False, True, False, True], 2642, 'East', (17, 2))
Element 29: (1, (17, 2), ['', '.', '%', ''], [(15, 8), (17, 10), (16, 5)], [False, False, True, False], 42, False, [False, True, False, False], 2651, 'South', (17, 1))
Element 30: (1, (17, 1), ['.', '%', '', '.'], [(14, 8), (16, 10), (16, 4)], [False, True, False, False], 40, False, [True, False, False, True], 2660, 'East', (18, 1))
Element 31: (1, (18, 1), ['', '%', '', '%'], [(13, 8), (15, 10), (17, 4)], [False, True, False, True], 38, False, [False, False, False, False], 2669, 'North', (18, 2))
Element 32: (1, (18, 2), ['', '', '.', '%'], [(13, 9), (15, 9), (16, 4)], [False, False, False, True], 36, False, [False, False, True, False], 2678, 'North', (18, 3))
Element 33: (1, (18, 3), ['%', '', '%', '%'], [(13, 10), (15, 8), (15, 4)], [True, False, True, True], 34, False, [False, False, False, False], 2697, 'South', (18, 2))
Element 34: (1, (18, 2), ['', '', '', '%'], [(12, 10), (16, 8), (15, 3)], [False, False, False, True], 32, False, [False, False, False, False], 3696, 'South', (18, 1))
Element 35: #1#
