Element 1: (2, (11, 2), ['.', 'F', '%', '.'], [(16, 1), (4, 3), (17, 2)], [False, False, True, False], 98, False, [True, False, False, True], 19, 'South', (11, 1))
Element 2: (2, (11, 1), ['.', '%', '', '.'], [(16, 2), (4, 4), (17, 1)], [False, True, False, False], 96, False, [True, False, False, True], 1048, 'East', (12, 1))
Element 3: (2, (12, 1), ['', '%', '.', '.'], [(15, 2), (5, 4), (18, 1)], [False, True, False, False], 94, False, [False, False, True, True], 1087, 'East', (13, 1))
Element 4: (2, (13, 1), ['', '%', '.', '%'], [(15, 3), (6, 4), (18, 2)], [False, True, False, True], 92, False, [False, False, True, False], 1116, 'North', (13, 2))
Element 5: (2, (13, 2), ['.', '', '.', '%'], [(15, 4), (7, 4), (18, 3)], [False, False, False, True], 90, False, [True, False, True, False], 1155, 'North', (13, 3))
Element 6: (2, (13, 3), ['%', '', '.', '%'], [(16, 4), (7, 5), (18, 2)], [True, False, False, True], 88, False, [False, False, True, False], 2174, 'North', (13, 4))
Element 7: (2, (13, 4), ['.', '', '.', '.'], [(17, 4), (6, 5), (18, 1)], [False, False, False, False], 86, False, [True, False, True, True], 2203, 'East', (14, 4))
Element 8: (2, (14, 4), ['', '%', '%', ''], [(16, 4), (6, 6), (17, 1)], [False, True, True, False], 84, False, [False, False, False, False], 2222, 'East', (15, 4))
Element 9: (2, (15, 4), ['', '', '%', ''], [(16, 5), (6, 7), (16, 1)], [False, False, True, False], 82, False, [False, False, False, False], 2241, 'East', (16, 4))
Element 10: (2, (16, 4), ['', '%', '', ''], [(16, 6), (6, 8), (16, 2)], [False, True, False, False], 80, False, [False, False, False, False], 2260, 'East', (17, 4))
Element 11: (2, (17, 4), ['', '%', '%', '%'], [(17, 6), (7, 8), (15, 2)], [False, True, True, True], 78, False, [False, False, False, False], 2279, 'West', (16, 4))
Element 12: (2, (16, 4), ['', '%', '', ''], [(18, 6), (8, 8), (15, 3)], [False, True, False, False], 76, False, [False, False, False, False], 2298, 'North', (16, 5))
Element 13: (2, (16, 5), ['%', '', '', '%'], [(18, 7), (9, 8), (15, 4)], [True, False, False, True], 74, False, [False, False, False, False], 2317, 'North', (16, 6))
Element 14: (2, (16, 6), ['.', '', '.', ''], [(18, 8), (10, 8), (16, 4)], [False, False, False, False], 72, False, [True, False, True, False], 2336, 'North', (16, 7))
Element 15: (2, (16, 7), ['%', '', '.', '%'], [(18, 9), (11, 8), (17, 4)], [True, False, False, True], 70, False, [False, False, True, False], 2365, 'North', (16, 8))
Element 16: (2, (16, 8), ['.', '', '%', '%'], [(18, 10), (12, 8), (16, 4)], [False, False, True, True], 68, False, [True, False, False, False], 2394, 'West', (15, 8))
Element 17: (2, (15, 8), ['.', '%', '.', ''], [(17, 10), (13, 8), (16, 5)], [False, True, False, False], 66, False, [True, False, True, False], 2423, 'North', (15, 9))
Element 18: (2, (15, 9), ['%', '', '.', '%'], [(16, 10), (14, 8), (16, 6)], [True, False, False, True], 64, False, [False, False, True, False], 2452, 'North', (15, 10))
Element 19: (2, (15, 10), ['%', '', '%', ''], [(17, 10), (15, 8), (15, 6)], [True, False, True, False], 62, False, [False, False, False, False], 2471, 'East', (16, 10))
Element 20: (2, (16, 10), ['', '%', '%', ''], [(18, 10), (16, 8), (14, 6)], [False, True, True, False], 60, False, [False, False, False, False], 2480, 'East', (17, 10))
Element 21: (2, (17, 10), ['', '%', '%', ''], [(18, 9), (16, 7), (13, 6)], [False, True, True, False], 58, False, [False, False, False, False], 2489, 'East', (18, 10))
Element 22: (2, (18, 10), ['', '', '%', '%'], [(18, 8), (16, 6), (13, 7)], [False, False, True, True], 56, False, [False, False, False, False], 2498, 'South', (18, 9))
Element 23: (2, (18, 9), ['%', '', '', '%'], [(18, 7), (17, 6), (13, 8)], [True, False, False, True], 54, False, [False, False, False, False], 2497, 'South', (18, 8))
Element 24: (2, (18, 8), ['%', '', '', '%'], [(18, 6), (16, 6), (13, 9)], [True, False, False, True], 52, False, [False, False, False, False], 2506, 'South', (18, 7))
Element 25: (2, (18, 7), ['%', '', '', '%'], [(18, 5), (16, 5), (13, 10)], [True, False, False, True], 50, False, [False, False, False, False], 2525, 'South', (18, 6))
Element 26: (2, (18, 6), ['', 'G', '', '%'], [(18, 5), (16, 4), (12, 10)], [False, False, False, True], 48, False, [False, False, False, False], 3524, 'West', (17, 6))
Element 27: #1#
