Element 1: (3, (17, 2), ['.', '.', '%', ''], [(16, 1), (4, 3), (11, 1)], [False, False, True, False], 98, False, [True, True, False, False], 1019, 'South', (17, 1))
Element 2: (3, (17, 1), ['', '%', '', '.'], [(16, 2), (4, 4), (12, 1)], [False, True, False, False], 96, False, [False, False, False, True], 1058, 'East', (18, 1))
Element 3: (3, (18, 1), ['', '%', '', '%'], [(15, 2), (5, 4), (13, 1)], [False, True, False, True], 94, False, [False, False, False, False], 1097, 'North', (18, 2))
Element 4: (3, (18, 2), ['', '', '.', '%'], [(15, 3), (6, 4), (13, 2)], [False, False, False, True], 92, False, [False, False, True, False], 1126, 'North', (18, 3))
Element 5: (3, (18, 3), ['%', '', '%', '%'], [(15, 4), (7, 4), (13, 3)], [True, False, True, True], 90, False, [False, False, False, False], 1165, 'South', (18, 2))
Element 6: (3, (18, 2), ['', '', '', '%'], [(16, 4), (7, 5), (13, 4)], [False, False, False, True], 88, False, [False, False, False, False], 2184, 'South', (18, 1))
Element 7: (3, (18, 1), ['', '%', '', '%'], [(17, 4), (6, 5), (14, 4)], [False, True, False, True], 86, False, [False, False, False, False], 2213, 'West', (17, 1))
Element 8: (3, (17, 1), ['', '%', '', ''], [(16, 4), (6, 6), (15, 4)], [False, True, False, False], 84, False, [False, False, False, False], 2222, 'West', (16, 1))
Element 9: (3, (16, 1), ['', '%', '', ''], [(16, 5), (6, 7), (16, 4)], [False, True, False, False], 82, False, [False, False, False, False], 2241, 'North', (16, 2))
Element 10: (3, (16, 2), ['', '', '%', ''], [(16, 6), (6, 8), (17, 4)], [False, False, True, False], 80, False, [False, False, False, False], 2260, 'West', (15, 2))
Element 11: (3, (15, 2), ['%', '', '', ''], [(17, 6), (7, 8), (16, 4)], [True, False, False, False], 78, False, [False, False, False, False], 2279, 'North', (15, 3))
Element 12: (3, (15, 3), ['%', '', '', '%'], [(18, 6), (8, 8), (16, 5)], [True, False, False, True], 76, False, [False, False, False, False], 2298, 'North', (15, 4))
Element 13: (3, (15, 4), ['', '', '%', ''], [(18, 7), (9, 8), (16, 6)], [False, False, True, False], 74, False, [False, False, False, False], 2317, 'East', (16, 4))
Element 14: (3, (16, 4), ['', '%', '', ''], [(18, 8), (10, 8), (16, 7)], [False, True, False, False], 72, False, [False, False, False, False], 2346, 'East', (17, 4))
Element 15: (3, (17, 4), ['', '%', '%', '%'], [(18, 9), (11, 8), (16, 8)], [False, True, True, True], 70, False, [False, False, False, False], 2375, 'West', (16, 4))
Element 16: (3, (16, 4), ['', '%', '', ''], [(18, 10), (12, 8), (15, 8)], [False, True, False, False], 68, False, [False, False, False, False], 2404, 'North', (16, 5))
Element 17: (3, (16, 5), ['%', '', '', '%'], [(17, 10), (13, 8), (15, 9)], [True, False, False, True], 66, False, [False, False, False, False], 2433, 'North', (16, 6))
Element 18: (3, (16, 6), ['.', '', '', ''], [(16, 10), (14, 8), (15, 10)], [False, False, False, False], 64, False, [True, False, False, False], 2462, 'West', (15, 6))
Element 19: (3, (15, 6), ['.', '%', '%', ''], [(17, 10), (15, 8), (16, 10)], [False, True, True, False], 62, False, [True, False, False, False], 2471, 'West', (14, 6))
Element 20: (3, (14, 6), ['.', '%', '%', ''], [(18, 10), (16, 8), (17, 10)], [False, True, True, False], 60, False, [True, False, False, False], 2480, 'West', (13, 6))
Element 21: (3, (13, 6), ['%', '.', '.', ''], [(18, 9), (16, 7), (18, 10)], [True, False, False, False], 58, False, [False, True, True, False], 2489, 'North', (13, 7))
Element 22: (3, (13, 7), ['%', '', '', '%'], [(18, 8), (16, 6), (18, 9)], [True, False, False, True], 56, False, [False, False, False, False], 2498, 'North', (13, 8))
Element 23: (3, (13, 8), ['', '', '.', ''], [(18, 7), (17, 6), (18, 8)], [False, False, False, False], 54, False, [False, False, True, False], 2497, 'North', (13, 9))
Element 24: (3, (13, 9), ['%', '', '.', '%'], [(18, 6), (16, 6), (18, 7)], [True, False, False, True], 52, False, [False, False, True, False], 2506, 'North', (13, 10))
Element 25: (3, (13, 10), ['F', '', '%', '%'], [(18, 5), (16, 5), (18, 6)], [False, False, True, True], 50, False, [False, False, False, False], 2525, 'West', (12, 10))
Element 26: (3, (12, 10), ['F', '%', '%', ''], [(18, 5), (16, 4), (17, 6)], [False, True, True, False], 48, False, [False, False, False, False], 3524, 'West', (11, 10))
Element 27: #1#
