Element 1: (1, (2, 10), ['.', '%', '%', ''], [(4, 10), (14, 8), (18, 3)], [False, True, True, False], 98, False, [True, False, False, False], 9, 'West', (1, 10))
Element 2: (1, (1, 10), ['%', '.', '%', ''], [(4, 9), (15, 8), (18, 2)], [True, False, True, False], 96, False, [False, True, False, False], 38, 'South', (1, 9))
Element 3: (1, (1, 9), ['%', '.', '', '%'], [(4, 8), (16, 8), (18, 1)], [True, False, False, True], 94, False, [False, True, False, False], 77, 'South', (1, 8))
Element 4: (1, (1, 8), ['%', '.', '', '%'], [(5, 8), (16, 7), (17, 1)], [True, False, False, True], 92, False, [False, True, False, False], 116, 'South', (1, 7))
Element 5: (1, (1, 7), ['%', '.', '', '%'], [(6, 8), (16, 6), (17, 2)], [True, False, False, True], 90, False, [False, True, False, False], 155, 'South', (1, 6))
Element 6: (1, (1, 6), ['%', '.', '', '.'], [(7, 8), (17, 6), (16, 2)], [True, False, False, False], 88, False, [False, True, False, True], 194, 'East', (2, 6))
Element 7: (1, (2, 6), ['', '%', '%', '.'], [(8, 8), (18, 6), (16, 1)], [False, True, True, False], 86, False, [False, False, False, True], 233, 'East', (3, 6))
Element 8: (1, (3, 6), ['', '.', '.', '.'], [(9, 8), (18, 7), (15, 1)], [False, False, False, False], 84, False, [False, True, True, True], 272, 'East', (4, 6))
Element 9: (1, (4, 6), ['', '%', '%', '.'], [(10, 8), (18, 8), (15, 2)], [False, True, True, False], 82, False, [False, False, False, True], 311, 'East', (5, 6))
Element 10: (1, (5, 6), ['', '%', '%', '.'], [(11, 8), (18, 9), (15, 3)], [False, True, True, False], 80, False, [False, False, False, True], 350, 'East', (6, 6))
Element 11: (1, (6, 6), ['', '.', '.', '%'], [(12, 8), (18, 10), (15, 4)], [False, False, False, True], 78, False, [False, True, True, False], 389, 'North', (6, 7))
Element 12: (1, (6, 7), ['%', '', '', '%'], [(13, 8), (17, 10), (16, 4)], [True, False, False, True], 76, False, [False, False, False, False], 428, 'North', (6, 8))
Element 13: (1, (6, 8), ['', '', '.', ''], [(13, 9), (16, 10), (17, 4)], [False, False, False, False], 74, False, [False, False, True, False], 457, 'North', (6, 9))
Element 14: (1, (6, 9), ['%', '', '.', '%'], [(13, 10), (15, 10), (16, 4)], [True, False, False, True], 72, False, [False, False, True, False], 486, 'North', (6, 10))
