Element 1: (3, (18, 3), ['%', '', '%', '%'], [(4, 10), (1, 10), (15, 8)], [True, False, True, True], 98, False, [False, False, False, False], 29, 'South', (18, 2))
Element 2: (3, (18, 2), ['.', '.', '', '%'], [(4, 9), (1, 9), (16, 8)], [False, False, False, True], 96, False, [True, True, False, False], 58, 'South', (18, 1))
Element 3: (3, (18, 1), ['.', '%', '', '%'], [(4, 8), (1, 8), (16, 7)], [False, True, False, True], 94, False, [True, False, False, False], 97, 'West', (17, 1))
Element 4: (3, (17, 1), ['.', '%', '.', ''], [(5, 8), (1, 7), (16, 6)], [False, True, False, False], 92, False, [True, False, True, False], 136, 'North', (17, 2))
Element 5: (3, (17, 2), ['.', '', '%', ''], [(6, 8), (1, 6), (17, 6)], [False, False, True, False], 90, False, [True, False, False, False], 175, 'West', (16, 2))
Element 6: (3, (16, 2), ['.', '.', '%', ''], [(7, 8), (2, 6), (18, 6)], [False, False, True, False], 88, False, [True, True, False, False], 214, 'South', (16, 1))
Element 7: (3, (16, 1), ['.', '%', '', ''], [(8, 8), (3, 6), (18, 7)], [False, True, False, False], 86, False, [True, False, False, False], 253, 'West', (15, 1))
Element 8: (3, (15, 1), ['%', '%', '.', ''], [(9, 8), (4, 6), (18, 8)], [True, True, False, False], 84, False, [False, False, True, False], 292, 'North', (15, 2))
Element 9: (3, (15, 2), ['%', '', '.', ''], [(10, 8), (5, 6), (18, 9)], [True, False, False, False], 82, False, [False, False, True, False], 331, 'North', (15, 3))
Element 10: (3, (15, 3), ['%', '', '.', '%'], [(11, 8), (6, 6), (18, 10)], [True, False, False, True], 80, False, [False, False, True, False], 370, 'North', (15, 4))
Element 11: (3, (15, 4), ['.', '', '%', '.'], [(12, 8), (6, 7), (17, 10)], [False, False, True, False], 78, False, [True, False, False, True], 409, 'East', (16, 4))
Element 12: (3, (16, 4), ['', '%', '.', '.'], [(13, 8), (6, 8), (16, 10)], [False, True, False, False], 76, False, [False, False, True, True], 438, 'East', (17, 4))
Element 13: (3, (17, 4), ['', '%', '%', '%'], [(13, 9), (6, 9), (15, 10)], [False, True, True, True], 74, False, [False, False, False, False], 477, 'West', (16, 4))
Element 14: (3, (16, 4), ['', '%', '.', ''], [(13, 10), (6, 10), (15, 9)], [False, True, False, False], 72, False, [False, False, True, False], 506, 'North', (16, 5))
Element 15: (3, (16, 5), ['%', '', '', '%'], [(12, 10), (7, 10), (15, 10)], [True, False, False, True], 70, False, [False, False, False, False], 1525, 'North', (16, 6))
Element 16: (3, (16, 6), ['.', '', '', ''], [(11, 10), (8, 10), (16, 10)], [False, False, False, False], 68, False, [True, False, False, False], 2534, 'West', (15, 6))
Element 17: (3, (15, 6), ['.', '%', '%', ''], [(10, 10), (9, 10), (17, 10)], [False, True, True, False], 66, False, [True, False, False, False], 2563, 'West', (14, 6))
Element 18: (3, (14, 6), ['.', '%', '%', ''], [(11, 10), (10, 10), (18, 10)], [False, True, True, False], 64, False, [True, False, False, False], 2572, 'West', (13, 6))
Element 19: (3, (13, 6), ['%', '.', '.', ''], [(12, 10), (11, 10), (18, 9)], [True, False, False, False], 62, False, [False, True, True, False], 2581, 'North', (13, 7))
Element 20: (3, (13, 7), ['%', '', '', '%'], [(13, 10), (12, 10), (18, 8)], [True, False, False, True], 60, False, [False, False, False, False], 2590, 'North', (13, 8))
Element 21: (3, (13, 8), ['', '', 'G', ''], [(13, 9), (13, 10), (18, 7)], [False, False, False, False], 58, False, [False, False, False, False], 2589, 'East', (14, 8))
Element 22: (3, (14, 8), ['G', '%', '%', ''], [(13, 8), (13, 9), (18, 6)], [False, True, True, False], 56, False, [False, False, False, False], 2588, 'East', (15, 8))
Element 23: (3, (15, 8), ['', '%', '', ''], [(13, 7), (13, 8), (18, 5)], [False, True, False, False], 54, False, [False, False, False, False], 2597, 'East', (16, 8))
Element 24: (3, (16, 8), ['', '', '%', '%'], [(13, 6), (14, 8), (18, 6)], [False, False, True, True], 52, False, [False, False, False, False], 2596, 'South', (16, 7))
Element 25: (3, (16, 7), ['%', '', '', '%'], [(13, 5), (15, 8), (17, 6)], [True, False, False, True], 50, False, [False, False, False, False], 2605, 'North', (16, 8))
Element 26: (3, (16, 8), ['', '', '%', '%'], [(13, 4), (15, 9), (16, 6)], [False, False, True, True], 48, False, [False, False, False, False], 2614, 'West', (15, 8))
Element 27: (3, (15, 8), ['', '%', '', ''], [(14, 4), (15, 10), (16, 5)], [False, True, False, False], 46, False, [False, False, False, False], 2623, 'North', (15, 9))
Element 28: (3, (15, 9), ['%', '', '', '%'], [(15, 4), (16, 10), (16, 4)], [True, False, False, True], 44, False, [False, False, False, False], 2622, 'North', (15, 10))
Element 29: (3, (15, 10), ['%', '', '%', ''], [(15, 3), (17, 10), (17, 4)], [True, False, True, False], 42, False, [False, False, False, False], 2621, 'East', (16, 10))
Element 30: (3, (16, 10), ['', '%', '%', ''], [(15, 2), (18, 10), (16, 4)], [False, True, True, False], 40, False, [False, False, False, False], 2620, 'East', (17, 10))
Element 31: (3, (17, 10), ['', '%', '%', ''], [(16, 2), (18, 9), (15, 4)], [False, True, True, False], 38, False, [False, False, False, False], 2619, 'East', (18, 10))
Element 32: (3, (18, 10), ['', '', '%', '%'], [(17, 2), (18, 8), (15, 3)], [False, False, True, True], 36, False, [False, False, False, False], 2618, 'South', (18, 9))
Element 33: (3, (18, 9), ['%', '', '', '%'], [(18, 2), (18, 7), (15, 2)], [True, False, False, True], 34, False, [False, False, False, False], 2617, 'South', (18, 8))
Element 34: (3, (18, 8), ['%', '', '', '%'], [(18, 3), (18, 6), (16, 2)], [True, False, False, True], 32, False, [False, False, False, False], 2616, 'South', (18, 7))
Element 35: (3, (18, 7), ['%', '', '', '%'], [(18, 2), (18, 5), (17, 2)], [True, False, False, True], 30, False, [False, False, False, False], 2615, 'South', (18, 6))
Element 36: (3, (18, 6), ['', 'G', '', '%'], [(18, 1), (18, 5), (18, 2)], [False, False, False, True], 28, False, [False, False, False, False], 2614, 'West', (17, 6))
Element 37: (3, (17, 6), ['', '%', '%', 'G'], [(17, 1), (18, 6), (18, 3)], [False, True, True, False], 26, False, [False, False, False, False], 2613, 'West', (16, 6))
Element 38: (3, (16, 6), ['', '', '', ''], [(16, 1), (18, 6), (18, 2)], [False, False, False, False], 24, False, [False, False, False, False], 2612, 'North', (16, 7))
Element 39: (3, (16, 7), ['%', '', '', '%'], [(15, 1), (18, 7), (18, 1)], [True, False, False, True], 22, False, [False, False, False, False], 2611, 'North', (16, 8))
Element 40: (3, (16, 8), ['', '', '%', '%'], [(16, 1), (18, 8), (17, 1)], [False, False, True, True], 20, False, [False, False, False, False], 2610, 'Stop', (16, 8))
Element 41: (3, (16, 8), ['', '', '%', '%'], [(15, 1), (18, 9), (16, 1)], [False, False, True, True], 18, False, [False, False, False, False], 2609, 'Stop', (16, 8))
Element 42: (3, (16, 8), ['', '', '%', '%'], [(16, 1), (18, 10), (15, 1)], [False, False, True, True], 16, False, [False, False, False, False], 2608, 'Stop', (16, 8))
Element 43: (3, (16, 8), ['', '', '%', '%'], [(16, 2), (17, 10), (16, 1)], [False, False, True, True], 14, False, [False, False, False, False], 2607, 'Stop', (16, 8))
Element 44: (3, (16, 8), ['', '', '%', '%'], [(17, 2), (16, 10), (17, 1)], [False, False, True, True], 12, False, [False, False, False, False], 2606, 'Stop', (16, 8))
Element 45: (3, (16, 8), ['', '', '%', '%'], [(16, 2), (15, 10), (18, 1)], [False, False, True, True], 10, False, [False, False, False, False], 2605, 'Stop', (16, 8))
Element 46: (3, (16, 8), ['', '', '%', '%'], [(17, 2), (15, 9), (18, 2)], [False, False, True, True], 8, False, [False, False, False, False], 2604, 'West', (15, 8))
Element 47: (3, (15, 8), ['', '%', '', ''], [(16, 2), (15, 10), (17, 2)], [False, True, False, False], 6, False, [False, False, False, False], 2603, 'West', (14, 8))
Element 48: (3, (14, 8), ['', '%', '%', ''], [(16, 1), (15, 9), (17, 1)], [False, True, True, False], 4, False, [False, False, False, False], 2602, 'West', (13, 8))
Element 49: (3, (13, 8), ['', '', '', ''], [(16, 2), (15, 8), (17, 2)], [False, False, False, False], 2, False, [False, False, False, False], 2601, 'West', (12, 8))
