Element 1: (3, (18, 5), ['%', '%', '.', '%'], [(14, 4), (13, 2), (12, 10)], [True, True, False, True], 98, False, [False, False, True, False], 1019, 'North', (18, 6))
Element 2: (3, (18, 6), ['.', '', '.', '%'], [(15, 4), (13, 3), (11, 10)], [False, False, False, True], 96, False, [True, False, True, False], 2048, 'North', (18, 7))
Element 3: (3, (18, 7), ['%', '', '.', '%'], [(16, 4), (13, 4), (10, 10)], [True, False, False, True], 94, False, [False, False, True, False], 2077, 'North', (18, 8))
Element 4: (3, (18, 8), ['%', '', '.', '%'], [(17, 4), (13, 5), (9, 10)], [True, False, False, True], 92, False, [False, False, True, False], 2116, 'North', (18, 9))
Element 5: (3, (18, 9), ['%', '', '.', '%'], [(16, 4), (13, 6), (8, 10)], [True, False, False, True], 90, False, [False, False, True, False], 2145, 'North', (18, 10))
Element 6: (3, (18, 10), ['.', '', '%', '%'], [(16, 5), (14, 6), (7, 10)], [False, False, True, True], 88, False, [True, False, False, False], 2184, 'West', (17, 10))
Element 7: (3, (17, 10), ['.', '%', '%', ''], [(16, 6), (15, 6), (6, 10)], [False, True, True, False], 86, False, [True, False, False, False], 2223, 'West', (16, 10))
Element 8: (3, (16, 10), ['.', '%', '%', ''], [(17, 6), (16, 6), (6, 9)], [False, True, True, False], 84, False, [True, False, False, False], 2252, 'West', (15, 10))
Element 9: (3, (15, 10), ['%', '.', '%', ''], [(18, 6), (16, 7), (6, 8)], [True, False, True, False], 82, False, [False, True, False, False], 2281, 'South', (15, 9))
Element 10: (3, (15, 9), ['%', '.', '', '%'], [(18, 7), (16, 8), (7, 8)], [True, False, False, True], 80, False, [False, True, False, False], 2310, 'South', (15, 8))
Element 11: (3, (15, 8), ['.', '%', '', ''], [(18, 8), (16, 7), (8, 8)], [False, True, False, False], 78, False, [True, False, False, False], 2329, 'West', (14, 8))
Element 12: (3, (14, 8), ['.', '%', '%', ''], [(18, 9), (16, 6), (9, 8)], [False, True, True, False], 76, False, [True, False, False, False], 2348, 'West', (13, 8))
Element 13: (3, (13, 8), ['.', '.', '.', ''], [(18, 10), (17, 6), (10, 8)], [False, False, False, False], 74, False, [True, True, True, False], 2367, 'North', (13, 9))
Element 14: (3, (13, 9), ['%', '', '', '%'], [(17, 10), (18, 6), (11, 8)], [True, False, False, True], 72, False, [False, False, False, False], 2386, 'North', (13, 10))
Element 15: (3, (13, 10), ['', '', '%', '%'], [(16, 10), (18, 7), (12, 8)], [False, False, True, True], 70, False, [False, False, False, False], 2395, 'West', (12, 10))
Element 16: (3, (12, 10), ['', '%', '%', ''], [(15, 10), (18, 8), (13, 8)], [False, True, True, False], 68, False, [False, False, False, False], 2394, 'West', (11, 10))
