Element 1: (0, (8, 6), ['%', '%', '%', ''], [(1, 4), (16, 4), (16, 7)], [True, True, True, False], 98, False, [False, False, False, False], 0, 'East', (9, 6))
Element 2: (0, (9, 6), ['', '%', '', ''], [(1, 5), (17, 4), (16, 8)], [False, True, False, False], 96, False, [False, False, False, False], 29, 'East', (10, 6))
Element 3: (0, (10, 6), ['', '%', '', '.'], [(1, 6), (16, 4), (15, 8)], [False, True, False, False], 94, False, [False, False, False, True], 48, 'East', (11, 6))
Element 4: (0, (11, 6), ['', '%', '%', '%'], [(2, 6), (16, 5), (15, 9)], [False, True, True, True], 92, False, [False, False, False, False], 87, 'West', (10, 6))
Element 5: (0, (10, 6), ['', '%', '', ''], [(3, 6), (16, 6), (15, 10)], [False, True, False, False], 90, False, [False, False, False, False], 116, 'North', (10, 7))
Element 6: (0, (10, 7), ['', '', '.', '%'], [(4, 6), (17, 6), (16, 10)], [False, False, False, True], 88, False, [False, False, True, False], 145, 'North', (10, 8))
Element 7: (0, (10, 8), ['.', '', '%', '.'], [(5, 6), (18, 6), (17, 10)], [False, False, True, False], 86, False, [True, False, False, True], 184, 'East', (11, 8))
Element 8: (0, (11, 8), ['', '%', '%', '.'], [(6, 6), (18, 7), (18, 10)], [False, True, True, False], 84, False, [False, False, False, True], 223, 'East', (12, 8))
Element 9: (0, (12, 8), ['', '%', '%', '.'], [(6, 7), (18, 8), (18, 9)], [False, True, True, False], 82, False, [False, False, False, True], 262, 'East', (13, 8))
Element 10: (0, (13, 8), ['', '.', '.', '.'], [(6, 8), (18, 7), (18, 8)], [False, False, False, False], 80, False, [False, True, True, True], 281, 'East', (14, 8))
Element 11: (0, (14, 8), ['', '%', '%', ''], [(7, 8), (18, 6), (18, 7)], [False, True, True, False], 78, False, [False, False, False, False], 300, 'East', (15, 8))
Element 12: (0, (15, 8), ['', '%', '', ''], [(8, 8), (18, 5), (18, 6)], [False, True, False, False], 76, False, [False, False, False, False], 319, 'East', (16, 8))
Element 13: (0, (16, 8), ['', '', '%', '%'], [(9, 8), (18, 5), (17, 6)], [False, False, True, True], 74, False, [False, False, False, False], 328, 'South', (16, 7))
Element 14: (0, (16, 7), ['%', 'G', '', '%'], [(10, 8), (18, 6), (16, 6)], [True, False, False, True], 72, False, [False, False, False, False], 327, 'North', (16, 8))
Element 15: (0, (16, 8), ['', '', '%', '%'], [(11, 8), (17, 6), (15, 6)], [False, False, True, True], 70, False, [False, False, False, False], 336, 'West', (15, 8))
Element 16: (0, (15, 8), ['', '%', '', ''], [(12, 8), (16, 6), (14, 6)], [False, True, False, False], 68, False, [False, False, False, False], 345, 'North', (15, 9))
Element 17: (0, (15, 9), ['%', '', '', '%'], [(13, 8), (16, 6), (13, 6)], [True, False, False, True], 66, False, [False, False, False, False], 354, 'North', (15, 10))
Element 18: (0, (15, 10), ['%', '', '%', ''], [(13, 9), (16, 7), (13, 7)], [True, False, True, False], 64, False, [False, False, False, False], 373, 'East', (16, 10))
Element 19: (0, (16, 10), ['', '%', '%', ''], [(13, 10), (16, 8), (13, 8)], [False, True, True, False], 62, False, [False, False, False, False], 382, 'East', (17, 10))
Element 20: (0, (17, 10), ['', '%', '%', ''], [(12, 10), (15, 8), (14, 8)], [False, True, True, False], 60, False, [False, False, False, False], 1381, 'East', (18, 10))
Element 21: (0, (18, 10), ['', '', '%', '%'], [(11, 10), (15, 9), (13, 8)], [False, False, True, True], 58, False, [False, False, False, False], 2380, 'South', (18, 9))
Element 22: (0, (18, 9), ['%', '', '', '%'], [(10, 10), (15, 10), (13, 9)], [True, False, False, True], 56, False, [False, False, False, False], 2389, 'South', (18, 8))
Element 23: (0, (18, 8), ['%', '', '', '%'], [(9, 10), (16, 10), (13, 10)], [True, False, False, True], 54, False, [False, False, False, False], 2398, 'South', (18, 7))
Element 24: (0, (18, 7), ['%', '', '', '%'], [(8, 10), (17, 10), (12, 10)], [True, False, False, True], 52, False, [False, False, False, False], 2407, 'South', (18, 6))
Element 25: (0, (18, 6), ['', '', '', '%'], [(7, 10), (18, 10), (11, 10)], [False, False, False, True], 50, False, [False, False, False, False], 2416, 'South', (18, 5))
Element 26: (0, (18, 5), ['%', '%', '', '%'], [(6, 10), (18, 9), (10, 10)], [True, True, False, True], 48, False, [False, False, False, False], 2425, 'North', (18, 6))
Element 27: (0, (18, 6), ['', '', '', '%'], [(6, 9), (18, 10), (9, 10)], [False, False, False, True], 46, False, [False, False, False, False], 2434, 'West', (17, 6))
Element 28: (0, (17, 6), ['', '%', '%', ''], [(6, 10), (17, 10), (8, 10)], [False, True, True, False], 44, False, [False, False, False, False], 2433, 'West', (16, 6))
Element 29: (0, (16, 6), ['', '', '', ''], [(7, 10), (16, 10), (9, 10)], [False, False, False, False], 42, False, [False, False, False, False], 2432, 'South', (16, 5))
Element 30: (0, (16, 5), ['%', '', '', '%'], [(8, 10), (15, 10), (10, 10)], [True, False, False, True], 40, False, [False, False, False, False], 2431, 'South', (16, 4))
Element 31: (0, (16, 4), ['.', '%', '', ''], [(9, 10), (15, 9), (11, 10)], [False, True, False, False], 38, False, [True, False, False, False], 2430, 'West', (15, 4))
Element 32: (0, (15, 4), ['.', '.', '%', ''], [(10, 10), (15, 8), (12, 10)], [False, False, True, False], 36, False, [True, True, False, False], 2439, 'South', (15, 3))
Element 33: (0, (15, 3), ['%', '.', '', '%'], [(11, 10), (16, 8), (13, 10)], [True, False, False, True], 34, False, [False, True, False, False], 2448, 'South', (15, 2))
Element 34: (0, (15, 2), ['%', '.', '', '.'], [(12, 10), (16, 7), (13, 9)], [True, False, False, False], 32, False, [False, True, False, True], 2457, 'East', (16, 2))
Element 35: (0, (16, 2), ['', '.', '%', '.'], [(13, 10), (16, 6), (13, 8)], [False, False, True, False], 30, False, [False, True, False, True], 2466, 'East', (17, 2))
Element 36: (0, (17, 2), ['', '.', '%', ''], [(13, 9), (16, 5), (12, 8)], [False, False, True, False], 28, False, [False, True, False, False], 2475, 'South', (17, 1))
Element 37: (0, (17, 1), ['.', '%', '', '.'], [(13, 8), (16, 4), (11, 8)], [False, True, False, False], 26, False, [True, False, False, True], 2484, 'East', (18, 1))
Element 38: (0, (18, 1), ['', '%', '', '%'], [(13, 7), (15, 4), (10, 8)], [False, True, False, True], 24, False, [False, False, False, False], 2493, 'North', (18, 2))
Element 39: (0, (18, 2), ['', '', '.', '%'], [(13, 6), (14, 4), (10, 7)], [False, False, False, True], 22, False, [False, False, True, False], 2502, 'North', (18, 3))
Element 40: (0, (18, 3), ['%', '', '%', '%'], [(13, 5), (13, 4), (10, 6)], [True, False, True, True], 20, False, [False, False, False, False], 2531, 'South', (18, 2))
