Element 1: (1, (1, 4), ['%', '.', '.', '%'], [(9, 6), (16, 4), (16, 7)], [True, False, False, True], 98, False, [False, True, True, False], -1, 'North', (1, 5))
Element 2: (1, (1, 5), ['%', '', '.', '%'], [(10, 6), (17, 4), (16, 8)], [True, False, False, True], 96, False, [False, False, True, False], 28, 'North', (1, 6))
Element 3: (1, (1, 6), ['%', '', '.', '.'], [(11, 6), (16, 4), (15, 8)], [True, False, False, False], 94, False, [False, False, True, True], 57, 'East', (2, 6))
Element 4: (1, (2, 6), ['', '%', '%', '.'], [(10, 6), (16, 5), (15, 9)], [False, True, True, False], 92, False, [False, False, False, True], 86, 'East', (3, 6))
Element 5: (1, (3, 6), ['', '.', '.', '.'], [(10, 7), (16, 6), (15, 10)], [False, False, False, False], 90, False, [False, True, True, True], 115, 'East', (4, 6))
Element 6: (1, (4, 6), ['', '%', '%', '.'], [(10, 8), (17, 6), (16, 10)], [False, True, True, False], 88, False, [False, False, False, True], 154, 'East', (5, 6))
Element 7: (1, (5, 6), ['', '%', '%', '.'], [(11, 8), (18, 6), (17, 10)], [False, True, True, False], 86, False, [False, False, False, True], 193, 'East', (6, 6))
Element 8: (1, (6, 6), ['', '.', '.', '%'], [(12, 8), (18, 7), (18, 10)], [False, False, False, True], 84, False, [False, True, True, False], 232, 'North', (6, 7))
Element 9: (1, (6, 7), ['%', '', '.', '%'], [(13, 8), (18, 8), (18, 9)], [True, False, False, True], 82, False, [False, False, True, False], 271, 'North', (6, 8))
Element 10: (1, (6, 8), ['.', '', '.', '.'], [(14, 8), (18, 7), (18, 8)], [False, False, False, False], 80, False, [True, False, True, True], 290, 'East', (7, 8))
Element 11: (1, (7, 8), ['', '%', '%', '.'], [(15, 8), (18, 6), (18, 7)], [False, True, True, False], 78, False, [False, False, False, True], 299, 'East', (8, 8))
Element 12: (1, (8, 8), ['', '%', '%', '.'], [(16, 8), (18, 5), (18, 6)], [False, True, True, False], 76, False, [False, False, False, True], 318, 'East', (9, 8))
Element 13: (1, (9, 8), ['', '', '%', ''], [(16, 7), (18, 5), (17, 6)], [False, False, True, False], 74, False, [False, False, False, False], 327, 'East', (10, 8))
Element 14: (1, (10, 8), ['', '', '%', ''], [(16, 8), (18, 6), (16, 6)], [False, False, True, False], 72, False, [False, False, False, False], 326, 'East', (11, 8))
Element 15: (1, (11, 8), ['', '%', '%', ''], [(15, 8), (17, 6), (15, 6)], [False, True, True, False], 70, False, [False, False, False, False], 335, 'East', (12, 8))
Element 16: (1, (12, 8), ['', '%', '%', ''], [(15, 9), (16, 6), (14, 6)], [False, True, True, False], 68, False, [False, False, False, False], 344, 'East', (13, 8))
Element 17: (1, (13, 8), ['', '.', '.', ''], [(15, 10), (16, 6), (13, 6)], [False, False, False, False], 66, False, [False, True, True, False], 353, 'North', (13, 9))
Element 18: (1, (13, 9), ['%', '', '.', '%'], [(16, 10), (16, 7), (13, 7)], [True, False, False, True], 64, False, [False, False, True, False], 372, 'North', (13, 10))
Element 19: (1, (13, 10), ['F', '', '%', '%'], [(17, 10), (16, 8), (13, 8)], [False, False, True, True], 62, False, [False, False, False, False], 381, 'West', (12, 10))
Element 20: (1, (12, 10), ['F', '%', '%', ''], [(18, 10), (15, 8), (14, 8)], [False, True, True, False], 60, False, [False, False, False, False], 1380, 'West', (11, 10))
Element 21: (1, (11, 10), ['.', '%', '%', ''], [(18, 9), (15, 9), (13, 8)], [False, True, True, False], 58, False, [True, False, False, False], 2379, 'West', (10, 10))
Element 22: (1, (10, 10), ['.', '%', '%', ''], [(18, 8), (15, 10), (13, 9)], [False, True, True, False], 56, False, [True, False, False, False], 2388, 'West', (9, 10))
Element 23: (1, (9, 10), ['.', '%', '%', ''], [(18, 7), (16, 10), (13, 10)], [False, True, True, False], 54, False, [True, False, False, False], 2397, 'West', (8, 10))
Element 24: (1, (8, 10), ['.', '%', '%', ''], [(18, 6), (17, 10), (12, 10)], [False, True, True, False], 52, False, [True, False, False, False], 2406, 'West', (7, 10))
