Element 1: (1, (1, 2), ['%', '', '.', 'G'], [(17, 4), (2, 2), (10, 2)], [True, False, False, False], 98, False, [False, False, True, False], 9, 'North', (1, 3))
Element 2: (1, (1, 3), ['%', '', '.', '%'], [(16, 4), (3, 2), (11, 2)], [True, False, False, True], 96, False, [False, False, True, False], 38, 'North', (1, 4))
Element 3: (1, (1, 4), ['%', '', '.', '%'], [(16, 5), (4, 2), (11, 1)], [True, False, False, True], 94, False, [False, False, True, False], 1067, 'North', (1, 5))
Element 4: (1, (1, 5), ['%', '', '.', '%'], [(16, 6), (4, 3), (12, 1)], [True, False, False, True], 92, False, [False, False, True, False], 1106, 'North', (1, 6))
Element 5: (1, (1, 6), ['%', '', '.', '.'], [(17, 6), (4, 4), (13, 1)], [True, False, False, False], 90, False, [False, False, True, True], 1145, 'East', (2, 6))
Element 6: (1, (2, 6), ['', '%', '%', '.'], [(18, 6), (5, 4), (13, 2)], [False, True, True, False], 88, False, [False, False, False, True], 1184, 'East', (3, 6))
Element 7: (1, (3, 6), ['', '.', '.', '.'], [(18, 7), (6, 4), (13, 3)], [False, False, False, False], 86, False, [False, True, True, True], 1223, 'East', (4, 6))
Element 8: (1, (4, 6), ['', '%', '%', '.'], [(18, 8), (7, 4), (13, 4)], [False, True, True, False], 84, False, [False, False, False, True], 1262, 'East', (5, 6))
Element 9: (1, (5, 6), ['', '%', '%', '.'], [(18, 9), (7, 5), (14, 4)], [False, True, True, False], 82, False, [False, False, False, True], 2291, 'East', (6, 6))
Element 10: (1, (6, 6), ['', 'G', '.', '%'], [(18, 10), (6, 5), (15, 4)], [False, False, False, True], 80, False, [False, False, True, False], 2330, 'North', (6, 7))
Element 11: (1, (6, 7), ['%', 'G', '.', '%'], [(17, 10), (6, 6), (15, 3)], [True, False, False, True], 78, False, [False, False, True, False], 2359, 'North', (6, 8))
Element 12: (1, (6, 8), ['.', 'G', '.', '.'], [(16, 10), (6, 7), (15, 2)], [False, False, False, False], 76, False, [True, False, True, True], 2388, 'East', (7, 8))
Element 13: (1, (7, 8), ['G', '%', '%', '.'], [(15, 10), (6, 8), (16, 2)], [False, True, True, False], 74, False, [False, False, False, True], 2417, 'East', (8, 8))
Element 14: (1, (8, 8), ['', '%', '%', '.'], [(15, 9), (6, 9), (17, 2)], [False, True, True, False], 72, False, [False, False, False, True], 2456, 'East', (9, 8))
Element 15: (1, (9, 8), ['', '', '%', '.'], [(15, 8), (6, 10), (17, 1)], [False, False, True, False], 70, False, [False, False, False, True], 2495, 'East', (10, 8))
Element 16: (1, (10, 8), ['', '', '%', '.'], [(16, 8), (7, 10), (18, 1)], [False, False, True, False], 68, False, [False, False, False, True], 2534, 'East', (11, 8))
Element 17: (1, (11, 8), ['', '%', '%', '.'], [(16, 7), (8, 10), (18, 2)], [False, True, True, False], 66, False, [False, False, False, True], 2563, 'East', (12, 8))
Element 18: (1, (12, 8), ['', '%', '%', '.'], [(16, 8), (9, 10), (18, 3)], [False, True, True, False], 64, False, [False, False, False, True], 2592, 'East', (13, 8))
Element 19: (1, (13, 8), ['', '.', '.', '.'], [(15, 8), (10, 10), (18, 2)], [False, False, False, False], 62, False, [False, True, True, True], 2611, 'East', (14, 8))
Element 20: (1, (14, 8), ['', '%', '%', ''], [(15, 9), (11, 10), (18, 1)], [False, True, True, False], 60, False, [False, False, False, False], 3620, 'East', (15, 8))
Element 21: #1#
