Element 1: (3, (10, 1), ['.', '%', '.', 'F'], [(7, 1), (1, 6), (3, 8)], [False, True, False, False], 98, False, [True, False, True, False], 29, 'East', (11, 1))
Element 2: (3, (11, 1), ['', '%', '.', '.'], [(8, 1), (2, 6), (4, 8)], [False, True, False, False], 96, False, [False, False, True, True], 1058, 'East', (12, 1))
Element 3: (3, (12, 1), ['', '%', '.', '.'], [(9, 1), (3, 6), (5, 8)], [False, True, False, False], 94, False, [False, False, True, True], 1097, 'East', (13, 1))
Element 4: (3, (13, 1), ['', '%', '.', '%'], [(9, 2), (4, 6), (6, 8)], [False, True, False, True], 92, False, [False, False, True, False], 1136, 'North', (13, 2))
Element 5: (3, (13, 2), ['.', '', '.', '%'], [(10, 2), (5, 6), (7, 8)], [False, False, False, True], 90, False, [True, False, True, False], 1175, 'North', (13, 3))
Element 6: (3, (13, 3), ['%', '', '.', '%'], [(11, 2), (6, 6), (8, 8)], [True, False, False, True], 88, False, [False, False, True, False], 1214, 'North', (13, 4))
Element 7: (3, (13, 4), ['.', '', '.', '.'], [(12, 2), (6, 7), (9, 8)], [False, False, False, False], 86, False, [True, False, True, True], 1253, 'East', (14, 4))
Element 8: (3, (14, 4), ['', '%', '%', '.'], [(13, 2), (6, 8), (10, 8)], [False, True, True, False], 84, False, [False, False, False, True], 1272, 'East', (15, 4))
Element 9: (3, (15, 4), ['', '.', '%', '.'], [(13, 3), (6, 9), (11, 8)], [False, False, True, False], 82, False, [False, True, False, True], 1301, 'East', (16, 4))
Element 10: (3, (16, 4), ['', '%', '.', '.'], [(13, 4), (6, 10), (12, 8)], [False, True, False, False], 80, False, [False, False, True, True], 1330, 'East', (17, 4))
Element 11: (3, (17, 4), ['', '%', '%', '%'], [(13, 5), (7, 10), (13, 8)], [False, True, True, True], 78, False, [False, False, False, False], 1369, 'West', (16, 4))
Element 12: (3, (16, 4), ['', '%', '.', ''], [(13, 6), (8, 10), (14, 8)], [False, True, False, False], 76, False, [False, False, True, False], 1398, 'North', (16, 5))
Element 13: (3, (16, 5), ['%', '', '.', '%'], [(14, 6), (9, 10), (15, 8)], [True, False, False, True], 74, False, [False, False, True, False], 1437, 'North', (16, 6))
