Element 1: (0, (1, 7), ['%', '.', '.', '%'], [(2, 6), (10, 2), (13, 9)], [True, False, False, True], 98, False, [False, True, True, False], 0, 'North', (1, 8))
Element 2: (0, (1, 8), ['%', '', '.', '%'], [(3, 6), (11, 2), (13, 10)], [True, False, False, True], 96, False, [False, False, True, False], 39, 'North', (1, 9))
Element 3: (0, (1, 9), ['%', '', '.', '%'], [(4, 6), (11, 1), (12, 10)], [True, False, False, True], 94, False, [False, False, True, False], 2058, 'North', (1, 10))
Element 4: (0, (1, 10), ['%', '', '%', '.'], [(5, 6), (12, 1), (11, 10)], [True, False, True, False], 92, False, [False, False, False, True], 3087, 'East', (2, 10))
Element 5: (0, (2, 10), ['', '%', '%', '.'], [(6, 6), (13, 1), (10, 10)], [False, True, True, False], 90, False, [False, False, False, True], 3126, 'East', (3, 10))
Element 6: (0, (3, 10), ['', '%', '%', '.'], [(6, 7), (13, 2), (9, 10)], [False, True, True, False], 88, False, [False, False, False, True], 3165, 'East', (4, 10))
Element 7: (0, (4, 10), ['', '.', '%', '%'], [(6, 8), (13, 3), (8, 10)], [False, False, True, True], 86, False, [False, True, False, False], 3204, 'South', (4, 9))
Element 8: (0, (4, 9), ['%', '.', '', '%'], [(7, 8), (13, 4), (7, 10)], [True, False, False, True], 84, False, [False, True, False, False], 3243, 'South', (4, 8))
Element 9: (0, (4, 8), ['.', '%', '', '.'], [(8, 8), (14, 4), (6, 10)], [False, True, False, False], 82, False, [True, False, False, True], 3282, 'East', (5, 8))
Element 10: (0, (5, 8), ['', '%', '%', ''], [(9, 8), (15, 4), (6, 9)], [False, True, True, False], 80, False, [False, False, False, False], 3321, 'East', (6, 8))
Element 11: (0, (6, 8), ['', '', '', ''], [(10, 8), (16, 4), (6, 10)], [False, False, False, False], 78, False, [False, False, False, False], 3340, 'East', (7, 8))
Element 12: (0, (7, 8), ['', '%', '%', ''], [(11, 8), (17, 4), (7, 10)], [False, True, True, False], 76, False, [False, False, False, False], 3359, 'East', (8, 8))
Element 13: (0, (8, 8), ['', '%', '%', ''], [(12, 8), (16, 4), (8, 10)], [False, True, True, False], 74, False, [False, False, False, False], 3368, 'East', (9, 8))
Element 14: (0, (9, 8), ['', '', '%', ''], [(13, 8), (16, 5), (9, 10)], [False, False, True, False], 72, False, [False, False, False, False], 3387, 'East', (10, 8))
Element 15: (0, (10, 8), ['', '', '%', ''], [(14, 8), (16, 6), (10, 10)], [False, False, True, False], 70, False, [False, False, False, False], 3406, 'East', (11, 8))
Element 16: (0, (11, 8), ['', '%', '%', ''], [(15, 8), (17, 6), (11, 10)], [False, True, True, False], 68, False, [False, False, False, False], 3425, 'East', (12, 8))
Element 17: (0, (12, 8), ['', '%', '%', ''], [(16, 8), (18, 6), (12, 10)], [False, True, True, False], 66, False, [False, False, False, False], 3444, 'East', (13, 8))
Element 18: (0, (13, 8), ['', '.', '', ''], [(16, 7), (18, 7), (13, 10)], [False, False, False, False], 64, False, [False, True, False, False], 3463, 'South', (13, 7))
Element 19: (0, (13, 7), ['%', '.', '', '%'], [(16, 6), (18, 8), (13, 9)], [True, False, False, True], 62, False, [False, True, False, False], 3482, 'South', (13, 6))
