Element 1: (2, (18, 1), ['.', '%', '', '%'], [(7, 5), (15, 4), (18, 10)], [False, True, False, True], 98, False, [True, False, False, False], 1009, 'West', (17, 1))
Element 2: (2, (17, 1), ['.', '%', '.', ''], [(7, 4), (16, 4), (18, 9)], [False, True, False, False], 96, False, [True, False, True, False], 1048, 'North', (17, 2))
Element 3: (2, (17, 2), ['.', '', '%', ''], [(6, 4), (17, 4), (18, 8)], [False, False, True, False], 94, False, [True, False, False, False], 1087, 'West', (16, 2))
Element 4: (2, (16, 2), ['.', '.', '%', ''], [(6, 3), (16, 4), (18, 7)], [False, False, True, False], 92, False, [True, True, False, False], 1116, 'South', (16, 1))
Element 5: (2, (16, 1), ['.', '%', '', ''], [(6, 2), (16, 5), (18, 6)], [False, True, False, False], 90, False, [True, False, False, False], 1155, 'West', (15, 1))
Element 6: (2, (15, 1), ['%', '%', '.', ''], [(7, 2), (16, 6), (18, 5)], [True, True, False, False], 88, False, [False, False, True, False], 1194, 'North', (15, 2))
Element 7: (2, (15, 2), ['%', '', '.', ''], [(8, 2), (17, 6), (18, 6)], [True, False, False, False], 86, False, [False, False, True, False], 1223, 'North', (15, 3))
Element 8: (2, (15, 3), ['%', '', '', '%'], [(9, 2), (18, 6), (18, 5)], [True, False, False, True], 84, False, [False, False, False, False], 1242, 'North', (15, 4))
Element 9: (2, (15, 4), ['', '', '%', ''], [(10, 2), (18, 7), (18, 5)], [False, False, True, False], 82, False, [False, False, False, False], 1251, 'East', (16, 4))
Element 10: (2, (16, 4), ['', '%', '', ''], [(11, 2), (18, 8), (18, 6)], [False, True, False, False], 80, False, [False, False, False, False], 1260, 'East', (17, 4))
Element 11: (2, (17, 4), ['', '%', '%', '%'], [(11, 1), (18, 9), (17, 6)], [False, True, True, True], 78, False, [False, False, False, False], 2259, 'West', (16, 4))
Element 12: (2, (16, 4), ['', '%', '', ''], [(12, 1), (18, 10), (16, 6)], [False, True, False, False], 76, False, [False, False, False, False], 2268, 'North', (16, 5))
Element 13: (2, (16, 5), ['%', '', '', '%'], [(13, 1), (17, 10), (16, 7)], [True, False, False, True], 74, False, [False, False, False, False], 2297, 'North', (16, 6))
Element 14: (2, (16, 6), ['.', '', '', ''], [(13, 2), (16, 10), (16, 8)], [False, False, False, False], 72, False, [True, False, False, False], 2326, 'West', (15, 6))
Element 15: (2, (15, 6), ['.', '%', '%', ''], [(13, 3), (15, 10), (15, 8)], [False, True, True, False], 70, False, [True, False, False, False], 2365, 'West', (14, 6))
Element 16: (2, (14, 6), ['.', '%', '%', ''], [(13, 4), (16, 10), (15, 9)], [False, True, True, False], 68, False, [True, False, False, False], 2394, 'West', (13, 6))
Element 17: (2, (13, 6), ['%', 'G', '.', ''], [(13, 5), (17, 10), (15, 10)], [True, False, False, False], 66, False, [False, False, True, False], 2413, 'North', (13, 7))
Element 18: (2, (13, 7), ['%', 'G', '.', '%'], [(13, 6), (18, 10), (16, 10)], [True, False, False, True], 64, False, [False, False, True, False], 2422, 'North', (13, 8))
Element 19: (2, (13, 8), ['.', '', '.', '.'], [(14, 6), (18, 9), (17, 10)], [False, False, False, False], 62, False, [True, False, True, True], 2431, 'East', (14, 8))
Element 20: (2, (14, 8), ['', '%', '%', ''], [(15, 6), (18, 8), (16, 10)], [False, True, True, False], 60, False, [False, False, False, False], 2440, 'East', (15, 8))
Element 21: (2, (15, 8), ['', '%', '', ''], [(16, 6), (18, 7), (15, 10)], [False, True, False, False], 58, False, [False, False, False, False], 2439, 'East', (16, 8))
Element 22: (2, (16, 8), ['', '', '%', '%'], [(17, 6), (18, 6), (15, 9)], [False, False, True, True], 56, False, [False, False, False, False], 2438, 'South', (16, 7))
Element 23: (2, (16, 7), ['%', 'G', '', '%'], [(16, 6), (17, 6), (15, 8)], [True, False, False, True], 54, False, [False, False, False, False], 2437, 'North', (16, 8))
Element 24: (2, (16, 8), ['', 'G', '%', '%'], [(16, 7), (16, 6), (14, 8)], [False, False, True, True], 52, False, [False, False, False, False], 2436, 'West', (15, 8))
Element 25: (2, (15, 8), ['', '%', '', 'G'], [(16, 8), (16, 7), (13, 8)], [False, True, False, False], 50, False, [False, False, False, False], 2435, 'North', (15, 9))
Element 26: (2, (15, 9), ['%', 'G', '', '%'], [(15, 8), (16, 8), (13, 9)], [True, False, False, True], 48, False, [False, False, False, False], 2444, 'North', (15, 10))
Element 27: (2, (15, 10), ['%', 'G', '%', ''], [(15, 9), (15, 8), (13, 10)], [True, False, True, False], 46, False, [False, False, False, False], 2453, 'East', (16, 10))
Element 28: (2, (16, 10), ['G', '%', '%', ''], [(15, 10), (15, 9), (12, 10)], [False, True, True, False], 44, False, [False, False, False, False], 3452, 'East', (17, 10))
Element 29: #1#
