Element 1: (1, (7, 4), ['.', '%', 'F', ''], [(13, 2), (17, 10), (18, 10)], [False, True, False, False], 98, False, [True, False, False, False], 9, 'North', (7, 5))
Element 2: (1, (7, 5), ['.', '', '%', '%'], [(13, 3), (16, 10), (18, 9)], [False, False, True, True], 96, False, [True, False, False, False], 1038, 'West', (6, 5))
Element 3: (1, (6, 5), ['%', '.', '.', ''], [(13, 4), (15, 10), (18, 8)], [True, False, False, False], 94, False, [False, True, True, False], 1077, 'North', (6, 6))
Element 4: (1, (6, 6), ['.', '', '.', '%'], [(14, 4), (15, 9), (18, 7)], [False, False, False, True], 92, False, [True, False, True, False], 1116, 'North', (6, 7))
Element 5: (1, (6, 7), ['%', '', '.', '%'], [(15, 4), (15, 8), (18, 6)], [True, False, False, True], 90, False, [False, False, True, False], 1155, 'North', (6, 8))
Element 6: (1, (6, 8), ['.', '', '.', '.'], [(16, 4), (16, 8), (18, 5)], [False, False, False, False], 88, False, [True, False, True, True], 1194, 'East', (7, 8))
Element 7: (1, (7, 8), ['', '%', '%', '.'], [(17, 4), (16, 7), (18, 6)], [False, True, True, False], 86, False, [False, False, False, True], 1223, 'East', (8, 8))
Element 8: (1, (8, 8), ['', '%', '%', '.'], [(16, 4), (16, 6), (17, 6)], [False, True, True, False], 84, False, [False, False, False, True], 1252, 'East', (9, 8))
Element 9: (1, (9, 8), ['', '', '%', '.'], [(15, 4), (16, 5), (16, 6)], [False, False, True, False], 82, False, [False, False, False, True], 1271, 'East', (10, 8))
Element 10: (1, (10, 8), ['', '', '%', '.'], [(14, 4), (16, 4), (15, 6)], [False, False, True, False], 80, False, [False, False, False, True], 1290, 'East', (11, 8))
Element 11: (1, (11, 8), ['', '%', '%', '.'], [(15, 4), (17, 4), (14, 6)], [False, True, True, False], 78, False, [False, False, False, True], 1309, 'East', (12, 8))
Element 12: (1, (12, 8), ['', '%', '%', '.'], [(15, 3), (16, 4), (13, 6)], [False, True, True, False], 76, False, [False, False, False, True], 1338, 'East', (13, 8))
Element 13: (1, (13, 8), ['', 'G', '.', '.'], [(15, 2), (15, 4), (13, 7)], [False, False, False, False], 74, False, [False, False, True, True], 1367, 'East', (14, 8))
Element 14: (1, (14, 8), ['G', '%', '%', ''], [(16, 2), (15, 3), (13, 8)], [False, True, True, False], 72, False, [False, False, False, False], 1386, 'East', (15, 8))
Element 15: (1, (15, 8), ['', '%', '', ''], [(17, 2), (15, 2), (13, 9)], [False, True, False, False], 70, False, [False, False, False, False], 1405, 'East', (16, 8))
Element 16: (1, (16, 8), ['', '', '%', '%'], [(17, 1), (15, 1), (13, 10)], [False, False, True, True], 68, False, [False, False, False, False], 1434, 'South', (16, 7))
Element 17: (1, (16, 7), ['%', '', '', '%'], [(18, 1), (16, 1), (12, 10)], [True, False, False, True], 66, False, [False, False, False, False], 2453, 'South', (16, 6))
Element 18: (1, (16, 6), ['', '', '', ''], [(18, 2), (17, 1), (11, 10)], [False, False, False, False], 64, False, [False, False, False, False], 3452, 'East', (17, 6))
Element 19: (1, (17, 6), ['', '%', '%', ''], [(18, 3), (18, 1), (10, 10)], [False, True, True, False], 62, False, [False, False, False, False], 3471, 'East', (18, 6))
Element 20: (1, (18, 6), ['', '', '', '%'], [(18, 3), (18, 2), (9, 10)], [False, False, False, True], 60, False, [False, False, False, False], 3480, 'North', (18, 7))
Element 21: (1, (18, 7), ['%', '', '', '%'], [(18, 2), (17, 2), (8, 10)], [True, False, False, True], 58, False, [False, False, False, False], 3489, 'North', (18, 8))
Element 22: (1, (18, 8), ['%', '', '', '%'], [(18, 1), (16, 2), (7, 10)], [True, False, False, True], 56, False, [False, False, False, False], 3498, 'North', (18, 9))
Element 23: (1, (18, 9), ['%', '', '', '%'], [(17, 1), (17, 2), (6, 10)], [True, False, False, True], 54, False, [False, False, False, False], 3507, 'North', (18, 10))
Element 24: (1, (18, 10), ['', '', '%', '%'], [(16, 1), (18, 2), (6, 9)], [False, False, True, True], 52, False, [False, False, False, False], 3516, 'West', (17, 10))
Element 25: (1, (17, 10), ['', '%', '%', ''], [(15, 1), (18, 1), (6, 8)], [False, True, True, False], 50, False, [False, False, False, False], 3515, 'West', (16, 10))
Element 26: (1, (16, 10), ['', '%', '%', ''], [(16, 1), (17, 1), (5, 8)], [False, True, True, False], 48, False, [False, False, False, False], 3524, 'West', (15, 10))
Element 27: (1, (15, 10), ['%', '', '%', ''], [(15, 1), (17, 2), (4, 8)], [True, False, True, False], 46, False, [False, False, False, False], 3533, 'South', (15, 9))
Element 28: (1, (15, 9), ['%', '', '', '%'], [(15, 2), (17, 1), (4, 9)], [True, False, False, True], 44, False, [False, False, False, False], 3542, 'North', (15, 10))
Element 29: (1, (15, 10), ['%', '', '%', ''], [(15, 1), (16, 1), (4, 10)], [True, False, True, False], 42, False, [False, False, False, False], 3551, 'East', (16, 10))
Element 30: (1, (16, 10), ['', '%', '%', ''], [(15, 2), (16, 2), (3, 10)], [False, True, True, False], 40, False, [False, False, False, False], 3560, 'East', (17, 10))
Element 31: (1, (17, 10), ['', '%', '%', ''], [(15, 2), (16, 1), (2, 10)], [False, True, True, False], 38, False, [False, False, False, False], 3569, 'East', (18, 10))
Element 32: (1, (18, 10), ['', '', '%', '%'], [(15, 3), (15, 1), (1, 10)], [False, False, True, True], 36, False, [False, False, False, False], 3578, 'South', (18, 9))
Element 33: (1, (18, 9), ['%', '', '', '%'], [(15, 4), (15, 2), (1, 9)], [True, False, False, True], 34, False, [False, False, False, False], 3587, 'South', (18, 8))
Element 34: (1, (18, 8), ['%', '', '', '%'], [(15, 3), (16, 2), (1, 8)], [True, False, False, True], 32, False, [False, False, False, False], 3596, 'South', (18, 7))
Element 35: (1, (18, 7), ['%', '', '', '%'], [(15, 4), (15, 2), (1, 7)], [True, False, False, True], 30, False, [False, False, False, False], 3605, 'South', (18, 6))
Element 36: (1, (18, 6), ['', '', '', '%'], [(14, 4), (15, 3), (1, 6)], [False, False, False, True], 28, False, [False, False, False, False], 3614, 'South', (18, 5))
Element 37: (1, (18, 5), ['%', '%', '', '%'], [(13, 4), (15, 4), (2, 6)], [True, True, False, True], 26, False, [False, False, False, False], 3623, 'North', (18, 6))
Element 38: (1, (18, 6), ['', '', '', '%'], [(13, 5), (14, 4), (3, 6)], [False, False, False, True], 24, False, [False, False, False, False], 3642, 'West', (17, 6))
Element 39: (1, (17, 6), ['', '%', '%', ''], [(13, 6), (13, 4), (4, 6)], [False, True, True, False], 22, False, [False, False, False, False], 3651, 'West', (16, 6))
