Element 1: (1, (6, 6), ['.', '.', '.', '%'], [(1, 8), (6, 8), (16, 4)], [False, False, False, True], 98, False, [True, True, True, False], 9, 'North', (6, 7))
Element 2: (1, (6, 7), ['%', '', '', '%'], [(1, 9), (7, 8), (17, 4)], [True, False, False, True], 96, False, [False, False, False, False], 48, 'North', (6, 8))
Element 3: (1, (6, 8), ['.', '', '.', ''], [(1, 10), (8, 8), (16, 4)], [False, False, False, False], 94, False, [True, False, True, False], 67, 'North', (6, 9))
Element 4: (1, (6, 9), ['%', '', '.', '%'], [(2, 10), (9, 8), (16, 5)], [True, False, False, True], 92, False, [False, False, True, False], 106, 'North', (6, 10))
Element 5: (1, (6, 10), ['%', '', '%', '.'], [(3, 10), (10, 8), (16, 6)], [True, False, True, False], 90, False, [False, False, False, True], 145, 'East', (7, 10))
Element 6: (1, (7, 10), ['', '%', '%', '.'], [(4, 10), (11, 8), (17, 6)], [False, True, True, False], 88, False, [False, False, False, True], 184, 'East', (8, 10))
Element 7: (1, (8, 10), ['', '%', '%', '.'], [(4, 9), (12, 8), (18, 6)], [False, True, True, False], 86, False, [False, False, False, True], 223, 'East', (9, 10))
Element 8: (1, (9, 10), ['', '%', '%', '.'], [(4, 8), (13, 8), (18, 7)], [False, True, True, False], 84, False, [False, False, False, True], 262, 'East', (10, 10))
Element 9: (1, (10, 10), ['', '%', '%', 'F'], [(5, 8), (14, 8), (18, 8)], [False, True, True, False], 82, False, [False, False, False, False], 301, 'East', (11, 10))
Element 10: (1, (11, 10), ['', '%', '%', 'F'], [(6, 8), (15, 8), (18, 9)], [False, True, True, False], 80, False, [False, False, False, False], 1320, 'East', (12, 10))
Element 11: (1, (12, 10), ['', '%', '%', '.'], [(7, 8), (16, 8), (18, 10)], [False, True, True, False], 78, False, [False, False, False, True], 2339, 'East', (13, 10))
Element 12: (1, (13, 10), ['', '.', '%', '%'], [(8, 8), (16, 7), (17, 10)], [False, False, True, True], 76, False, [False, True, False, False], 2368, 'South', (13, 9))
Element 13: (1, (13, 9), ['%', '', '', '%'], [(9, 8), (16, 6), (16, 10)], [True, False, False, True], 74, False, [False, False, False, False], 2387, 'South', (13, 8))
Element 14: (1, (13, 8), ['', '.', '', ''], [(10, 8), (15, 6), (15, 10)], [False, False, False, False], 72, False, [False, True, False, False], 2406, 'South', (13, 7))
Element 15: (1, (13, 7), ['%', '.', '', '%'], [(11, 8), (14, 6), (15, 9)], [True, False, False, True], 70, False, [False, True, False, False], 2435, 'South', (13, 6))
Element 16: (1, (13, 6), ['%', '.', '', ''], [(12, 8), (15, 6), (15, 8)], [True, False, False, False], 68, False, [False, True, False, False], 2444, 'South', (13, 5))
Element 17: (1, (13, 5), ['%', '.', '', '%'], [(13, 8), (16, 6), (16, 8)], [True, False, False, True], 66, False, [False, True, False, False], 2453, 'South', (13, 4))
Element 18: (1, (13, 4), ['.', '.', '', '.'], [(14, 8), (17, 6), (16, 7)], [False, False, False, False], 64, False, [True, True, False, True], 2462, 'East', (14, 4))
Element 19: (1, (14, 4), ['', '%', '%', '.'], [(15, 8), (18, 6), (16, 8)], [False, True, True, False], 62, False, [False, False, False, True], 2471, 'East', (15, 4))
Element 20: (1, (15, 4), ['', '.', '%', ''], [(16, 8), (18, 5), (16, 7)], [False, False, True, False], 60, False, [False, True, False, False], 2490, 'South', (15, 3))
Element 21: (1, (15, 3), ['%', '.', '', '%'], [(16, 7), (18, 6), (16, 8)], [True, False, False, True], 58, False, [False, True, False, False], 2499, 'South', (15, 2))
Element 22: (1, (15, 2), ['%', '.', '', '.'], [(16, 6), (18, 7), (15, 8)], [True, False, False, False], 56, False, [False, True, False, True], 2508, 'East', (16, 2))
Element 23: (1, (16, 2), ['', '.', '%', '.'], [(17, 6), (18, 8), (15, 9)], [False, False, True, False], 54, False, [False, True, False, True], 2517, 'East', (17, 2))
