Element 1: (0, (18, 7), ['%', '.', 'G', '%'], [(3, 10), (16, 10), (18, 8)], [True, False, False, True], 98, False, [False, True, False, False], 0, 'South', (18, 6))
Element 2: (0, (18, 6), ['.', '.', '', '%'], [(4, 10), (17, 10), (18, 9)], [False, False, False, True], 96, False, [True, True, False, False], 39, 'South', (18, 5))
Element 3: (0, (18, 5), ['%', '%', '', '%'], [(4, 9), (18, 10), (18, 8)], [True, True, False, True], 94, False, [False, False, False, False], 68, 'North', (18, 6))
Element 4: (0, (18, 6), ['.', '', 'G', '%'], [(4, 8), (18, 9), (18, 7)], [False, False, False, True], 92, False, [True, False, False, False], 77, 'West', (17, 6))
Element 5: (0, (17, 6), ['.', '%', '%', 'G'], [(5, 8), (18, 8), (18, 6)], [False, True, True, False], 90, False, [True, False, False, False], 96, 'West', (16, 6))
Element 6: (0, (16, 6), ['.', '.', '.', ''], [(6, 8), (18, 7), (18, 5)], [False, False, False, False], 88, False, [True, True, True, False], 115, 'North', (16, 7))
Element 7: (0, (16, 7), ['%', '', '.', '%'], [(7, 8), (18, 6), (18, 5)], [True, False, False, True], 86, False, [False, False, True, False], 134, 'North', (16, 8))
Element 8: (0, (16, 8), ['.', '', '%', '%'], [(8, 8), (17, 6), (18, 6)], [False, False, True, True], 84, False, [True, False, False, False], 153, 'West', (15, 8))
Element 9: (0, (15, 8), ['.', '%', '.', ''], [(9, 8), (16, 6), (18, 6)], [False, True, False, False], 82, False, [True, False, True, False], 172, 'North', (15, 9))
Element 10: (0, (15, 9), ['%', '', '.', '%'], [(10, 8), (16, 5), (18, 7)], [True, False, False, True], 80, False, [False, False, True, False], 201, 'North', (15, 10))
Element 11: (0, (15, 10), ['%', '', '%', ''], [(11, 8), (16, 4), (18, 8)], [True, False, True, False], 78, False, [False, False, False, False], 230, 'East', (16, 10))
Element 12: (0, (16, 10), ['', '%', '%', ''], [(12, 8), (17, 4), (18, 8)], [False, True, True, False], 76, False, [False, False, False, False], 249, 'East', (17, 10))
Element 13: (0, (17, 10), ['', '%', '%', ''], [(13, 8), (16, 4), (18, 9)], [False, True, True, False], 74, False, [False, False, False, False], 258, 'East', (18, 10))
Element 14: (0, (18, 10), ['', '', '%', '%'], [(14, 8), (15, 4), (18, 8)], [False, False, True, True], 72, False, [False, False, False, False], 277, 'South', (18, 9))
Element 15: (0, (18, 9), ['%', '', '', '%'], [(15, 8), (15, 3), (18, 7)], [True, False, False, True], 70, False, [False, False, False, False], 286, 'South', (18, 8))
Element 16: (0, (18, 8), ['%', '', '', '%'], [(16, 8), (15, 2), (18, 6)], [True, False, False, True], 68, False, [False, False, False, False], 295, 'North', (18, 9))
Element 17: (0, (18, 9), ['%', '', '', '%'], [(16, 7), (16, 2), (18, 5)], [True, False, False, True], 66, False, [False, False, False, False], 304, 'North', (18, 10))
Element 18: (0, (18, 10), ['', '', '%', '%'], [(16, 6), (17, 2), (18, 6)], [False, False, True, True], 64, False, [False, False, False, False], 313, 'West', (17, 10))
Element 19: (0, (17, 10), ['', '%', '%', ''], [(15, 6), (17, 1), (17, 6)], [False, True, True, False], 62, False, [False, False, False, False], 332, 'West', (16, 10))
Element 20: (0, (16, 10), ['', '%', '%', ''], [(14, 6), (18, 1), (16, 6)], [False, True, True, False], 60, False, [False, False, False, False], 351, 'West', (15, 10))
Element 21: (0, (15, 10), ['%', '', '%', ''], [(13, 6), (18, 2), (16, 7)], [True, False, True, False], 58, False, [False, False, False, False], 360, 'South', (15, 9))
Element 22: (0, (15, 9), ['%', '', '', '%'], [(13, 7), (18, 3), (16, 8)], [True, False, False, True], 56, False, [False, False, False, False], 379, 'South', (15, 8))
Element 23: (0, (15, 8), ['', '%', '', ''], [(13, 6), (18, 2), (16, 7)], [False, True, False, False], 54, False, [False, False, False, False], 378, 'West', (14, 8))
Element 24: (0, (14, 8), ['', '%', '%', ''], [(13, 5), (18, 1), (16, 6)], [False, True, True, False], 52, False, [False, False, False, False], 387, 'West', (13, 8))
Element 25: (0, (13, 8), ['', '', '.', ''], [(13, 4), (17, 1), (16, 5)], [False, False, False, False], 50, False, [False, False, True, False], 396, 'North', (13, 9))
Element 26: (0, (13, 9), ['%', '', '.', '%'], [(14, 4), (16, 1), (16, 4)], [True, False, False, True], 48, False, [False, False, True, False], 425, 'North', (13, 10))
Element 27: (0, (13, 10), ['F', '', '%', '%'], [(15, 4), (15, 1), (17, 4)], [False, False, True, True], 46, False, [False, False, False, False], 444, 'West', (12, 10))
Element 28: (0, (12, 10), ['F', '%', '%', ''], [(16, 4), (16, 1), (17, 4)], [False, True, True, False], 44, False, [False, False, False, False], 1443, 'West', (11, 10))
Element 29: (0, (11, 10), ['.', '%', '%', ''], [(16, 5), (17, 1), (16, 4)], [False, True, True, False], 42, False, [True, False, False, False], 2442, 'West', (10, 10))
Element 30: (0, (10, 10), ['.', '%', '%', ''], [(16, 6), (17, 2), (15, 4)], [False, True, True, False], 40, False, [True, False, False, False], 2451, 'West', (9, 10))
Element 31: (0, (9, 10), ['.', '%', '%', ''], [(15, 6), (18, 2), (15, 3)], [False, True, True, False], 38, False, [True, False, False, False], 2460, 'West', (8, 10))
Element 32: (0, (8, 10), ['.', '%', '%', ''], [(14, 6), (17, 2), (15, 2)], [False, True, True, False], 36, False, [True, False, False, False], 2469, 'West', (7, 10))
Element 33: (0, (7, 10), ['.', '%', '%', ''], [(14, 6), (16, 2), (15, 1)], [False, True, True, False], 34, False, [True, False, False, False], 2478, 'West', (6, 10))
Element 34: (0, (6, 10), ['%', '.', '%', ''], [(14, 6), (16, 1), (15, 2)], [True, False, True, False], 32, False, [False, True, False, False], 2487, 'South', (6, 9))
Element 35: (0, (6, 9), ['%', '', '', '%'], [(14, 6), (16, 2), (15, 3)], [True, False, False, True], 30, False, [False, False, False, False], 2496, 'South', (6, 8))
Element 36: (0, (6, 8), ['', '.', '', ''], [(14, 6), (15, 2), (15, 4)], [False, False, False, False], 28, False, [False, True, False, False], 2495, 'South', (6, 7))
Element 37: (0, (6, 7), ['%', '.', '', '%'], [(14, 6), (15, 1), (14, 4)], [True, False, False, True], 26, False, [False, True, False, False], 2504, 'South', (6, 6))
Element 38: (0, (6, 6), ['.', '.', '', '%'], [(14, 6), (15, 2), (13, 4)], [False, False, False, True], 24, False, [True, True, False, False], 2513, 'South', (6, 5))
Element 39: (0, (6, 5), ['%', '.', '', 'F'], [(13, 6), (15, 3), (13, 3)], [True, False, False, False], 22, False, [False, True, False, False], 2532, 'East', (7, 5))
Element 40: (0, (7, 5), ['', '.', '%', '%'], [(13, 5), (15, 4), (13, 2)], [False, False, True, True], 20, False, [False, True, False, False], 3541, 'South', (7, 4))
Element 41: (0, (7, 4), ['.', '%', '', ''], [(13, 6), (14, 4), (13, 1)], [False, True, False, False], 18, False, [True, False, False, False], 3560, 'West', (6, 4))
Element 42: (0, (6, 4), ['.', '.', '', ''], [(14, 6), (13, 4), (12, 1)], [False, False, False, False], 16, False, [True, True, False, False], 3579, 'South', (6, 3))
Element 43: #1#
