Element 1: (1, (3, 6), ['.', '.', '.', '.'], [(18, 2), (6, 2), (16, 8)], [False, False, False, False], 98, False, [True, True, True, True], -1, 'East', (4, 6))
Element 2: (1, (4, 6), ['', '%', '%', '.'], [(18, 1), (7, 2), (16, 7)], [False, True, True, False], 96, False, [False, False, False, True], 38, 'East', (5, 6))
Element 3: (1, (5, 6), ['', '%', '%', '.'], [(17, 1), (8, 2), (16, 6)], [False, True, True, False], 94, False, [False, False, False, True], 77, 'East', (6, 6))
Element 4: (1, (6, 6), ['', '.', '.', '%'], [(17, 2), (9, 2), (17, 6)], [False, False, False, True], 92, False, [False, True, True, False], 116, 'North', (6, 7))
Element 5: (1, (6, 7), ['%', '', '.', '%'], [(16, 2), (10, 2), (18, 6)], [True, False, False, True], 90, False, [False, False, True, False], 155, 'North', (6, 8))
Element 6: (1, (6, 8), ['.', '', '.', '.'], [(16, 1), (11, 2), (18, 7)], [False, False, False, False], 88, False, [True, False, True, True], 194, 'East', (7, 8))
Element 7: (1, (7, 8), ['', '%', '%', '.'], [(15, 1), (11, 1), (18, 8)], [False, True, True, False], 86, False, [False, False, False, True], 1223, 'East', (8, 8))
Element 8: (1, (8, 8), ['', '%', '%', '.'], [(15, 2), (12, 1), (18, 9)], [False, True, True, False], 84, False, [False, False, False, True], 1262, 'East', (9, 8))
Element 9: (1, (9, 8), ['', '', '%', '.'], [(15, 3), (13, 1), (18, 10)], [False, False, True, False], 82, False, [False, False, False, True], 1301, 'East', (10, 8))
Element 10: (1, (10, 8), ['', '', '%', '.'], [(15, 4), (13, 2), (17, 10)], [False, False, True, False], 80, False, [False, False, False, True], 1340, 'East', (11, 8))
Element 11: (1, (11, 8), ['', '%', '%', '.'], [(16, 4), (13, 3), (16, 10)], [False, True, True, False], 78, False, [False, False, False, True], 1379, 'East', (12, 8))
Element 12: (1, (12, 8), ['', '%', '%', '.'], [(17, 4), (13, 4), (15, 10)], [False, True, True, False], 76, False, [False, False, False, True], 1418, 'East', (13, 8))
Element 13: (1, (13, 8), ['', '.', '.', '.'], [(16, 4), (14, 4), (15, 9)], [False, False, False, False], 74, False, [False, True, True, True], 1447, 'East', (14, 8))
Element 14: (1, (14, 8), ['', '%', '%', 'G'], [(16, 5), (15, 4), (15, 8)], [False, True, True, False], 72, False, [False, False, False, False], 1476, 'West', (13, 8))
Element 15: (1, (13, 8), ['', '.', '.', 'G'], [(16, 6), (16, 4), (14, 8)], [False, False, False, False], 70, False, [False, True, True, False], 1475, 'North', (13, 9))
Element 16: (1, (13, 9), ['%', 'G', '.', '%'], [(15, 6), (17, 4), (13, 8)], [True, False, False, True], 68, False, [False, False, True, False], 1494, 'North', (13, 10))
Element 17: (1, (13, 10), ['F', '', '%', '%'], [(14, 6), (16, 4), (13, 7)], [False, False, True, True], 66, False, [False, False, False, False], 1523, 'West', (12, 10))
Element 18: (1, (12, 10), ['F', '%', '%', ''], [(15, 6), (16, 5), (13, 6)], [False, True, True, False], 64, False, [False, False, False, False], 2532, 'West', (11, 10))
Element 19: (1, (11, 10), ['.', '%', '%', ''], [(14, 6), (16, 6), (13, 5)], [False, True, True, False], 62, False, [True, False, False, False], 3541, 'West', (10, 10))
Element 20: (1, (10, 10), ['.', '%', '%', ''], [(13, 6), (17, 6), (13, 4)], [False, True, True, False], 60, False, [True, False, False, False], 3550, 'West', (9, 10))
Element 21: (1, (9, 10), ['.', '%', '%', ''], [(13, 7), (18, 6), (12, 4)], [False, True, True, False], 58, False, [True, False, False, False], 3569, 'West', (8, 10))
Element 22: (1, (8, 10), ['.', '%', '%', ''], [(13, 8), (18, 5), (11, 4)], [False, True, True, False], 56, False, [True, False, False, False], 3598, 'West', (7, 10))
Element 23: (1, (7, 10), ['.', '%', '%', ''], [(14, 8), (18, 6), (10, 4)], [False, True, True, False], 54, False, [True, False, False, False], 3617, 'West', (6, 10))
Element 24: (1, (6, 10), ['%', '.', '%', ''], [(15, 8), (18, 7), (9, 4)], [True, False, True, False], 52, False, [False, True, False, False], 3636, 'South', (6, 9))
Element 25: (1, (6, 9), ['%', '', '', '%'], [(16, 8), (18, 8), (8, 4)], [True, False, False, True], 50, False, [False, False, False, False], 3645, 'North', (6, 10))
Element 26: (1, (6, 10), ['%', '', '%', ''], [(16, 7), (18, 9), (7, 4)], [True, False, True, False], 48, False, [False, False, False, False], 3654, 'East', (7, 10))
Element 27: #1#
