Element 1: (0, (6, 8), ['.', '.', '.', '.'], [(1, 9), (3, 5), (4, 8)], [False, False, False, False], 98, False, [True, True, True, True], 0, 'East', (7, 8))
Element 2: (0, (7, 8), ['', '%', '%', '.'], [(1, 10), (3, 6), (5, 8)], [False, True, True, False], 96, False, [False, False, False, True], 39, 'East', (8, 8))
Element 3: (0, (8, 8), ['', '%', '%', '.'], [(2, 10), (4, 6), (6, 8)], [False, True, True, False], 94, False, [False, False, False, True], 68, 'East', (9, 8))
Element 4: (0, (9, 8), ['', '', '%', '.'], [(3, 10), (5, 6), (6, 9)], [False, False, True, False], 92, False, [False, False, False, True], 107, 'East', (10, 8))
Element 5: (0, (10, 8), ['', '', '%', '.'], [(4, 10), (6, 6), (6, 10)], [False, False, True, False], 90, False, [False, False, False, True], 146, 'East', (11, 8))
Element 6: (0, (11, 8), ['', '%', '%', '.'], [(4, 9), (6, 7), (7, 10)], [False, True, True, False], 88, False, [False, False, False, True], 185, 'East', (12, 8))
Element 7: (0, (12, 8), ['', '%', '%', '.'], [(4, 8), (6, 8), (8, 10)], [False, True, True, False], 86, False, [False, False, False, True], 204, 'East', (13, 8))
Element 8: (0, (13, 8), ['', '.', '.', '.'], [(3, 8), (7, 8), (9, 10)], [False, False, False, False], 84, False, [False, True, True, True], 233, 'East', (14, 8))
Element 9: (0, (14, 8), ['', '%', '%', '.'], [(3, 7), (8, 8), (10, 10)], [False, True, True, False], 82, False, [False, False, False, True], 262, 'East', (15, 8))
Element 10: (0, (15, 8), ['', '%', '.', '.'], [(3, 6), (9, 8), (11, 10)], [False, True, False, False], 80, False, [False, False, True, True], 1271, 'East', (16, 8))
Element 11: (0, (16, 8), ['', '.', '%', '%'], [(2, 6), (10, 8), (12, 10)], [False, False, True, True], 78, False, [False, True, False, False], 2290, 'South', (16, 7))
Element 12: (0, (16, 7), ['%', '.', '', '%'], [(1, 6), (11, 8), (13, 10)], [True, False, False, True], 76, False, [False, True, False, False], 2319, 'South', (16, 6))
Element 13: (0, (16, 6), ['.', '.', '', '.'], [(1, 7), (12, 8), (13, 9)], [False, False, False, False], 74, False, [True, True, False, True], 2348, 'East', (17, 6))
Element 14: (0, (17, 6), ['', '%', '%', '.'], [(1, 8), (13, 8), (13, 10)], [False, True, True, False], 72, False, [False, False, False, True], 2367, 'East', (18, 6))
Element 15: (0, (18, 6), ['', '.', '.', '%'], [(1, 7), (13, 7), (12, 10)], [False, False, False, True], 70, False, [False, True, True, False], 2386, 'North', (18, 7))
Element 16: (0, (18, 7), ['%', '', '.', '%'], [(1, 6), (13, 6), (11, 10)], [True, False, False, True], 68, False, [False, False, True, False], 2405, 'North', (18, 8))
Element 17: (0, (18, 8), ['%', '', '.', '%'], [(1, 5), (14, 6), (10, 10)], [True, False, False, True], 66, False, [False, False, True, False], 2434, 'North', (18, 9))
Element 18: (0, (18, 9), ['%', '', '.', '%'], [(1, 4), (15, 6), (9, 10)], [True, False, False, True], 64, False, [False, False, True, False], 2463, 'North', (18, 10))
Element 19: (0, (18, 10), ['.', '', '%', '%'], [(1, 3), (16, 6), (8, 10)], [False, False, True, True], 62, False, [True, False, False, False], 2482, 'West', (17, 10))
Element 20: (0, (17, 10), ['.', '%', '%', ''], [(1, 2), (16, 5), (7, 10)], [False, True, True, False], 60, False, [True, False, False, False], 2511, 'West', (16, 10))
Element 21: (0, (16, 10), ['.', '%', '%', ''], [(2, 2), (16, 4), (6, 10)], [False, True, True, False], 58, False, [True, False, False, False], 2540, 'West', (15, 10))
Element 22: (0, (15, 10), ['%', '.', '%', ''], [(3, 2), (17, 4), (6, 9)], [True, False, True, False], 56, False, [False, True, False, False], 2569, 'South', (15, 9))
Element 23: (0, (15, 9), ['%', '', '', '%'], [(4, 2), (16, 4), (6, 8)], [True, False, False, True], 54, False, [False, False, False, False], 2588, 'North', (15, 10))
Element 24: (0, (15, 10), ['%', '', '%', ''], [(4, 3), (15, 4), (6, 7)], [True, False, True, False], 52, False, [False, False, False, False], 2607, 'East', (16, 10))
Element 25: (0, (16, 10), ['', '%', '%', ''], [(4, 4), (15, 3), (6, 6)], [False, True, True, False], 50, False, [False, False, False, False], 2626, 'East', (17, 10))
Element 26: (0, (17, 10), ['', '%', '%', ''], [(5, 4), (15, 2), (6, 5)], [False, True, True, False], 48, False, [False, False, False, False], 2655, 'East', (18, 10))
Element 27: (0, (18, 10), ['', '', '%', '%'], [(6, 4), (16, 2), (7, 5)], [False, False, True, True], 46, False, [False, False, False, False], 3674, 'South', (18, 9))
Element 28: (0, (18, 9), ['%', '', '', '%'], [(7, 4), (17, 2), (6, 5)], [True, False, False, True], 44, False, [False, False, False, False], 3693, 'South', (18, 8))
Element 29: (0, (18, 8), ['%', '', '', '%'], [(8, 4), (17, 1), (6, 6)], [True, False, False, True], 42, False, [False, False, False, False], 3702, 'South', (18, 7))
Element 30: (0, (18, 7), ['%', '', '', '%'], [(9, 4), (18, 1), (5, 6)], [True, False, False, True], 40, False, [False, False, False, False], 3721, 'South', (18, 6))
Element 31: (0, (18, 6), ['', '.', '', '%'], [(10, 4), (18, 2), (4, 6)], [False, False, False, True], 38, False, [False, True, False, False], 3730, 'South', (18, 5))
Element 32: (0, (18, 5), ['%', '%', '', '%'], [(11, 4), (18, 3), (3, 6)], [True, True, False, True], 36, False, [False, False, False, False], 3759, 'North', (18, 6))
Element 33: (0, (18, 6), ['', '', '', '%'], [(12, 4), (18, 2), (3, 7)], [False, False, False, True], 34, False, [False, False, False, False], 3768, 'West', (17, 6))
Element 34: (0, (17, 6), ['', '%', '%', ''], [(13, 4), (18, 1), (3, 8)], [False, True, True, False], 32, False, [False, False, False, False], 3777, 'West', (16, 6))
Element 35: (0, (16, 6), ['', '', '', ''], [(14, 4), (17, 1), (3, 7)], [False, False, False, False], 30, False, [False, False, False, False], 3786, 'South', (16, 5))
Element 36: (0, (16, 5), ['%', '', '', '%'], [(15, 4), (16, 1), (3, 6)], [True, False, False, True], 28, False, [False, False, False, False], 3795, 'South', (16, 4))
Element 37: (0, (16, 4), ['', '%', '', ''], [(15, 3), (15, 1), (3, 5)], [False, True, False, False], 26, False, [False, False, False, False], 3804, 'East', (17, 4))
Element 38: (0, (17, 4), ['', '%', '%', '%'], [(15, 2), (16, 1), (3, 4)], [False, True, True, True], 24, False, [False, False, False, False], 3813, 'West', (16, 4))
Element 39: (0, (16, 4), ['', '%', '', ''], [(16, 2), (17, 1), (4, 4)], [False, True, False, False], 22, False, [False, False, False, False], 3812, 'West', (15, 4))
Element 40: (0, (15, 4), ['', '', '%', ''], [(17, 2), (16, 1), (5, 4)], [False, False, True, False], 20, False, [False, False, False, False], 3811, 'South', (15, 3))
Element 41: (0, (15, 3), ['%', '', '', '%'], [(18, 2), (15, 1), (6, 4)], [True, False, False, True], 18, False, [False, False, False, False], 3810, 'South', (15, 2))
Element 42: (0, (15, 2), ['%', '', '', ''], [(18, 3), (15, 2), (6, 3)], [True, False, False, False], 16, False, [False, False, False, False], 3819, 'East', (16, 2))
Element 43: (0, (16, 2), ['', '', '%', ''], [(18, 2), (15, 1), (6, 2)], [False, False, True, False], 14, False, [False, False, False, False], 3828, 'East', (17, 2))
Element 44: (0, (17, 2), ['', '', '%', ''], [(18, 1), (16, 1), (7, 2)], [False, False, True, False], 12, False, [False, False, False, False], 3837, 'East', (18, 2))
Element 45: (0, (18, 2), ['', '', '', '%'], [(17, 1), (16, 2), (8, 2)], [False, False, False, True], 10, False, [False, False, False, False], 3846, 'North', (18, 3))
Element 46: (0, (18, 3), ['%', '', '%', '%'], [(16, 1), (15, 2), (9, 2)], [True, False, True, True], 8, False, [False, False, False, False], 3855, 'South', (18, 2))
Element 47: (0, (18, 2), ['', '', '', '%'], [(15, 1), (15, 3), (10, 2)], [False, False, False, True], 6, False, [False, False, False, False], 3864, 'South', (18, 1))
Element 48: (0, (18, 1), ['', '%', '', '%'], [(16, 1), (15, 2), (11, 2)], [False, True, False, True], 4, False, [False, False, False, False], 3873, 'West', (17, 1))
Element 49: #1#
