Element 1: (3, (16, 4), ['.', '%', '.', '.'], [(6, 7), (4, 3), (9, 10)], [False, True, False, False], 98, False, [True, False, True, True], 29, 'East', (17, 4))
Element 2: (3, (17, 4), ['', '%', '%', '%'], [(6, 8), (4, 4), (10, 10)], [False, True, True, True], 96, False, [False, False, False, False], 68, 'West', (16, 4))
Element 3: (3, (16, 4), ['.', '%', '.', ''], [(7, 8), (5, 4), (11, 10)], [False, True, False, False], 94, False, [True, False, True, False], 1087, 'North', (16, 5))
Element 4: (3, (16, 5), ['%', '', '.', '%'], [(8, 8), (6, 4), (12, 10)], [True, False, False, True], 92, False, [False, False, True, False], 2116, 'North', (16, 6))
Element 5: (3, (16, 6), ['.', '', '.', '.'], [(9, 8), (7, 4), (13, 10)], [False, False, False, False], 90, False, [True, False, True, True], 2155, 'East', (17, 6))
Element 6: (3, (17, 6), ['', '%', '%', '.'], [(10, 8), (7, 5), (13, 9)], [False, True, True, False], 88, False, [False, False, False, True], 3184, 'East', (18, 6))
Element 7: (3, (18, 6), ['', '.', '.', '%'], [(11, 8), (6, 5), (13, 8)], [False, False, False, True], 86, False, [False, True, True, False], 3223, 'North', (18, 7))
Element 8: (3, (18, 7), ['%', '', '.', '%'], [(12, 8), (6, 6), (14, 8)], [True, False, False, True], 84, False, [False, False, True, False], 3252, 'North', (18, 8))
Element 9: (3, (18, 8), ['%', '', '.', '%'], [(13, 8), (5, 6), (15, 8)], [True, False, False, True], 82, False, [False, False, True, False], 3281, 'North', (18, 9))
Element 10: (3, (18, 9), ['%', '', '.', '%'], [(13, 7), (4, 6), (16, 8)], [True, False, False, True], 80, False, [False, False, True, False], 3320, 'North', (18, 10))
Element 11: (3, (18, 10), ['.', '', '%', '%'], [(13, 6), (3, 6), (16, 7)], [False, False, True, True], 78, False, [True, False, False, False], 3359, 'West', (17, 10))
Element 12: (3, (17, 10), ['.', '%', '%', ''], [(14, 6), (3, 7), (16, 6)], [False, True, True, False], 76, False, [True, False, False, False], 3388, 'West', (16, 10))
Element 13: (3, (16, 10), ['.', '%', '%', ''], [(15, 6), (3, 8), (17, 6)], [False, True, True, False], 74, False, [True, False, False, False], 3417, 'West', (15, 10))
Element 14: (3, (15, 10), ['%', '.', '%', ''], [(16, 6), (4, 8), (18, 6)], [True, False, True, False], 72, False, [False, True, False, False], 3436, 'South', (15, 9))
Element 15: (3, (15, 9), ['%', '', '', '%'], [(17, 6), (5, 8), (18, 5)], [True, False, False, True], 70, False, [False, False, False, False], 3465, 'South', (15, 8))
Element 16: (3, (15, 8), ['', '%', '', ''], [(18, 6), (6, 8), (18, 5)], [False, True, False, False], 68, False, [False, False, False, False], 3464, 'East', (16, 8))
Element 17: (3, (16, 8), ['', '', '%', '%'], [(18, 7), (6, 9), (18, 6)], [False, False, True, True], 66, False, [False, False, False, False], 3473, 'South', (16, 7))
Element 18: (3, (16, 7), ['%', '', '', '%'], [(18, 8), (6, 10), (18, 6)], [True, False, False, True], 64, False, [False, False, False, False], 3482, 'North', (16, 8))
Element 19: (3, (16, 8), ['', '', '%', '%'], [(18, 9), (7, 10), (17, 6)], [False, False, True, True], 62, False, [False, False, False, False], 3491, 'West', (15, 8))
Element 20: (3, (15, 8), ['', '%', '', ''], [(18, 10), (8, 10), (16, 6)], [False, True, False, False], 60, False, [False, False, False, False], 3490, 'West', (14, 8))
Element 21: (3, (14, 8), ['', '%', '%', ''], [(17, 10), (9, 10), (16, 5)], [False, True, True, False], 58, False, [False, False, False, False], 3489, 'West', (13, 8))
Element 22: (3, (13, 8), ['', '', '', ''], [(16, 10), (10, 10), (16, 4)], [False, False, False, False], 56, False, [False, False, False, False], 3488, 'North', (13, 9))
Element 23: (3, (13, 9), ['%', '', '', '%'], [(15, 10), (11, 10), (15, 4)], [True, False, False, True], 54, False, [False, False, False, False], 3497, 'North', (13, 10))
Element 24: (3, (13, 10), ['G', '', '%', '%'], [(15, 9), (12, 10), (15, 3)], [False, False, True, True], 52, False, [False, False, False, False], 3506, 'South', (13, 9))
Element 25: (3, (13, 9), ['%', '', 'G', '%'], [(15, 8), (13, 10), (15, 2)], [True, False, False, True], 50, False, [False, False, False, False], 3515, 'South', (13, 8))
Element 26: (3, (13, 8), ['', '', 'G', ''], [(16, 8), (13, 9), (16, 2)], [False, False, False, False], 48, False, [False, False, False, False], 3524, 'South', (13, 7))
Element 27: (3, (13, 7), ['%', '', 'G', '%'], [(16, 7), (13, 8), (17, 2)], [True, False, False, True], 46, False, [False, False, False, False], 3533, 'South', (13, 6))
Element 28: (3, (13, 6), ['%', '.', '', ''], [(16, 8), (14, 8), (17, 1)], [True, False, False, False], 44, False, [False, True, False, False], 3542, 'South', (13, 5))
Element 29: (3, (13, 5), ['%', '.', '', '%'], [(15, 8), (13, 8), (18, 1)], [True, False, False, True], 42, False, [False, True, False, False], 3561, 'South', (13, 4))
Element 30: (3, (13, 4), ['.', '.', '', '.'], [(14, 8), (13, 7), (18, 2)], [False, False, False, False], 40, False, [True, True, False, True], 3570, 'East', (14, 4))
Element 31: (3, (14, 4), ['', '%', '%', ''], [(15, 8), (13, 6), (18, 3)], [False, True, True, False], 38, False, [False, False, False, False], 3589, 'East', (15, 4))
Element 32: (3, (15, 4), ['', '', '%', ''], [(15, 9), (14, 6), (18, 2)], [False, False, True, False], 36, False, [False, False, False, False], 3588, 'South', (15, 3))
Element 33: (3, (15, 3), ['%', '', '', '%'], [(15, 10), (15, 6), (18, 1)], [True, False, False, True], 34, False, [False, False, False, False], 3587, 'South', (15, 2))
Element 34: (3, (15, 2), ['%', '.', '', ''], [(16, 10), (16, 6), (17, 1)], [True, False, False, False], 32, False, [False, True, False, False], 3586, 'South', (15, 1))
Element 35: (3, (15, 1), ['%', '%', '', 'G'], [(17, 10), (17, 6), (16, 1)], [True, True, False, False], 30, False, [False, False, False, False], 3605, 'North', (15, 2))
Element 36: (3, (15, 2), ['%', 'G', '', ''], [(18, 10), (18, 6), (15, 1)], [True, False, False, False], 28, False, [False, False, False, False], 3604, 'East', (16, 2))
Element 37: (3, (16, 2), ['', 'G', '%', ''], [(18, 9), (18, 7), (16, 1)], [False, False, True, False], 26, False, [False, False, False, False], 3603, 'East', (17, 2))
Element 38: (3, (17, 2), ['', 'G', '%', ''], [(18, 8), (18, 6), (17, 1)], [False, False, True, False], 24, False, [False, False, False, False], 3602, 'East', (18, 2))
Element 39: (3, (18, 2), ['G', '', '', '%'], [(18, 7), (18, 5), (17, 2)], [False, False, False, True], 22, False, [False, False, False, False], 3601, 'North', (18, 3))
Element 40: (3, (18, 3), ['%', 'G', '%', '%'], [(18, 6), (18, 5), (18, 2)], [True, False, True, True], 20, False, [False, False, False, False], 3600, 'Stop', (18, 3))
Element 41: (3, (18, 3), ['%', '', '%', '%'], [(17, 6), (18, 6), (17, 2)], [True, False, True, True], 18, False, [False, False, False, False], 3599, 'South', (18, 2))
Element 42: (3, (18, 2), ['', '', '', '%'], [(16, 6), (17, 6), (16, 2)], [False, False, False, True], 16, False, [False, False, False, False], 3598, 'Stop', (18, 2))
Element 43: (3, (18, 2), ['', '', '', '%'], [(16, 7), (16, 6), (16, 1)], [False, False, False, True], 14, False, [False, False, False, False], 3597, 'West', (17, 2))
Element 44: (3, (17, 2), ['G', '', '%', ''], [(16, 8), (16, 6), (16, 2)], [False, False, True, False], 12, False, [False, False, False, False], 3596, 'South', (17, 1))
Element 45: (3, (17, 1), ['', '%', '', ''], [(16, 7), (16, 5), (15, 2)], [False, True, False, False], 10, False, [False, False, False, False], 3595, 'East', (18, 1))
Element 46: (3, (18, 1), ['', '%', '', '%'], [(16, 6), (16, 4), (15, 1)], [False, True, False, True], 8, False, [False, False, False, False], 3594, 'West', (17, 1))
Element 47: (3, (17, 1), ['', '%', '', ''], [(15, 6), (17, 4), (15, 2)], [False, True, False, False], 6, False, [False, False, False, False], 3593, 'West', (16, 1))
Element 48: (3, (16, 1), ['', '%', '', ''], [(14, 6), (16, 4), (15, 3)], [False, True, False, False], 4, False, [False, False, False, False], 3592, 'East', (17, 1))
Element 49: (3, (17, 1), ['', '%', '', ''], [(13, 6), (15, 4), (15, 2)], [False, True, False, False], 2, False, [False, False, False, False], 3591, 'West', (16, 1))
Element 50: (3, (16, 1), ['', '%', '', ''], [(13, 6), (15, 4), (15, 2)], [False, True, False, False], 0, False, [False, False, False, False], 3590, 'Stop', (16, 1))
Element 51: #0#
