Element 1: (3, (6, 6), ['', '.', '.', '%'], [(10, 10), (1, 8), (4, 6)], [False, False, False, True], 98, False, [False, True, True, False], 29, 'North', (6, 7))
Element 2: (3, (6, 7), ['%', '', '.', '%'], [(11, 10), (1, 9), (3, 6)], [True, False, False, True], 96, False, [False, False, True, False], 1058, 'North', (6, 8))
Element 3: (3, (6, 8), ['.', '', '.', '.'], [(12, 10), (1, 10), (3, 7)], [False, False, False, False], 94, False, [True, False, True, True], 2087, 'East', (7, 8))
Element 4: (3, (7, 8), ['', '%', '%', '.'], [(13, 10), (2, 10), (3, 8)], [False, True, True, False], 92, False, [False, False, False, True], 2126, 'East', (8, 8))
Element 5: (3, (8, 8), ['', '%', '%', '.'], [(13, 9), (3, 10), (4, 8)], [False, True, True, False], 90, False, [False, False, False, True], 2165, 'East', (9, 8))
Element 6: (3, (9, 8), ['', '', '%', '.'], [(13, 8), (4, 10), (5, 8)], [False, False, True, False], 88, False, [False, False, False, True], 2204, 'East', (10, 8))
Element 7: (3, (10, 8), ['', '', '%', '.'], [(14, 8), (4, 9), (6, 8)], [False, False, True, False], 86, False, [False, False, False, True], 2233, 'East', (11, 8))
Element 8: (3, (11, 8), ['', '%', '%', '.'], [(15, 8), (4, 8), (6, 9)], [False, True, True, False], 84, False, [False, False, False, True], 2262, 'East', (12, 8))
Element 9: (3, (12, 8), ['', '%', '%', ''], [(16, 8), (5, 8), (6, 10)], [False, True, True, False], 82, False, [False, False, False, False], 2291, 'East', (13, 8))
Element 10: (3, (13, 8), ['', '.', '', ''], [(16, 7), (6, 8), (7, 10)], [False, False, False, False], 80, False, [False, True, False, False], 2310, 'South', (13, 7))
Element 11: (3, (13, 7), ['%', '.', '', '%'], [(16, 6), (7, 8), (8, 10)], [True, False, False, True], 78, False, [False, True, False, False], 2339, 'South', (13, 6))
Element 12: (3, (13, 6), ['%', '.', '', '.'], [(17, 6), (8, 8), (9, 10)], [True, False, False, False], 76, False, [False, True, False, True], 2358, 'East', (14, 6))
Element 13: (3, (14, 6), ['', '%', '%', '.'], [(18, 6), (9, 8), (10, 10)], [False, True, True, False], 74, False, [False, False, False, True], 2377, 'East', (15, 6))
Element 14: (3, (15, 6), ['', '%', '%', ''], [(18, 7), (10, 8), (11, 10)], [False, True, True, False], 72, False, [False, False, False, False], 2396, 'East', (16, 6))
Element 15: (3, (16, 6), ['', '.', '', ''], [(18, 8), (11, 8), (12, 10)], [False, False, False, False], 70, False, [False, True, False, False], 2405, 'South', (16, 5))
Element 16: (3, (16, 5), ['%', '.', '', '%'], [(18, 9), (12, 8), (13, 10)], [True, False, False, True], 68, False, [False, True, False, False], 2424, 'South', (16, 4))
Element 17: (3, (16, 4), ['.', '%', '', '.'], [(18, 10), (13, 8), (13, 9)], [False, True, False, False], 66, False, [True, False, False, True], 2443, 'East', (17, 4))
Element 18: (3, (17, 4), ['', '%', '%', '%'], [(17, 10), (14, 8), (13, 8)], [False, True, True, True], 64, False, [False, False, False, False], 2462, 'West', (16, 4))
Element 19: (3, (16, 4), ['.', '%', '', ''], [(16, 10), (15, 8), (14, 8)], [False, True, False, False], 62, False, [True, False, False, False], 2471, 'West', (15, 4))
Element 20: (3, (15, 4), ['.', '.', '%', ''], [(15, 10), (15, 9), (15, 8)], [False, False, True, False], 60, False, [True, True, False, False], 2500, 'South', (15, 3))
Element 21: (3, (15, 3), ['%', '.', '', '%'], [(16, 10), (15, 10), (16, 8)], [True, False, False, True], 58, False, [False, True, False, False], 2509, 'South', (15, 2))
Element 22: (3, (15, 2), ['%', '.', '', '.'], [(17, 10), (16, 10), (16, 7)], [True, False, False, False], 56, False, [False, True, False, True], 2518, 'East', (16, 2))
Element 23: (3, (16, 2), ['', '.', '%', '.'], [(18, 10), (17, 10), (16, 6)], [False, False, True, False], 54, False, [False, True, False, True], 2527, 'East', (17, 2))
Element 24: (3, (17, 2), ['', '.', '%', ''], [(18, 9), (18, 10), (17, 6)], [False, False, True, False], 52, False, [False, True, False, False], 2536, 'South', (17, 1))
Element 25: (3, (17, 1), ['.', '%', '', '.'], [(18, 8), (18, 9), (18, 6)], [False, True, False, False], 50, False, [True, False, False, True], 2545, 'East', (18, 1))
Element 26: (3, (18, 1), ['', '%', '', '%'], [(18, 7), (18, 8), (18, 5)], [False, True, False, True], 48, False, [False, False, False, False], 2564, 'North', (18, 2))
Element 27: (3, (18, 2), ['', '', '.', '%'], [(18, 6), (18, 7), (18, 5)], [False, False, False, True], 46, False, [False, False, True, False], 2563, 'North', (18, 3))
Element 28: (3, (18, 3), ['%', '', '%', '%'], [(17, 6), (18, 6), (18, 5)], [True, False, True, True], 44, False, [False, False, False, False], 2572, 'South', (18, 2))
Element 29: (3, (18, 2), ['', '', '', '%'], [(16, 6), (17, 6), (18, 6)], [False, False, False, True], 42, False, [False, False, False, False], 2571, 'South', (18, 1))
Element 30: (3, (18, 1), ['', '%', '', '%'], [(15, 6), (16, 6), (18, 5)], [False, True, False, True], 40, False, [False, False, False, False], 2570, 'West', (17, 1))
Element 31: (3, (17, 1), ['.', '%', '', ''], [(14, 6), (16, 7), (18, 6)], [False, True, False, False], 38, False, [True, False, False, False], 2569, 'West', (16, 1))
Element 32: (3, (16, 1), ['.', '%', '', ''], [(13, 6), (16, 8), (17, 6)], [False, True, False, False], 36, False, [True, False, False, False], 2578, 'West', (15, 1))
Element 33: (3, (15, 1), ['%', '%', '', ''], [(13, 5), (16, 7), (16, 6)], [True, True, False, False], 34, False, [False, False, False, False], 2597, 'East', (16, 1))
Element 34: (3, (16, 1), ['', '%', '', ''], [(13, 4), (16, 8), (16, 7)], [False, True, False, False], 32, False, [False, False, False, False], 2606, 'East', (17, 1))
Element 35: (3, (17, 1), ['', '%', '', ''], [(14, 4), (16, 7), (16, 8)], [False, True, False, False], 30, False, [False, False, False, False], 2615, 'North', (17, 2))
Element 36: (3, (17, 2), ['', '', '%', ''], [(15, 4), (16, 6), (15, 8)], [False, False, True, False], 28, False, [False, False, False, False], 2614, 'East', (18, 2))
Element 37: (3, (18, 2), ['', '', '', '%'], [(16, 4), (15, 6), (15, 9)], [False, False, False, True], 26, False, [False, False, False, False], 2613, 'West', (17, 2))
Element 38: (3, (17, 2), ['', '', '%', ''], [(17, 4), (14, 6), (15, 10)], [False, False, True, False], 24, False, [False, False, False, False], 2612, 'West', (16, 2))
Element 39: (3, (16, 2), ['', '', '%', ''], [(16, 4), (13, 6), (16, 10)], [False, False, True, False], 22, False, [False, False, False, False], 2611, 'South', (16, 1))
Element 40: (3, (16, 1), ['', '%', '', ''], [(16, 5), (13, 7), (17, 10)], [False, True, False, False], 20, False, [False, False, False, False], 2610, 'North', (16, 2))
Element 41: (3, (16, 2), ['', '', '%', ''], [(16, 4), (13, 6), (18, 10)], [False, False, True, False], 18, False, [False, False, False, False], 2609, 'West', (15, 2))
Element 42: (3, (15, 2), ['%', '', '', ''], [(15, 4), (13, 5), (18, 9)], [True, False, False, False], 16, False, [False, False, False, False], 2608, 'South', (15, 1))
Element 43: (3, (15, 1), ['%', '%', '', ''], [(15, 3), (13, 4), (18, 8)], [True, True, False, False], 14, False, [False, False, False, False], 2607, 'North', (15, 2))
Element 44: (3, (15, 2), ['%', '', '', ''], [(15, 4), (13, 3), (18, 7)], [True, False, False, False], 12, False, [False, False, False, False], 2616, 'North', (15, 3))
Element 45: (3, (15, 3), ['%', '', '', '%'], [(14, 4), (13, 2), (18, 8)], [True, False, False, True], 10, False, [False, False, False, False], 2625, 'North', (15, 4))
Element 46: (3, (15, 4), ['', '', '%', ''], [(13, 4), (13, 1), (18, 9)], [False, False, True, False], 8, False, [False, False, False, False], 2634, 'West', (14, 4))
Element 47: (3, (14, 4), ['', '%', '%', ''], [(13, 3), (12, 1), (18, 10)], [False, True, True, False], 6, False, [False, False, False, False], 2643, 'West', (13, 4))
Element 48: (3, (13, 4), ['.', '', '', ''], [(13, 2), (11, 1), (17, 10)], [False, False, False, False], 4, False, [True, False, False, False], 3642, 'West', (12, 4))
Element 49: (3, (12, 4), ['.', '%', '%', ''], [(12, 2), (11, 2), (16, 10)], [False, True, True, False], 2, False, [True, False, False, False], 3671, 'West', (11, 4))
Element 50: (3, (11, 4), ['.', '%', '%', ''], [(12, 2), (11, 2), (16, 10)], [False, True, True, False], 0, False, [True, False, False, False], 3680, 'Stop', (11, 4))
Element 51: #0#
