Element 1: (0, (13, 6), ['%', '.', 'G', '.'], [(6, 3), (13, 7), (18, 3)], [True, False, False, False], 98, False, [False, True, False, True], 0, 'East', (14, 6))
Element 2: (0, (14, 6), ['', '%', '%', '.'], [(6, 4), (13, 8), (18, 2)], [False, True, True, False], 96, False, [False, False, False, True], 29, 'East', (15, 6))
Element 3: (0, (15, 6), ['', '%', '%', '.'], [(7, 4), (14, 8), (18, 1)], [False, True, True, False], 94, False, [False, False, False, True], 68, 'East', (16, 6))
Element 4: (0, (16, 6), ['', '.', '.', '.'], [(7, 5), (15, 8), (17, 1)], [False, False, False, False], 92, False, [False, True, True, True], 1097, 'East', (17, 6))
Element 5: (0, (17, 6), ['', '%', '%', '.'], [(6, 5), (16, 8), (17, 2)], [False, True, True, False], 90, False, [False, False, False, True], 1136, 'East', (18, 6))
Element 6: (0, (18, 6), ['', '.', '.', '%'], [(6, 6), (16, 7), (16, 2)], [False, False, False, True], 88, False, [False, True, True, False], 1175, 'North', (18, 7))
Element 7: (0, (18, 7), ['%', '', '.', '%'], [(6, 7), (16, 6), (16, 1)], [True, False, False, True], 86, False, [False, False, True, False], 1204, 'North', (18, 8))
Element 8: (0, (18, 8), ['%', '', '.', '%'], [(6, 8), (16, 5), (15, 1)], [True, False, False, True], 84, False, [False, False, True, False], 1243, 'North', (18, 9))
Element 9: (0, (18, 9), ['%', '', '.', '%'], [(7, 8), (16, 4), (15, 2)], [True, False, False, True], 82, False, [False, False, True, False], 1282, 'North', (18, 10))
Element 10: (0, (18, 10), ['.', '', '%', '%'], [(8, 8), (17, 4), (15, 3)], [False, False, True, True], 80, False, [True, False, False, False], 1321, 'West', (17, 10))
Element 11: (0, (17, 10), ['.', '%', '%', ''], [(9, 8), (16, 4), (15, 4)], [False, True, True, False], 78, False, [True, False, False, False], 1350, 'West', (16, 10))
Element 12: (0, (16, 10), ['.', '%', '%', ''], [(10, 8), (16, 5), (14, 4)], [False, True, True, False], 76, False, [True, False, False, False], 1379, 'West', (15, 10))
Element 13: (0, (15, 10), ['%', '.', '%', ''], [(11, 8), (16, 4), (13, 4)], [True, False, True, False], 74, False, [False, True, False, False], 1408, 'South', (15, 9))
Element 14: (0, (15, 9), ['%', '', '', '%'], [(12, 8), (16, 5), (13, 5)], [True, False, False, True], 72, False, [False, False, False, False], 1437, 'South', (15, 8))
Element 15: (0, (15, 8), ['', '%', '', ''], [(13, 8), (16, 6), (13, 6)], [False, True, False, False], 70, False, [False, False, False, False], 1436, 'East', (16, 8))
Element 16: (0, (16, 8), ['', '', '%', '%'], [(13, 9), (17, 6), (14, 6)], [False, False, True, True], 68, False, [False, False, False, False], 1445, 'South', (16, 7))
