Element 1: (0, (12, 8), ['.', '%', '%', 'G'], [(3, 5), (13, 8), (16, 8)], [False, True, True, False], 98, False, [True, False, False, False], 0, 'West', (11, 8))
Element 2: (0, (11, 8), ['.', '%', '%', ''], [(3, 6), (14, 8), (16, 7)], [False, True, True, False], 96, False, [True, False, False, False], 39, 'West', (10, 8))
Element 3: (0, (10, 8), ['.', '', '%', ''], [(4, 6), (15, 8), (16, 6)], [False, False, True, False], 94, False, [True, False, False, False], 78, 'West', (9, 8))
Element 4: (0, (9, 8), ['.', '', '%', ''], [(5, 6), (15, 9), (17, 6)], [False, False, True, False], 92, False, [True, False, False, False], 117, 'West', (8, 8))
Element 5: (0, (8, 8), ['.', '%', '%', ''], [(6, 6), (15, 10), (18, 6)], [False, True, True, False], 90, False, [True, False, False, False], 156, 'West', (7, 8))
Element 6: (0, (7, 8), ['.', '%', '%', ''], [(6, 7), (16, 10), (18, 7)], [False, True, True, False], 88, False, [True, False, False, False], 195, 'West', (6, 8))
Element 7: (0, (6, 8), ['.', '', '.', ''], [(6, 6), (17, 10), (18, 8)], [False, False, False, False], 86, False, [True, False, True, False], 224, 'North', (6, 9))
Element 8: (0, (6, 9), ['%', '', '.', '%'], [(6, 5), (18, 10), (18, 9)], [True, False, False, True], 84, False, [False, False, True, False], 263, 'North', (6, 10))
Element 9: (0, (6, 10), ['%', '', '%', '.'], [(7, 5), (17, 10), (18, 10)], [True, False, True, False], 82, False, [False, False, False, True], 1272, 'East', (7, 10))
Element 10: (0, (7, 10), ['', '%', '%', '.'], [(7, 4), (16, 10), (17, 10)], [False, True, True, False], 80, False, [False, False, False, True], 1291, 'East', (8, 10))
Element 11: (0, (8, 10), ['', '%', '%', '.'], [(6, 4), (15, 10), (16, 10)], [False, True, True, False], 78, False, [False, False, False, True], 1310, 'East', (9, 10))
Element 12: (0, (9, 10), ['', '%', '%', '.'], [(6, 3), (15, 9), (15, 10)], [False, True, True, False], 76, False, [False, False, False, True], 1329, 'East', (10, 10))
Element 13: (0, (10, 10), ['', '%', '%', 'F'], [(6, 2), (15, 8), (15, 9)], [False, True, True, False], 74, False, [False, False, False, False], 1348, 'East', (11, 10))
Element 14: (0, (11, 10), ['', '%', '%', 'F'], [(7, 2), (16, 8), (15, 8)], [False, True, True, False], 72, False, [False, False, False, False], 2357, 'East', (12, 10))
Element 15: (0, (12, 10), ['', '%', '%', '.'], [(8, 2), (16, 7), (14, 8)], [False, True, True, False], 70, False, [False, False, False, True], 3366, 'East', (13, 10))
Element 16: (0, (13, 10), ['', '.', '%', '%'], [(9, 2), (16, 6), (13, 8)], [False, False, True, True], 68, False, [False, True, False, False], 3385, 'South', (13, 9))
Element 17: (0, (13, 9), ['%', '', '', '%'], [(10, 2), (16, 5), (13, 7)], [True, False, False, True], 66, False, [False, False, False, False], 3424, 'South', (13, 8))
Element 18: (0, (13, 8), ['', '', '', ''], [(11, 2), (16, 4), (13, 6)], [False, False, False, False], 64, False, [False, False, False, False], 3453, 'East', (14, 8))
Element 19: #1#
