Element 1: (1, (1, 6), ['%', '.', '.', '.'], [(16, 6), (6, 5), (12, 4)], [True, False, False, False], 98, False, [False, True, True, True], 9, 'East', (2, 6))
Element 2: (1, (2, 6), ['', '%', '%', '.'], [(17, 6), (7, 5), (13, 4)], [False, True, True, False], 96, False, [False, False, False, True], 1038, 'East', (3, 6))
Element 3: (1, (3, 6), ['', '.', '.', '.'], [(18, 6), (7, 4), (14, 4)], [False, False, False, False], 94, False, [False, True, True, True], 1077, 'East', (4, 6))
Element 4: (1, (4, 6), ['', '%', '%', '.'], [(18, 7), (6, 4), (15, 4)], [False, True, True, False], 92, False, [False, False, False, True], 1116, 'East', (5, 6))
Element 5: (1, (5, 6), ['', '%', '%', '.'], [(18, 8), (6, 3), (16, 4)], [False, True, True, False], 90, False, [False, False, False, True], 1155, 'East', (6, 6))
Element 6: (1, (6, 6), ['', '', '.', '%'], [(18, 9), (6, 2), (17, 4)], [False, False, False, True], 88, False, [False, False, True, False], 1194, 'North', (6, 7))
Element 7: (1, (6, 7), ['%', '', '.', '%'], [(18, 10), (7, 2), (16, 4)], [True, False, False, True], 86, False, [False, False, True, False], 1223, 'North', (6, 8))
Element 8: (1, (6, 8), ['.', '', '.', '.'], [(17, 10), (8, 2), (16, 5)], [False, False, False, False], 84, False, [True, False, True, True], 1262, 'East', (7, 8))
Element 9: (1, (7, 8), ['', '%', '%', '.'], [(16, 10), (9, 2), (16, 6)], [False, True, True, False], 82, False, [False, False, False, True], 1291, 'East', (8, 8))
Element 10: (1, (8, 8), ['', '%', '%', '.'], [(15, 10), (10, 2), (16, 7)], [False, True, True, False], 80, False, [False, False, False, True], 1330, 'East', (9, 8))
Element 11: (1, (9, 8), ['', '', '%', '.'], [(15, 9), (11, 2), (16, 8)], [False, False, True, False], 78, False, [False, False, False, True], 1369, 'East', (10, 8))
Element 12: (1, (10, 8), ['', '', '%', '.'], [(15, 10), (11, 1), (15, 8)], [False, False, True, False], 76, False, [False, False, False, True], 2388, 'East', (11, 8))
Element 13: (1, (11, 8), ['', '%', '%', '.'], [(16, 10), (12, 1), (14, 8)], [False, True, True, False], 74, False, [False, False, False, True], 2417, 'East', (12, 8))
Element 14: (1, (12, 8), ['', '%', '%', 'G'], [(17, 10), (13, 1), (13, 8)], [False, True, True, False], 72, False, [False, False, False, False], 2446, 'West', (11, 8))
Element 15: (1, (11, 8), ['', '%', '%', ''], [(18, 10), (13, 2), (13, 9)], [False, True, True, False], 70, False, [False, False, False, False], 2465, 'West', (10, 8))
Element 16: (1, (10, 8), ['', '', '%', ''], [(18, 9), (13, 3), (13, 10)], [False, False, True, False], 68, False, [False, False, False, False], 2484, 'South', (10, 7))
Element 17: (1, (10, 7), ['', '', '', '%'], [(18, 8), (13, 4), (12, 10)], [False, False, False, True], 66, False, [False, False, False, False], 3483, 'South', (10, 6))
Element 18: #1#
