Element 1: (1, (10, 4), ['.', '%', '%', '.'], [(5, 6), (17, 2), (18, 9)], [False, True, True, False], 98, False, [True, False, False, True], 9, 'West', (9, 4))
Element 2: (1, (9, 4), ['', '%', '%', ''], [(6, 6), (17, 1), (18, 10)], [False, True, True, False], 96, False, [False, False, False, False], 48, 'West', (8, 4))
Element 3: (1, (8, 4), ['.', '%', '%', ''], [(6, 7), (18, 1), (17, 10)], [False, True, True, False], 94, False, [True, False, False, False], 77, 'West', (7, 4))
Element 4: (1, (7, 4), ['.', '%', 'F', ''], [(6, 8), (18, 2), (16, 10)], [False, True, False, False], 92, False, [True, False, False, False], 106, 'North', (7, 5))
Element 5: (1, (7, 5), ['.', '', '%', '%'], [(5, 8), (18, 3), (15, 10)], [False, False, True, True], 90, False, [True, False, False, False], 1135, 'West', (6, 5))
Element 6: (1, (6, 5), ['%', '.', '', ''], [(4, 8), (18, 2), (15, 9)], [True, False, False, False], 88, False, [False, True, False, False], 1164, 'South', (6, 4))
Element 7: (1, (6, 4), ['.', '.', '', ''], [(3, 8), (18, 1), (15, 8)], [False, False, False, False], 86, False, [True, True, False, False], 1193, 'South', (6, 3))
Element 8: (1, (6, 3), ['%', '.', '', '%'], [(3, 7), (17, 1), (16, 8)], [True, False, False, True], 84, False, [False, True, False, False], 1222, 'South', (6, 2))
Element 9: (1, (6, 2), ['%', '.', '', '.'], [(3, 6), (16, 1), (16, 7)], [True, False, False, False], 82, False, [False, True, False, True], 1261, 'East', (7, 2))
Element 10: (1, (7, 2), ['', '.', '%', '.'], [(3, 5), (16, 2), (16, 6)], [False, False, True, False], 80, False, [False, True, False, True], 1300, 'East', (8, 2))
Element 11: (1, (8, 2), ['', '.', '%', '.'], [(3, 4), (15, 2), (17, 6)], [False, False, True, False], 78, False, [False, True, False, True], 1339, 'East', (9, 2))
Element 12: (1, (9, 2), ['', '.', '%', '.'], [(4, 4), (15, 1), (18, 6)], [False, False, True, False], 76, False, [False, True, False, True], 1378, 'East', (10, 2))
Element 13: (1, (10, 2), ['', '.', '%', '.'], [(5, 4), (15, 2), (18, 7)], [False, False, True, False], 74, False, [False, True, False, True], 1407, 'East', (11, 2))
Element 14: (1, (11, 2), ['', 'F', '%', '.'], [(6, 4), (15, 3), (18, 8)], [False, False, True, False], 72, False, [False, False, False, True], 1436, 'South', (11, 1))
Element 15: (1, (11, 1), ['.', '%', '', '.'], [(7, 4), (15, 4), (18, 7)], [False, True, False, False], 70, False, [True, False, False, True], 2445, 'East', (12, 1))
Element 16: (1, (12, 1), ['', '%', '.', '.'], [(8, 4), (16, 4), (18, 6)], [False, True, False, False], 68, False, [False, False, True, True], 2464, 'North', (12, 2))
Element 17: (1, (12, 2), ['', '', '%', '.'], [(9, 4), (17, 4), (18, 5)], [False, False, True, False], 66, False, [False, False, False, True], 2493, 'East', (13, 2))
Element 18: (1, (13, 2), ['', '.', '.', '%'], [(10, 4), (16, 4), (18, 6)], [False, False, False, True], 64, False, [False, True, True, False], 2502, 'North', (13, 3))
