Element 1: (3, (17, 4), ['', '%', '%', '%'], [(18, 9), (13, 4), (16, 5)], [False, True, True, True], 98, False, [False, False, False, False], 29, 'West', (16, 4))
Element 2: (3, (16, 4), ['.', '%', '', ''], [(18, 10), (14, 4), (16, 6)], [False, True, False, False], 96, False, [True, False, False, False], 58, 'West', (15, 4))
Element 3: (3, (15, 4), ['', '.', '%', ''], [(17, 10), (13, 4), (17, 6)], [False, False, True, False], 94, False, [False, True, False, False], 87, 'South', (15, 3))
Element 4: (3, (15, 3), ['%', '.', '', '%'], [(16, 10), (13, 5), (18, 6)], [True, False, False, True], 92, False, [False, True, False, False], 126, 'South', (15, 2))
Element 5: (3, (15, 2), ['%', '.', '', '.'], [(15, 10), (13, 6), (18, 7)], [True, False, False, False], 90, False, [False, True, False, True], 165, 'East', (16, 2))
Element 6: (3, (16, 2), ['', '.', '%', '.'], [(15, 9), (14, 6), (18, 8)], [False, False, True, False], 88, False, [False, True, False, True], 194, 'East', (17, 2))
Element 7: (3, (17, 2), ['', '.', '%', ''], [(15, 8), (15, 6), (18, 9)], [False, False, True, False], 86, False, [False, True, False, False], 223, 'South', (17, 1))
Element 8: (3, (17, 1), ['.', '%', '', '.'], [(16, 8), (16, 6), (18, 10)], [False, True, False, False], 84, False, [True, False, False, True], 242, 'East', (18, 1))
Element 9: (3, (18, 1), ['', '%', '', '%'], [(16, 7), (17, 6), (17, 10)], [False, True, False, True], 82, False, [False, False, False, False], 261, 'North', (18, 2))
Element 10: (3, (18, 2), ['', '', '.', '%'], [(16, 6), (18, 6), (16, 10)], [False, False, False, True], 80, False, [False, False, True, False], 260, 'North', (18, 3))
Element 11: (3, (18, 3), ['%', '', '%', '%'], [(17, 6), (18, 5), (15, 10)], [True, False, True, True], 78, False, [False, False, False, False], 279, 'South', (18, 2))
Element 12: (3, (18, 2), ['', '', '', '%'], [(18, 6), (18, 5), (15, 9)], [False, False, False, True], 76, False, [False, False, False, False], 278, 'South', (18, 1))
Element 13: (3, (18, 1), ['', '%', '', '%'], [(18, 7), (18, 6), (15, 8)], [False, True, False, True], 74, False, [False, False, False, False], 277, 'West', (17, 1))
Element 14: (3, (17, 1), ['.', '%', '', ''], [(18, 8), (18, 6), (14, 8)], [False, True, False, False], 72, False, [True, False, False, False], 286, 'West', (16, 1))
Element 15: (3, (16, 1), ['.', '%', '', ''], [(18, 7), (17, 6), (13, 8)], [False, True, False, False], 70, False, [True, False, False, False], 305, 'West', (15, 1))
Element 16: (3, (15, 1), ['%', '%', '', ''], [(18, 6), (16, 6), (13, 7)], [True, True, False, False], 68, False, [False, False, False, False], 324, 'East', (16, 1))
Element 17: (3, (16, 1), ['', '%', '', ''], [(18, 5), (16, 5), (13, 6)], [False, True, False, False], 66, False, [False, False, False, False], 323, 'East', (17, 1))
Element 18: (3, (17, 1), ['', '%', '', ''], [(18, 6), (16, 4), (14, 6)], [False, True, False, False], 64, False, [False, False, False, False], 322, 'North', (17, 2))
Element 19: (3, (17, 2), ['', '', '%', ''], [(17, 6), (17, 4), (15, 6)], [False, False, True, False], 62, False, [False, False, False, False], 321, 'East', (18, 2))
Element 20: (3, (18, 2), ['', '', '', '%'], [(16, 6), (16, 4), (14, 6)], [False, False, False, True], 60, False, [False, False, False, False], 320, 'West', (17, 2))
Element 21: (3, (17, 2), ['', '', '%', ''], [(16, 7), (15, 4), (13, 6)], [False, False, True, False], 58, False, [False, False, False, False], 319, 'West', (16, 2))
Element 22: (3, (16, 2), ['', '', '%', ''], [(16, 8), (15, 3), (13, 5)], [False, False, True, False], 56, False, [False, False, False, False], 318, 'South', (16, 1))
Element 23: (3, (16, 1), ['', '%', '', ''], [(15, 8), (15, 2), (13, 4)], [False, True, False, False], 54, False, [False, False, False, False], 317, 'North', (16, 2))
Element 24: (3, (16, 2), ['', '', '%', ''], [(14, 8), (15, 1), (12, 4)], [False, False, True, False], 52, False, [False, False, False, False], 326, 'West', (15, 2))
Element 25: (3, (15, 2), ['%', '', '', ''], [(13, 8), (16, 1), (11, 4)], [True, False, False, False], 50, False, [False, False, False, False], 335, 'South', (15, 1))
Element 26: (3, (15, 1), ['%', '%', '', ''], [(13, 9), (17, 1), (10, 4)], [True, True, False, False], 48, False, [False, False, False, False], 354, 'North', (15, 2))
Element 27: (3, (15, 2), ['%', '', '', ''], [(13, 10), (18, 1), (9, 4)], [True, False, False, False], 46, False, [False, False, False, False], 373, 'North', (15, 3))
Element 28: (3, (15, 3), ['%', '', '', '%'], [(12, 10), (18, 2), (8, 4)], [True, False, False, True], 44, False, [False, False, False, False], 1372, 'North', (15, 4))
Element 29: (3, (15, 4), ['', '', '%', ''], [(11, 10), (18, 3), (7, 4)], [False, False, True, False], 42, False, [False, False, False, False], 2381, 'West', (14, 4))
Element 30: (3, (14, 4), ['', '%', '%', ''], [(10, 10), (18, 2), (7, 5)], [False, True, True, False], 40, False, [False, False, False, False], 3390, 'West', (13, 4))
Element 31: (3, (13, 4), ['', '', '', ''], [(9, 10), (17, 2), (6, 5)], [False, False, False, False], 38, False, [False, False, False, False], 3409, 'North', (13, 5))
