Element 1: (1, (6, 5), ['%', '.', '.', 'F'], [(16, 6), (15, 6), (18, 9)], [True, False, False, False], 98, False, [False, True, True, False], 9, 'East', (7, 5))
Element 2: (1, (7, 5), ['', '.', '%', '%'], [(17, 6), (14, 6), (18, 10)], [False, False, True, True], 96, False, [False, True, False, False], 1038, 'South', (7, 4))
Element 3: (1, (7, 4), ['.', '%', '', ''], [(18, 6), (13, 6), (17, 10)], [False, True, False, False], 94, False, [True, False, False, False], 1077, 'West', (6, 4))
Element 4: (1, (6, 4), ['.', '.', '', ''], [(18, 7), (13, 7), (16, 10)], [False, False, False, False], 92, False, [True, True, False, False], 1116, 'South', (6, 3))
Element 5: (1, (6, 3), ['%', '.', '', '%'], [(18, 8), (13, 8), (15, 10)], [True, False, False, True], 90, False, [False, True, False, False], 1155, 'South', (6, 2))
Element 6: (1, (6, 2), ['%', '.', '', '.'], [(18, 9), (14, 8), (15, 9)], [True, False, False, False], 88, False, [False, True, False, True], 1184, 'East', (7, 2))
Element 7: (1, (7, 2), ['', '.', '%', '.'], [(18, 10), (15, 8), (15, 10)], [False, False, True, False], 86, False, [False, True, False, True], 1203, 'East', (8, 2))
Element 8: (1, (8, 2), ['', '.', '%', '.'], [(17, 10), (16, 8), (16, 10)], [False, False, True, False], 84, False, [False, True, False, True], 1222, 'East', (9, 2))
Element 9: (1, (9, 2), ['', '.', '%', '.'], [(16, 10), (16, 7), (15, 10)], [False, False, True, False], 82, False, [False, True, False, True], 1241, 'East', (10, 2))
Element 10: (1, (10, 2), ['', '.', '%', '.'], [(15, 10), (16, 6), (16, 10)], [False, False, True, False], 80, False, [False, True, False, True], 1250, 'East', (11, 2))
Element 11: (1, (11, 2), ['', 'F', '%', '.'], [(15, 9), (17, 6), (16, 10)], [False, False, True, False], 78, False, [False, False, False, True], 1259, 'South', (11, 1))
Element 12: (1, (11, 1), ['.', '%', '', '.'], [(15, 8), (18, 6), (16, 10)], [False, True, False, False], 76, False, [True, False, False, True], 2258, 'East', (12, 1))
Element 13: (1, (12, 1), ['', '%', '.', '.'], [(16, 8), (18, 5), (16, 10)], [False, True, False, False], 74, False, [False, False, True, True], 2277, 'East', (13, 1))
Element 14: (1, (13, 1), ['', '%', '.', '%'], [(16, 7), (18, 6), (16, 10)], [False, True, False, True], 72, False, [False, False, True, False], 2286, 'North', (13, 2))
Element 15: (1, (13, 2), ['.', '', '.', '%'], [(16, 8), (18, 7), (17, 10)], [False, False, False, True], 70, False, [True, False, True, False], 2295, 'North', (13, 3))
Element 16: (1, (13, 3), ['%', '', '.', '%'], [(15, 8), (18, 8), (18, 10)], [True, False, False, True], 68, False, [False, False, True, False], 2304, 'North', (13, 4))
Element 17: (1, (13, 4), ['.', '', '.', '.'], [(14, 8), (18, 9), (17, 10)], [False, False, False, False], 66, False, [True, False, True, True], 2313, 'East', (14, 4))
Element 18: (1, (14, 4), ['', '%', '%', '.'], [(13, 8), (18, 10), (16, 10)], [False, True, True, False], 64, False, [False, False, False, True], 2322, 'East', (15, 4))
Element 19: (1, (15, 4), ['', '.', '%', '.'], [(13, 9), (17, 10), (15, 10)], [False, False, True, False], 62, False, [False, True, False, True], 2341, 'East', (16, 4))
Element 20: (1, (16, 4), ['', '%', '', '.'], [(13, 10), (16, 10), (15, 9)], [False, True, False, False], 60, False, [False, False, False, True], 2360, 'East', (17, 4))
Element 21: (1, (17, 4), ['', '%', '%', '%'], [(12, 10), (15, 10), (15, 8)], [False, True, True, True], 58, False, [False, False, False, False], 3369, 'West', (16, 4))
Element 22: #1#
