Element 1: (1, (8, 1), ['.', '%', 'G', '.'], [(17, 10), (8, 2), (16, 8)], [False, True, False, False], 98, False, [True, False, False, True], 9, 'East', (9, 1))
Element 2: (1, (9, 1), ['', '%', 'G', '.'], [(18, 10), (9, 2), (16, 7)], [False, True, False, False], 96, False, [False, False, False, True], 48, 'East', (10, 1))
Element 3: (1, (10, 1), ['', '%', 'G', 'F'], [(18, 9), (10, 2), (16, 6)], [False, True, False, False], 94, False, [False, False, False, False], 87, 'East', (11, 1))
Element 4: (1, (11, 1), ['', '%', 'G', '.'], [(18, 8), (11, 2), (17, 6)], [False, True, False, False], 92, False, [False, False, False, True], 1116, 'East', (12, 1))
Element 5: (1, (12, 1), ['', '%', 'G', '.'], [(18, 7), (12, 2), (18, 6)], [False, True, False, False], 90, False, [False, False, False, True], 1155, 'East', (13, 1))
Element 6: (1, (13, 1), ['', '%', 'G', '%'], [(18, 6), (13, 2), (18, 5)], [False, True, False, True], 88, False, [False, False, False, False], 1184, 'West', (12, 1))
Element 7: (1, (12, 1), ['', '%', '', ''], [(17, 6), (13, 3), (18, 5)], [False, True, False, False], 86, False, [False, False, False, False], 1193, 'West', (11, 1))
Element 8: (1, (11, 1), ['', '%', '', ''], [(16, 6), (13, 4), (18, 6)], [False, True, False, False], 84, False, [False, False, False, False], 1202, 'West', (10, 1))
Element 9: (1, (10, 1), ['', '%', '', ''], [(16, 5), (14, 4), (17, 6)], [False, True, False, False], 82, False, [False, False, False, False], 1221, 'West', (9, 1))
Element 10: (1, (9, 1), ['', '%', '', ''], [(16, 4), (15, 4), (16, 6)], [False, True, False, False], 80, False, [False, False, False, False], 1240, 'West', (8, 1))
Element 11: (1, (8, 1), ['.', '%', '', ''], [(17, 4), (15, 3), (16, 6)], [False, True, False, False], 78, False, [True, False, False, False], 1259, 'West', (7, 1))
Element 12: (1, (7, 1), ['.', '%', '.', ''], [(16, 4), (15, 2), (15, 6)], [False, True, False, False], 76, False, [True, False, True, False], 1288, 'North', (7, 2))
Element 13: (1, (7, 2), ['.', '', '%', ''], [(15, 4), (16, 2), (14, 6)], [False, False, True, False], 74, False, [True, False, False, False], 1317, 'West', (6, 2))
Element 14: (1, (6, 2), ['%', '.', '.', ''], [(15, 3), (17, 2), (13, 6)], [True, False, False, False], 72, False, [False, True, True, False], 1346, 'North', (6, 3))
Element 15: (1, (6, 3), ['%', '', '.', '%'], [(15, 2), (17, 1), (13, 7)], [True, False, False, True], 70, False, [False, False, True, False], 1375, 'North', (6, 4))
Element 16: (1, (6, 4), ['.', '', '.', '.'], [(15, 1), (18, 1), (13, 8)], [False, False, False, False], 68, False, [True, False, True, True], 1414, 'East', (7, 4))
Element 17: (1, (7, 4), ['', '%', 'F', ''], [(16, 1), (18, 2), (14, 8)], [False, True, False, False], 66, False, [False, False, False, False], 1443, 'North', (7, 5))
Element 18: (1, (7, 5), ['.', '', '%', '%'], [(17, 1), (18, 3), (15, 8)], [False, False, True, True], 64, False, [True, False, False, False], 2462, 'West', (6, 5))
Element 19: (1, (6, 5), ['%', '', '.', ''], [(18, 1), (18, 2), (15, 9)], [True, False, False, False], 62, False, [False, False, True, False], 2481, 'North', (6, 6))
Element 20: (1, (6, 6), ['.', '', '.', '%'], [(18, 2), (17, 2), (15, 10)], [False, False, False, True], 60, False, [True, False, True, False], 2500, 'North', (6, 7))
Element 21: (1, (6, 7), ['%', '', '.', '%'], [(18, 3), (17, 1), (16, 10)], [True, False, False, True], 58, False, [False, False, True, False], 2509, 'North', (6, 8))
Element 22: (1, (6, 8), ['.', '', '.', '.'], [(18, 2), (16, 1), (17, 10)], [False, False, False, False], 56, False, [True, False, True, True], 2518, 'East', (7, 8))
Element 23: (1, (7, 8), ['', '%', '%', '.'], [(17, 2), (15, 1), (18, 10)], [False, True, True, False], 54, False, [False, False, False, True], 2527, 'East', (8, 8))
Element 24: (1, (8, 8), ['', '%', '%', '.'], [(16, 2), (16, 1), (18, 9)], [False, True, True, False], 52, False, [False, False, False, True], 2536, 'East', (9, 8))
Element 25: (1, (9, 8), ['', '', '%', '.'], [(17, 2), (17, 1), (18, 8)], [False, False, True, False], 50, False, [False, False, False, True], 2545, 'East', (10, 8))
Element 26: (1, (10, 8), ['', '', '%', '.'], [(18, 2), (16, 1), (18, 7)], [False, False, True, False], 48, False, [False, False, False, True], 2554, 'East', (11, 8))
Element 27: (1, (11, 8), ['', '%', '%', '.'], [(18, 1), (15, 1), (18, 8)], [False, True, True, False], 46, False, [False, False, False, True], 2563, 'East', (12, 8))
Element 28: (1, (12, 8), ['', '%', '%', ''], [(17, 1), (15, 2), (18, 9)], [False, True, True, False], 44, False, [False, False, False, False], 2572, 'East', (13, 8))
Element 29: (1, (13, 8), ['', '', '.', ''], [(17, 2), (16, 2), (18, 10)], [False, False, False, False], 42, False, [False, False, True, False], 2571, 'North', (13, 9))
Element 30: (1, (13, 9), ['%', '', '.', '%'], [(17, 1), (16, 1), (17, 10)], [True, False, False, True], 40, False, [False, False, True, False], 2580, 'North', (13, 10))
Element 31: (1, (13, 10), ['F', '', '%', '%'], [(16, 1), (16, 2), (16, 10)], [False, False, True, True], 38, False, [False, False, False, False], 2589, 'West', (12, 10))
Element 32: (1, (12, 10), ['F', '%', '%', ''], [(16, 2), (15, 2), (15, 10)], [False, True, True, False], 36, False, [False, False, False, False], 3588, 'West', (11, 10))
Element 33: #1#
