Element 1: (1, (9, 4), ['', '%', '%', '.'], [(9, 10), (13, 6), (15, 6)], [False, True, True, False], 98, False, [False, False, False, True], 9, 'East', (10, 4))
Element 2: (1, (10, 4), ['', '%', '%', '.'], [(10, 10), (14, 6), (16, 6)], [False, True, True, False], 96, False, [False, False, False, True], 48, 'East', (11, 4))
Element 3: (1, (11, 4), ['', '%', '%', '.'], [(11, 10), (15, 6), (17, 6)], [False, True, True, False], 94, False, [False, False, False, True], 1067, 'East', (12, 4))
Element 4: (1, (12, 4), ['', '%', '%', '.'], [(12, 10), (16, 6), (18, 6)], [False, True, True, False], 92, False, [False, False, False, True], 2086, 'East', (13, 4))
Element 5: (1, (13, 4), ['', '.', '.', '.'], [(13, 10), (16, 7), (18, 7)], [False, False, False, False], 90, False, [False, True, True, True], 2125, 'East', (14, 4))
Element 6: (1, (14, 4), ['', '%', '%', '.'], [(13, 9), (16, 8), (18, 8)], [False, True, True, False], 88, False, [False, False, False, True], 2164, 'East', (15, 4))
Element 7: (1, (15, 4), ['', '.', '%', '.'], [(13, 8), (15, 8), (18, 9)], [False, False, True, False], 86, False, [False, True, False, True], 2203, 'East', (16, 4))
Element 8: (1, (16, 4), ['', '%', '.', '.'], [(14, 8), (15, 9), (18, 10)], [False, True, False, False], 84, False, [False, False, True, True], 2242, 'East', (17, 4))
Element 9: (1, (17, 4), ['', '%', '%', '%'], [(15, 8), (15, 10), (17, 10)], [False, True, True, True], 82, False, [False, False, False, False], 2271, 'West', (16, 4))
Element 10: (1, (16, 4), ['', '%', '.', ''], [(16, 8), (16, 10), (18, 10)], [False, True, False, False], 80, False, [False, False, True, False], 2280, 'North', (16, 5))
Element 11: (1, (16, 5), ['%', '', '', '%'], [(16, 7), (17, 10), (18, 9)], [True, False, False, True], 78, False, [False, False, False, False], 2289, 'North', (16, 6))
Element 12: (1, (16, 6), ['', '', '', ''], [(16, 8), (18, 10), (18, 8)], [False, False, False, False], 76, False, [False, False, False, False], 2288, 'East', (17, 6))
Element 13: (1, (17, 6), ['', '%', '%', ''], [(15, 8), (18, 9), (18, 7)], [False, True, True, False], 74, False, [False, False, False, False], 2287, 'East', (18, 6))
Element 14: (1, (18, 6), ['', '.', 'G', '%'], [(15, 9), (18, 8), (18, 7)], [False, False, False, True], 72, False, [False, True, False, False], 2286, 'South', (18, 5))
Element 15: (1, (18, 5), ['%', '%', 'G', '%'], [(15, 10), (18, 9), (18, 6)], [True, True, False, True], 70, False, [False, False, False, False], 2295, 'Stop', (18, 5))
Element 16: (1, (18, 5), ['%', '%', 'G', '%'], [(16, 10), (18, 10), (18, 6)], [True, True, False, True], 68, False, [False, False, False, False], 2294, 'North', (18, 6))
Element 17: (1, (18, 6), ['G', '', '', '%'], [(15, 10), (17, 10), (17, 6)], [False, False, False, True], 66, False, [False, False, False, False], 2293, 'West', (17, 6))
Element 18: (1, (17, 6), ['G', '%', '%', ''], [(15, 9), (16, 10), (16, 6)], [False, True, True, False], 64, False, [False, False, False, False], 2292, 'Stop', (17, 6))
Element 19: (1, (17, 6), ['', '%', '%', ''], [(15, 8), (15, 10), (16, 7)], [False, True, True, False], 62, False, [False, False, False, False], 2291, 'West', (16, 6))
Element 20: (1, (16, 6), ['', '', '', ''], [(14, 8), (15, 9), (16, 8)], [False, False, False, False], 60, False, [False, False, False, False], 2290, 'West', (15, 6))
Element 21: (1, (15, 6), ['', '%', '%', ''], [(13, 8), (15, 8), (16, 7)], [False, True, True, False], 58, False, [False, False, False, False], 2289, 'West', (14, 6))
Element 22: (1, (14, 6), ['', '%', '%', ''], [(13, 7), (14, 8), (16, 6)], [False, True, True, False], 56, False, [False, False, False, False], 2298, 'West', (13, 6))
Element 23: (1, (13, 6), ['%', '.', 'G', ''], [(13, 7), (13, 8), (16, 5)], [True, False, False, False], 54, False, [False, True, False, False], 2297, 'South', (13, 5))
Element 24: (1, (13, 5), ['%', '', 'G', '%'], [(13, 6), (12, 8), (16, 4)], [True, False, False, True], 52, False, [False, False, False, False], 2316, 'South', (13, 4))
Element 25: (1, (13, 4), ['', '.', '', ''], [(14, 6), (11, 8), (17, 4)], [False, False, False, False], 50, False, [False, True, False, False], 2325, 'West', (12, 4))
Element 26: (1, (12, 4), ['', '%', '%', ''], [(15, 6), (10, 8), (16, 4)], [False, True, True, False], 48, False, [False, False, False, False], 2334, 'West', (11, 4))
Element 27: (1, (11, 4), ['', '%', '%', ''], [(16, 6), (9, 8), (15, 4)], [False, True, True, False], 46, False, [False, False, False, False], 2343, 'West', (10, 4))
Element 28: (1, (10, 4), ['', '%', '%', ''], [(17, 6), (8, 8), (15, 3)], [False, True, True, False], 44, False, [False, False, False, False], 2362, 'Stop', (10, 4))
Element 29: (1, (10, 4), ['', '%', '%', ''], [(18, 6), (7, 8), (15, 2)], [False, True, True, False], 42, False, [False, False, False, False], 2381, 'East', (11, 4))
Element 30: (1, (11, 4), ['', '%', '%', ''], [(18, 7), (6, 8), (16, 2)], [False, True, True, False], 40, False, [False, False, False, False], 2400, 'East', (12, 4))
Element 31: (1, (12, 4), ['', '%', '%', ''], [(18, 8), (6, 9), (17, 2)], [False, True, True, False], 38, False, [False, False, False, False], 2419, 'Stop', (12, 4))
Element 32: (1, (12, 4), ['', '%', '%', ''], [(18, 9), (6, 10), (17, 1)], [False, True, True, False], 36, False, [False, False, False, False], 2438, 'East', (13, 4))
Element 33: (1, (13, 4), ['', '.', '', ''], [(18, 10), (7, 10), (18, 1)], [False, False, False, False], 34, False, [False, True, False, False], 2457, 'East', (14, 4))
Element 34: (1, (14, 4), ['', '%', '%', ''], [(17, 10), (8, 10), (18, 2)], [False, True, True, False], 32, False, [False, False, False, False], 2456, 'West', (13, 4))
Element 35: (1, (13, 4), ['', '.', '', ''], [(18, 10), (9, 10), (18, 3)], [False, False, False, False], 30, False, [False, True, False, False], 2465, 'North', (13, 5))
Element 36: (1, (13, 5), ['%', '', '', '%'], [(18, 9), (10, 10), (18, 2)], [True, False, False, True], 28, False, [False, False, False, False], 2464, 'South', (13, 4))
Element 37: (1, (13, 4), ['', '.', '', ''], [(18, 8), (11, 10), (18, 1)], [False, False, False, False], 26, False, [False, True, False, False], 2463, 'South', (13, 3))
Element 38: (1, (13, 3), ['%', '.', '', '%'], [(18, 7), (12, 10), (17, 1)], [True, False, False, True], 24, False, [False, True, False, False], 2472, 'South', (13, 2))
Element 39: (1, (13, 2), ['.', '.', '', '%'], [(18, 6), (13, 10), (16, 1)], [False, False, False, True], 22, False, [True, True, False, False], 2491, 'South', (13, 1))
Element 40: (1, (13, 1), ['.', '%', '', '%'], [(18, 5), (13, 9), (15, 1)], [False, True, False, True], 20, False, [True, False, False, False], 2510, 'West', (12, 1))
Element 41: (1, (12, 1), ['F', '%', '.', ''], [(18, 6), (13, 10), (16, 1)], [False, True, False, False], 18, False, [False, False, True, False], 2519, 'West', (11, 1))
Element 42: (1, (11, 1), ['.', '%', '.', ''], [(17, 6), (12, 10), (17, 1)], [False, True, False, False], 16, False, [True, False, True, False], 3518, 'North', (11, 2))
Element 43: (1, (11, 2), ['.', '', '%', '.'], [(16, 6), (11, 10), (17, 2)], [False, False, True, False], 14, False, [True, False, False, True], 3527, 'East', (12, 2))
Element 44: (1, (12, 2), ['', '', '%', ''], [(16, 5), (10, 10), (18, 2)], [False, False, True, False], 12, False, [False, False, False, False], 3536, 'West', (11, 2))
Element 45: (1, (11, 2), ['.', '', '%', ''], [(16, 4), (9, 10), (17, 2)], [False, False, True, False], 10, False, [True, False, False, False], 3535, 'West', (10, 2))
Element 46: (1, (10, 2), ['.', '.', '%', ''], [(17, 4), (8, 10), (16, 2)], [False, False, True, False], 8, False, [True, True, False, False], 3544, 'South', (10, 1))
Element 47: (1, (10, 1), ['.', '%', '', ''], [(16, 4), (7, 10), (16, 1)], [False, True, False, False], 6, False, [True, False, False, False], 3553, 'West', (9, 1))
