Element 1: (1, (6, 1), ['%', '%', '.', '.'], [(15, 10), (6, 3), (12, 4)], [True, True, False, False], 98, False, [False, False, True, True], 9, 'East', (7, 1))
Element 2: (1, (7, 1), ['', '%', '.', '.'], [(16, 10), (6, 4), (13, 4)], [False, True, False, False], 96, False, [False, False, True, True], 48, 'East', (8, 1))
Element 3: (1, (8, 1), ['', '%', '.', '.'], [(17, 10), (7, 4), (14, 4)], [False, True, False, False], 94, False, [False, False, True, True], 87, 'East', (9, 1))
Element 4: (1, (9, 1), ['', '%', '.', '.'], [(18, 10), (7, 5), (15, 4)], [False, True, False, False], 92, False, [False, False, True, True], 1116, 'East', (10, 1))
Element 5: (1, (10, 1), ['', '%', '.', 'F'], [(18, 9), (6, 5), (16, 4)], [False, True, False, False], 90, False, [False, False, True, False], 1155, 'East', (11, 1))
Element 6: (1, (11, 1), ['', '%', '.', '.'], [(18, 8), (6, 6), (17, 4)], [False, True, False, False], 88, False, [False, False, True, True], 2184, 'East', (12, 1))
Element 7: (1, (12, 1), ['', '%', '.', '.'], [(18, 7), (6, 7), (16, 4)], [False, True, False, False], 86, False, [False, False, True, True], 2213, 'East', (13, 1))
Element 8: (1, (13, 1), ['', '%', '.', '%'], [(18, 6), (6, 8), (16, 5)], [False, True, False, True], 84, False, [False, False, True, False], 2252, 'North', (13, 2))
Element 9: (1, (13, 2), ['.', '', '.', '%'], [(18, 5), (7, 8), (16, 6)], [False, False, False, True], 82, False, [True, False, True, False], 2291, 'North', (13, 3))
Element 10: (1, (13, 3), ['%', '', '', '%'], [(18, 6), (8, 8), (17, 6)], [True, False, False, True], 80, False, [False, False, False, False], 2320, 'North', (13, 4))
Element 11: (1, (13, 4), ['', '', '.', ''], [(17, 6), (9, 8), (16, 6)], [False, False, False, False], 78, False, [False, False, True, False], 2329, 'North', (13, 5))
Element 12: (1, (13, 5), ['%', '', '.', '%'], [(16, 6), (10, 8), (16, 7)], [True, False, False, True], 76, False, [False, False, True, False], 2358, 'North', (13, 6))
Element 13: (1, (13, 6), ['%', '', '.', '.'], [(15, 6), (11, 8), (16, 8)], [True, False, False, False], 74, False, [False, False, True, True], 2397, 'East', (14, 6))
Element 14: (1, (14, 6), ['', '%', '%', ''], [(16, 6), (12, 8), (15, 8)], [False, True, True, False], 72, False, [False, False, False, False], 2426, 'East', (15, 6))
Element 15: (1, (15, 6), ['', '%', '%', ''], [(16, 7), (13, 8), (14, 8)], [False, True, True, False], 70, False, [False, False, False, False], 2445, 'East', (16, 6))
Element 16: (1, (16, 6), ['', '', '', ''], [(16, 8), (13, 9), (13, 8)], [False, False, False, False], 68, False, [False, False, False, False], 2454, 'East', (17, 6))
Element 17: (1, (17, 6), ['', '%', '%', ''], [(15, 8), (13, 10), (13, 7)], [False, True, True, False], 66, False, [False, False, False, False], 2473, 'East', (18, 6))
Element 18: (1, (18, 6), ['', '', '', '%'], [(14, 8), (12, 10), (13, 6)], [False, False, False, True], 64, False, [False, False, False, False], 3472, 'North', (18, 7))
Element 19: #1#
