Element 1: (3, (10, 10), ['.', '%', '%', 'F'], [(17, 10), (6, 7), (9, 1)], [False, True, True, False], 98, False, [True, False, False, False], 29, 'East', (11, 10))
Element 2: (3, (11, 10), ['', '%', '%', 'F'], [(18, 10), (6, 8), (10, 1)], [False, True, True, False], 96, False, [False, False, False, False], 1058, 'East', (12, 10))
Element 3: (3, (12, 10), ['', '%', '%', '.'], [(18, 9), (7, 8), (11, 1)], [False, True, True, False], 94, False, [False, False, False, True], 3077, 'East', (13, 10))
Element 4: (3, (13, 10), ['', '.', '%', '%'], [(18, 8), (8, 8), (12, 1)], [False, False, True, True], 92, False, [False, True, False, False], 3116, 'South', (13, 9))
Element 5: (3, (13, 9), ['%', '.', '', '%'], [(18, 7), (9, 8), (13, 1)], [True, False, False, True], 90, False, [False, True, False, False], 3155, 'South', (13, 8))
Element 6: (3, (13, 8), ['.', '.', '', '.'], [(18, 6), (10, 8), (13, 2)], [False, False, False, False], 88, False, [True, True, False, True], 3194, 'East', (14, 8))
Element 7: (3, (14, 8), ['', '%', '%', '.'], [(18, 5), (11, 8), (13, 3)], [False, True, True, False], 86, False, [False, False, False, True], 3233, 'East', (15, 8))
Element 8: (3, (15, 8), ['', '%', '.', '.'], [(18, 6), (12, 8), (13, 4)], [False, True, False, False], 84, False, [False, False, True, True], 3262, 'East', (16, 8))
Element 9: (3, (16, 8), ['', '.', '%', '%'], [(17, 6), (13, 8), (14, 4)], [False, False, True, True], 82, False, [False, True, False, False], 3291, 'South', (16, 7))
Element 10: (3, (16, 7), ['%', 'G', '', '%'], [(16, 6), (13, 7), (15, 4)], [True, False, False, True], 80, False, [False, False, False, False], 3330, 'North', (16, 8))
Element 11: (3, (16, 8), ['', '', '%', '%'], [(16, 5), (13, 6), (16, 4)], [False, False, True, True], 78, False, [False, False, False, False], 3359, 'West', (15, 8))
Element 12: (3, (15, 8), ['', '%', '.', ''], [(16, 6), (14, 6), (17, 4)], [False, True, False, False], 76, False, [False, False, True, False], 3378, 'North', (15, 9))
Element 13: (3, (15, 9), ['%', '', '.', '%'], [(15, 6), (13, 6), (16, 4)], [True, False, False, True], 74, False, [False, False, True, False], 3397, 'North', (15, 10))
Element 14: (3, (15, 10), ['%', '', '%', ''], [(14, 6), (13, 5), (16, 5)], [True, False, True, False], 72, False, [False, False, False, False], 3416, 'East', (16, 10))
Element 15: (3, (16, 10), ['', '%', '%', ''], [(13, 6), (13, 4), (16, 6)], [False, True, True, False], 70, False, [False, False, False, False], 3415, 'East', (17, 10))
Element 16: (3, (17, 10), ['', '%', '%', ''], [(13, 7), (12, 4), (17, 6)], [False, True, True, False], 68, False, [False, False, False, False], 3424, 'East', (18, 10))
Element 17: (3, (18, 10), ['', '', '%', '%'], [(13, 8), (11, 4), (18, 6)], [False, False, True, True], 66, False, [False, False, False, False], 3433, 'South', (18, 9))
Element 18: (3, (18, 9), ['%', '', '', '%'], [(14, 8), (10, 4), (18, 7)], [True, False, False, True], 64, False, [False, False, False, False], 3442, 'South', (18, 8))
Element 19: (3, (18, 8), ['%', '', '', '%'], [(15, 8), (9, 4), (18, 6)], [True, False, False, True], 62, False, [False, False, False, False], 3451, 'South', (18, 7))
Element 20: (3, (18, 7), ['%', '', '', '%'], [(16, 8), (8, 4), (18, 5)], [True, False, False, True], 60, False, [False, False, False, False], 3450, 'South', (18, 6))
Element 21: (3, (18, 6), ['', 'G', '', '%'], [(16, 7), (7, 4), (18, 5)], [False, False, False, True], 58, False, [False, False, False, False], 3459, 'West', (17, 6))
Element 22: #1#
