Element 1: (2, (13, 10), ['F', '.', '%', '%'], [(9, 1), (11, 1), (17, 6)], [False, False, True, True], 98, False, [False, True, False, False], 1009, 'West', (12, 10))
Element 2: (2, (12, 10), ['F', '%', '%', ''], [(10, 1), (11, 2), (18, 6)], [False, True, True, False], 96, False, [False, False, False, False], 2038, 'West', (11, 10))
Element 3: (2, (11, 10), ['.', '%', '%', ''], [(10, 2), (12, 2), (18, 7)], [False, True, True, False], 94, False, [True, False, False, False], 3067, 'West', (10, 10))
Element 4: (2, (10, 10), ['.', '%', '%', ''], [(9, 2), (13, 2), (18, 8)], [False, True, True, False], 92, False, [True, False, False, False], 3106, 'West', (9, 10))
Element 5: (2, (9, 10), ['.', '%', '%', ''], [(8, 2), (13, 3), (18, 9)], [False, True, True, False], 90, False, [True, False, False, False], 3145, 'West', (8, 10))
Element 6: (2, (8, 10), ['.', '%', '%', ''], [(7, 2), (13, 4), (18, 10)], [False, True, True, False], 88, False, [True, False, False, False], 3184, 'West', (7, 10))
Element 7: (2, (7, 10), ['.', '%', '%', ''], [(7, 1), (14, 4), (17, 10)], [False, True, True, False], 86, False, [True, False, False, False], 3223, 'West', (6, 10))
Element 8: (2, (6, 10), ['%', '.', '%', ''], [(6, 1), (15, 4), (16, 10)], [True, False, True, False], 84, False, [False, True, False, False], 3262, 'South', (6, 9))
Element 9: (2, (6, 9), ['%', '.', '', '%'], [(6, 2), (16, 4), (15, 10)], [True, False, False, True], 82, False, [False, True, False, False], 3301, 'South', (6, 8))
Element 10: (2, (6, 8), ['.', '.', '', '.'], [(6, 3), (17, 4), (15, 9)], [False, False, False, False], 80, False, [True, True, False, True], 3340, 'East', (7, 8))
Element 11: (2, (7, 8), ['', '%', '%', '.'], [(6, 4), (16, 4), (15, 8)], [False, True, True, False], 78, False, [False, False, False, True], 3369, 'East', (8, 8))
Element 12: (2, (8, 8), ['', '%', '%', '.'], [(7, 4), (16, 5), (16, 8)], [False, True, True, False], 76, False, [False, False, False, True], 3408, 'East', (9, 8))
Element 13: #1#
