Element 1: (2, (4, 3), ['%', 'G', '', '%'], [(5, 4), (4, 2), (7, 1)], [True, False, False, True], 98, False, [False, False, False, False], 19, 'North', (4, 4))
Element 2: (2, (4, 4), ['.', '', '%', ''], [(6, 4), (4, 1), (8, 1)], [False, False, True, False], 96, False, [True, False, False, False], 48, 'West', (3, 4))
Element 3: (2, (3, 4), ['%', '%', '.', ''], [(7, 4), (3, 1), (9, 1)], [True, True, False, False], 94, False, [False, False, True, False], 87, 'North', (3, 5))
Element 4: (2, (3, 5), ['%', '', '.', '%'], [(7, 5), (2, 1), (10, 1)], [True, False, False, True], 92, False, [False, False, True, False], 1116, 'North', (3, 6))
Element 5: (2, (3, 6), ['.', '', '.', '.'], [(6, 5), (2, 2), (11, 1)], [False, False, False, False], 90, False, [True, False, True, True], 2145, 'East', (4, 6))
Element 6: (2, (4, 6), ['', '%', '%', '.'], [(6, 6), (1, 2), (12, 1)], [False, True, True, False], 88, False, [False, False, False, True], 2184, 'East', (5, 6))
Element 7: (2, (5, 6), ['', '%', '%', ''], [(6, 7), (1, 3), (13, 1)], [False, True, True, False], 86, False, [False, False, False, False], 2223, 'East', (6, 6))
Element 8: (2, (6, 6), ['', '', '', '%'], [(6, 8), (1, 4), (13, 2)], [False, False, False, True], 84, False, [False, False, False, False], 2252, 'North', (6, 7))
Element 9: (2, (6, 7), ['%', '', '', '%'], [(7, 8), (1, 5), (13, 3)], [True, False, False, True], 82, False, [False, False, False, False], 2281, 'North', (6, 8))
Element 10: (2, (6, 8), ['.', '', '.', ''], [(8, 8), (1, 6), (13, 4)], [False, False, False, False], 80, False, [True, False, True, False], 2310, 'North', (6, 9))
Element 11: (2, (6, 9), ['%', '', '.', '%'], [(9, 8), (2, 6), (14, 4)], [True, False, False, True], 78, False, [False, False, True, False], 2349, 'North', (6, 10))
Element 12: (2, (6, 10), ['%', '', '%', '.'], [(10, 8), (3, 6), (15, 4)], [True, False, True, False], 76, False, [False, False, False, True], 2378, 'East', (7, 10))
Element 13: (2, (7, 10), ['', '%', '%', '.'], [(11, 8), (3, 7), (16, 4)], [False, True, True, False], 74, False, [False, False, False, True], 2417, 'East', (8, 10))
Element 14: (2, (8, 10), ['', '%', '%', '.'], [(12, 8), (3, 8), (17, 4)], [False, True, True, False], 72, False, [False, False, False, True], 2456, 'East', (9, 10))
Element 15: (2, (9, 10), ['', '%', '%', '.'], [(13, 8), (4, 8), (16, 4)], [False, True, True, False], 70, False, [False, False, False, True], 2485, 'East', (10, 10))
Element 16: (2, (10, 10), ['', '%', '%', 'F'], [(14, 8), (5, 8), (16, 5)], [False, True, True, False], 68, False, [False, False, False, False], 2524, 'East', (11, 10))
Element 17: (2, (11, 10), ['', '%', '%', 'F'], [(15, 8), (6, 8), (16, 6)], [False, True, True, False], 66, False, [False, False, False, False], 3543, 'East', (12, 10))
Element 18: #1#
