Element 1: (1, (8, 2), ['.', '.', '%', '.'], [(9, 4), (11, 4), (13, 2)], [False, False, True, False], 98, False, [True, True, False, True], 9, 'East', (9, 2))
Element 2: (1, (9, 2), ['', '.', '%', '.'], [(8, 4), (12, 4), (13, 3)], [False, False, True, False], 96, False, [False, True, False, True], 38, 'East', (10, 2))
Element 3: (1, (10, 2), ['', '.', '%', '.'], [(7, 4), (13, 4), (13, 2)], [False, False, True, False], 94, False, [False, True, False, True], 67, 'East', (11, 2))
Element 4: (1, (11, 2), ['', 'F', '%', '.'], [(7, 5), (14, 4), (13, 1)], [False, False, True, False], 92, False, [False, False, False, True], 1096, 'South', (11, 1))
Element 5: (1, (11, 1), ['.', '%', '', 'G'], [(6, 5), (15, 4), (12, 1)], [False, True, False, False], 90, False, [True, False, False, False], 2125, 'West', (10, 1))
Element 6: (1, (10, 1), ['.', '%', '', ''], [(6, 6), (16, 4), (12, 2)], [False, True, False, False], 88, False, [True, False, False, False], 2164, 'West', (9, 1))
Element 7: (1, (9, 1), ['.', '%', '', ''], [(6, 7), (17, 4), (11, 2)], [False, True, False, False], 86, False, [True, False, False, False], 2193, 'West', (8, 1))
Element 8: (1, (8, 1), ['.', '%', '', ''], [(6, 8), (16, 4), (11, 1)], [False, True, False, False], 84, False, [True, False, False, False], 2212, 'West', (7, 1))
Element 9: (1, (7, 1), ['.', '%', '.', ''], [(7, 8), (16, 5), (10, 1)], [False, True, False, False], 82, False, [True, False, True, False], 2241, 'North', (7, 2))
Element 10: (1, (7, 2), ['.', '', '%', ''], [(8, 8), (16, 6), (10, 2)], [False, False, True, False], 80, False, [True, False, False, False], 2270, 'West', (6, 2))
Element 11: (1, (6, 2), ['%', '.', '.', ''], [(9, 8), (17, 6), (9, 2)], [True, False, False, False], 78, False, [False, True, True, False], 2299, 'North', (6, 3))
Element 12: (1, (6, 3), ['%', '', '.', '%'], [(10, 8), (18, 6), (9, 1)], [True, False, False, True], 76, False, [False, False, True, False], 2328, 'North', (6, 4))
Element 13: (1, (6, 4), ['.', '', '', ''], [(11, 8), (18, 7), (8, 1)], [False, False, False, False], 74, False, [True, False, False, False], 2357, 'West', (5, 4))
Element 14: (1, (5, 4), ['.', '%', '%', ''], [(12, 8), (18, 8), (8, 2)], [False, True, True, False], 72, False, [True, False, False, False], 2386, 'West', (4, 4))
Element 15: (1, (4, 4), ['.', '.', '%', ''], [(13, 8), (18, 9), (7, 2)], [False, False, True, False], 70, False, [True, True, False, False], 2415, 'South', (4, 3))
Element 16: (1, (4, 3), ['%', '.', '', '%'], [(14, 8), (18, 10), (7, 1)], [True, False, False, True], 68, False, [False, True, False, False], 2444, 'South', (4, 2))
Element 17: (1, (4, 2), ['.', '.', '', '%'], [(15, 8), (17, 10), (6, 1)], [False, False, False, True], 66, False, [True, True, False, False], 2483, 'South', (4, 1))
Element 18: (1, (4, 1), ['.', '%', '', '%'], [(16, 8), (16, 10), (6, 2)], [False, True, False, True], 64, False, [True, False, False, False], 2512, 'West', (3, 1))
Element 19: (1, (3, 1), ['.', '%', '.', ''], [(16, 7), (15, 10), (6, 3)], [False, True, False, False], 62, False, [True, False, True, False], 2541, 'North', (3, 2))
Element 20: (1, (3, 2), ['.', '', '%', ''], [(16, 6), (15, 9), (6, 4)], [False, False, True, False], 60, False, [True, False, False, False], 2560, 'West', (2, 2))
Element 21: (1, (2, 2), ['.', '.', '%', ''], [(15, 6), (15, 8), (7, 4)], [False, False, True, False], 58, False, [True, True, False, False], 2579, 'South', (2, 1))
Element 22: (1, (2, 1), ['', '%', '', ''], [(14, 6), (16, 8), (8, 4)], [False, True, False, False], 56, False, [False, False, False, False], 2598, 'West', (1, 1))
Element 23: (1, (1, 1), ['%', '%', '.', ''], [(13, 6), (16, 7), (9, 4)], [True, True, False, False], 54, False, [False, False, True, False], 2607, 'North', (1, 2))
Element 24: (1, (1, 2), ['%', '', '.', ''], [(13, 7), (16, 8), (10, 4)], [True, False, False, False], 52, False, [False, False, True, False], 2626, 'North', (1, 3))
Element 25: (1, (1, 3), ['%', '', '.', '%'], [(13, 6), (15, 8), (11, 4)], [True, False, False, True], 50, False, [False, False, True, False], 2635, 'North', (1, 4))
Element 26: (1, (1, 4), ['%', '', '.', '%'], [(13, 5), (14, 8), (12, 4)], [True, False, False, True], 48, False, [False, False, True, False], 2654, 'North', (1, 5))
Element 27: (1, (1, 5), ['%', '', '.', '%'], [(13, 6), (13, 8), (13, 4)], [True, False, False, True], 46, False, [False, False, True, False], 2663, 'North', (1, 6))
Element 28: (1, (1, 6), ['%', '', '.', '.'], [(14, 6), (13, 9), (14, 4)], [True, False, False, False], 44, False, [False, False, True, True], 2682, 'East', (2, 6))
Element 29: (1, (2, 6), ['', '%', '%', '.'], [(15, 6), (13, 10), (15, 4)], [False, True, True, False], 42, False, [False, False, False, True], 2701, 'East', (3, 6))
Element 30: (1, (3, 6), ['', '.', '.', '.'], [(16, 6), (12, 10), (15, 3)], [False, False, False, False], 40, False, [False, True, True, True], 3720, 'East', (4, 6))
Element 31: #1#
